,Unnamed: 0,datetime,temp,ws,wdir,katabaticity
0,0,2022-07-06 00:00:00,4.9,1.1,111.2429314,0.5770444362961626
1,1,2022-07-06 01:00:00,4.25,1.35,28.38468418,-0.738635563014087
2,2,2022-07-06 02:00:00,4.7,1.3,147.6301182,0.9490418051666697
3,3,2022-07-06 03:00:00,4.5,1.75,164.4067505,0.9996133977866872
4,4,2022-07-06 04:00:00,4.1,1.75,129.3816358,0.802626334491879
5,5,2022-07-06 05:00:00,3.9,1.75,148.4010574,0.9531962479006738
6,6,2022-07-06 06:00:00,3.95,2.0,168.5041101,0.9990450899843191
7,7,2022-07-06 07:00:00,3.4,1.1,165.3078678,0.9999270378594141
8,8,2022-07-06 08:00:00,3.85,1.55,148.3493957,0.9529232394430696
9,9,2022-07-06 09:00:00,4.7,1.75,163.1624554,0.9987739127810983
10,10,2022-07-06 10:00:00,7.0,1.1,128.6082243,0.7945017957554901
11,11,2022-07-06 11:00:00,7.8,1.35,349.1174855,-0.9985201200797196
12,12,2022-07-06 12:00:00,8.15,1.55,2.827194012,-0.9571822079800624
13,13,2022-07-06 13:00:00,7.9,4.25,357.7636323,-0.9789969925927872
14,14,2022-07-06 14:00:00,8.75,4.25,2.413098282,-0.9592494039155954
15,15,2022-07-06 15:00:00,9.0,5.6,346.7679212,-0.9999101844460134
16,16,2022-07-06 16:00:00,9.05,5.6,343.8785472,-0.9993146035196667
17,17,2022-07-06 17:00:00,8.9,5.6,346.6954341,-0.9999263400580947
18,18,2022-07-06 18:00:00,8.15,5.8,325.9104839,-0.939157118734044
19,19,2022-07-06 19:00:00,7.7,5.85,331.0649636,-0.9662186618098623
20,20,2022-07-06 20:00:00,6.8,4.45,5.023969259,-0.9453822938734667
21,21,2022-07-06 21:00:00,5.95,3.35,352.7914515,-0.9929831628639743
22,22,2022-07-06 22:00:00,5.45,1.55,16.07061238,-0.8654085369949879
23,23,2022-07-06 23:00:00,4.8,1.55,54.21097098,-0.3711900425342172
24,24,2022-07-07 00:00:00,4.65,2.45,1.091297535,-0.9655121869041903
25,25,2022-07-07 01:00:00,3.55,2.9,161.5630294,0.9970030410444451
26,26,2022-07-07 02:00:00,4.7,1.75,151.3155628,0.9673366433592261
27,27,2022-07-07 03:00:00,3.95,1.75,35.50101624,-0.6494345611096919
28,28,2022-07-07 04:00:00,4.0,2.0,160.0205913,0.9945593972065407
29,29,2022-07-07 05:00:00,3.7,1.55,191.4938345,0.9026316056805193
30,30,2022-07-07 06:00:00,3.65,2.45,163.5223322,0.9990651472401352
31,31,2022-07-07 07:00:00,3.8,0.65,125.4972739,0.7603750643773992
32,32,2022-07-07 08:00:00,3.95,0.9,149.5535017,0.9590845248914562
33,33,2022-07-07 09:00:00,4.9,1.1,153.1757321,0.9750554289179463
34,34,2022-07-07 10:00:00,6.6,2.45,1.064168402,-0.9656353562139989
35,35,2022-07-07 11:00:00,6.25,5.15,357.1227846,-0.981216026908269
36,36,2022-07-07 12:00:00,7.4,6.05,337.8742454,-0.9899602222347611
37,37,2022-07-07 13:00:00,8.5,7.6,306.8480514,-0.7754742707398173
38,38,2022-07-07 14:00:00,8.35,8.25,316.9764993,-0.8744207818342978
39,39,2022-07-07 15:00:00,8.0,7.8,330.4845848,-0.9635585189181803
40,40,2022-07-07 16:00:00,7.75,8.9,306.5626638,-0.7723197939115382
41,41,2022-07-07 17:00:00,7.1,8.9,317.43153,-0.8782462677104517
42,42,2022-07-07 18:00:00,6.85,9.4,309.8920852,-0.80790848500513
43,43,2022-07-07 19:00:00,6.5,8.95,337.1271879,-0.9880331674589106
44,44,2022-07-07 20:00:00,5.95,8.25,307.6686042,-0.7844366385628575
45,45,2022-07-07 21:00:00,5.15,8.0,305.1763031,-0.7567247433884429
46,46,2022-07-07 22:00:00,4.4,8.0,310.2568025,-0.8116433418837996
47,47,2022-07-07 23:00:00,3.95,7.4,307.7162014,-0.7849515926931656
48,48,2022-07-08 00:00:00,3.35,6.5,10.37540714,-0.9108608922294635
49,49,2022-07-08 01:00:00,2.75,4.25,356.3017656,-0.983879527580786
50,50,2022-07-08 02:00:00,2.7,3.6,18.75611257,-0.8409812946023436
51,51,2022-07-08 03:00:00,2.45,5.15,355.8424796,-0.9852814328270606
52,52,2022-07-08 04:00:00,2.3,6.3,4.708661783,-0.9471617977300301
53,53,2022-07-08 05:00:00,2.7,4.45,23.59388481,-0.7923547597577505
54,54,2022-07-08 06:00:00,4.55,6.5,1.718249361,-0.9626055082590362
55,55,2022-07-08 07:00:00,3.85,4.95,48.99709674,-0.4540356477457083
56,56,2022-07-08 08:00:00,3.9,4.25,21.767161,-0.8113989534692015
57,57,2022-07-08 09:00:00,5.35,4.7,353.1214224,-0.9922856549942779
58,58,2022-07-08 10:00:00,7.6,5.85,9.546921684,-0.9167332161885188
59,59,2022-07-08 11:00:00,7.65,5.15,349.0884732,-0.9985475297276365
60,60,2022-07-08 12:00:00,7.7,4.95,8.510702487,-0.9238080335638796
61,61,2022-07-08 13:00:00,8.85,6.5,348.4923576,-0.9990540308683712
62,62,2022-07-08 14:00:00,10.0,6.5,7.126194578,-0.9327888534022133
63,63,2022-07-08 15:00:00,10.8,5.8,334.4172484,-0.979635737983982
64,64,2022-07-08 16:00:00,10.25,5.6,334.0480382,-0.9783215752248003
65,65,2022-07-08 17:00:00,10.25,6.05,342.8271381,-0.9984670919951719
66,66,2022-07-08 18:00:00,9.7,5.6,342.3485758,-0.9979699706102488
67,67,2022-07-08 19:00:00,9.0,5.85,344.7265158,-0.9997530016895582
68,68,2022-07-08 20:00:00,8.3,4.7,7.165500988,-0.9325413740689468
69,69,2022-07-08 21:00:00,7.6,3.8,353.3242118,-0.9918406596234985
70,70,2022-07-08 22:00:00,7.05,1.55,37.37747704,-0.6241867640468779
71,71,2022-07-08 23:00:00,6.35,1.8,149.3079614,0.9578624151021927
72,72,2022-07-09 00:00:00,5.7,2.45,166.7470219,0.9999150065897076
73,73,2022-07-09 01:00:00,5.6,3.15,155.7348399,0.9839935804666337
74,74,2022-07-09 02:00:00,4.95,2.7,155.3456721,0.9827604844996307
75,75,2022-07-09 03:00:00,5.5,2.25,157.5094183,0.9890401469617461
76,76,2022-07-09 04:00:00,6.15,1.75,158.8429162,0.9922083012211547
77,77,2022-07-09 05:00:00,5.8,1.1,178.1916069,0.9774468401829882
78,78,2022-07-09 06:00:00,5.6,1.35,29.69504007,-0.7230269508936868
79,79,2022-07-09 07:00:00,5.65,2.7,20.49607597,-0.8241649782910406
80,80,2022-07-09 08:00:00,6.0,3.35,2.686336657,-0.9578909945656455
81,81,2022-07-09 09:00:00,7.55,5.35,341.1997917,-0.9964925550303764
82,82,2022-07-09 10:00:00,8.6,6.5,348.0549856,-0.9993568744715088
83,83,2022-07-09 11:00:00,8.75,6.5,330.1537066,-0.9619976845917066
84,84,2022-07-09 12:00:00,9.1,6.3,344.7016533,-0.9997432635614856
85,85,2022-07-09 13:00:00,9.7,7.6,334.8266433,-0.9810453708446573
86,86,2022-07-09 14:00:00,10.05,7.4,337.5451116,-0.989131933939043
87,87,2022-07-09 15:00:00,10.1,6.95,347.6269363,-0.9995968778544789
88,88,2022-07-09 16:00:00,10.45,7.4,312.6845556,-0.8356593388129456
89,89,2022-07-09 17:00:00,10.3,6.95,340.9220577,-0.996075214079805
90,90,2022-07-09 18:00:00,9.85,6.5,312.5654479,-0.8345157452213489
91,91,2022-07-09 19:00:00,9.4,7.2,307.151256,-0.7788046039789788
92,92,2022-07-09 20:00:00,8.5,6.95,323.9760513,-0.9270271941396039
93,93,2022-07-09 21:00:00,7.65,6.25,324.5354433,-0.9306441084421812
94,94,2022-07-09 22:00:00,6.65,5.15,315.2227373,-0.8591630287632323
95,95,2022-07-09 23:00:00,5.9,4.7,330.8443345,-0.9652190830835203
96,96,2022-07-10 00:00:00,5.3,4.25,347.9727288,-0.9994073250039974
97,97,2022-07-10 01:00:00,4.9,2.25,15.16794295,-0.8731948986269505
98,98,2022-07-10 02:00:00,4.7,1.1,49.20473684,-0.45080374599593537
99,99,2022-07-10 03:00:00,4.3,0.65,44.27287046,-0.5258744510393691
100,100,2022-07-10 04:00:00,4.55,0.85,30.89155456,-0.7084438760172885
101,101,2022-07-10 05:00:00,4.4,1.55,10.87367447,-0.9072373706776826
102,102,2022-07-10 06:00:00,4.2,0.4,21.30895602,-0.8160472540077075
103,103,2022-07-10 07:00:00,4.2,0.85,20.51307109,-0.8239969509076254
104,104,2022-07-10 08:00:00,4.25,2.7,33.89972463,-0.6704301849709107
105,105,2022-07-10 09:00:00,5.5,2.9,55.43618625,-0.35125039189459095
106,106,2022-07-10 10:00:00,7.2,4.45,11.79956512,-0.9003220748185398
107,107,2022-07-10 11:00:00,8.45,5.6,331.0468614,-0.9661371875952925
108,108,2022-07-10 12:00:00,9.1,5.8,334.3720863,-0.9794771710097018
109,109,2022-07-10 13:00:00,9.15,6.05,341.4078778,-0.9967898958690582
110,110,2022-07-10 14:00:00,9.5,6.5,332.7430208,-0.9733513323351636
111,111,2022-07-10 15:00:00,10.55,7.4,348.0701397,-0.9993473553202488
112,112,2022-07-10 16:00:00,10.8,7.2,329.8539727,-0.9605560695623776
113,113,2022-07-10 17:00:00,10.8,7.4,342.7038975,-0.9983457300515354
114,114,2022-07-10 18:00:00,10.0,7.4,305.2932721,-0.75805775896373
115,115,2022-07-10 19:00:00,9.75,6.95,310.4018125,-0.8131191755721795
116,116,2022-07-10 20:00:00,9.25,6.05,322.1016337,-0.9142655068445529
117,117,2022-07-10 21:00:00,8.25,4.45,306.2895356,-0.7692828787889354
118,118,2022-07-10 22:00:00,6.6,2.9,3.854019555,-0.9518407542363897
119,119,2022-07-10 23:00:00,6.25,1.75,29.0258753,-0.731045630329427
120,120,2022-07-11 00:00:00,6.1,2.45,152.5903766,0.9727369401068984
121,121,2022-07-11 01:00:00,6.15,2.2,160.8680662,0.995991365476602
122,122,2022-07-11 02:00:00,5.75,2.45,163.0563115,0.9986804893207127
123,123,2022-07-11 03:00:00,5.8,2.45,162.6578691,0.9982992185677488
124,124,2022-07-11 04:00:00,5.7,3.1,161.5421706,0.9969748108387401
125,125,2022-07-11 05:00:00,5.5,1.55,153.6898295,0.9770077442930365
126,126,2022-07-11 06:00:00,5.55,2.25,163.5611094,0.9990941760430648
127,127,2022-07-11 07:00:00,4.95,2.65,164.325239,0.999572831228732
128,128,2022-07-11 08:00:00,5.9,2.45,139.339819,0.8936834369766736
129,129,2022-07-11 09:00:00,8.25,1.8,127.2842858,0.7802588961052407
130,130,2022-07-11 10:00:00,9.45,1.3,17.72373186,-0.8505933865651963
131,131,2022-07-11 11:00:00,9.85,2.7,351.5962661,-0.9952337572337254
132,132,2022-07-11 12:00:00,10.65,3.1,12.22865625,-0.8970374401125886
133,133,2022-07-11 13:00:00,10.9,4.05,344.5018753,-0.9996581812158014
134,134,2022-07-11 14:00:00,11.4,4.25,342.4113454,-0.9980391423006519
135,135,2022-07-11 15:00:00,11.55,3.55,345.6874701,-0.9999851232930305
136,136,2022-07-11 16:00:00,11.7,4.0,334.208375,-0.978897269763136
137,137,2022-07-11 17:00:00,11.55,4.25,345.5773618,-0.9999727942773462
138,138,2022-07-11 18:00:00,10.8,3.8,344.0335566,-0.9994110953142552
139,139,2022-07-11 19:00:00,10.15,4.0,341.1076108,-0.9963566336312021
140,140,2022-07-11 20:00:00,9.45,3.8,326.0070726,-0.9397348326466097
141,141,2022-07-11 21:00:00,9.05,3.8,349.7387001,-0.9978718026674464
142,142,2022-07-11 22:00:00,7.95,2.65,9.516067673,-0.9169482156109172
143,143,2022-07-11 23:00:00,6.8,0.9,351.7613635,-0.9949486283352005
144,144,2022-07-12 00:00:00,6.8,1.75,146.2982231,0.9414600901064681
145,145,2022-07-12 01:00:00,6.9,2.25,156.5684243,0.9864820028689222
146,146,2022-07-12 02:00:00,5.85,1.8,159.2850014,0.9931400740330237
147,147,2022-07-12 03:00:00,6.05,2.0,158.1667382,0.9906688868489107
148,148,2022-07-12 04:00:00,5.3,2.0,151.5046024,0.9681677495376045
149,149,2022-07-12 05:00:00,4.95,1.8,142.586938,0.9176640620823465
150,150,2022-07-12 06:00:00,5.4,1.55,163.7461337,0.9992263847265174
151,151,2022-07-12 07:00:00,5.1,1.1,162.6042276,0.9982442011591673
152,152,2022-07-12 08:00:00,5.55,1.55,165.3652157,0.9999386276644334
153,153,2022-07-12 09:00:00,6.25,2.2,351.8299405,-0.9948277649860721
154,154,2022-07-12 10:00:00,7.55,2.7,22.21983699,-0.8067557838228506
155,155,2022-07-12 11:00:00,8.7,3.1,359.7673473,-0.9712700617300699
156,156,2022-07-12 12:00:00,9.45,4.0,348.4021828,-0.9991212340350581
157,157,2022-07-12 13:00:00,9.95,4.0,328.9867263,-0.9562369966155092
158,158,2022-07-12 14:00:00,10.35,4.5,349.6188516,-0.9980060149145166
159,159,2022-07-12 15:00:00,10.55,4.5,340.611659,-0.995581093897739
160,160,2022-07-12 16:00:00,10.6,5.4,327.2610286,-0.9469919843507801
161,161,2022-07-12 17:00:00,10.4,4.9,336.1721194,-0.9853249564710829
162,162,2022-07-12 18:00:00,10.3,5.15,332.7484741,-0.9733731540552478
