,Unnamed: 0,datetime,temp,ws,wdir,katabaticity
0,0,2016-06-19 00:29:59.971196,5.509,5.2435,0,
1,1,2016-06-19 01:00:00.028804,6.016,6.4735,0,
2,2,2016-06-19 01:30:00.000000,5.076,3.9895,0,
3,3,2016-06-19 01:59:59.971196,4.735,3.855,0,
4,4,2016-06-19 02:30:00.028804,4.32,1.007,0,
5,5,2016-06-19 03:00:00.000000,4.151,0.875,0,
6,6,2016-06-19 03:29:59.971196,4.064,1.1455,0,
7,7,2016-06-19 04:00:00.028804,3.949,1.101,0,
8,8,2016-06-19 04:30:00.000000,3.873,0.8045,0,
9,9,2016-06-19 04:59:59.971196,4.274,3.5115,0,
10,10,2016-06-19 05:30:00.028804,5.524,5.335,0,
11,11,2016-06-19 06:00:00.000000,5.757,5.338,0,
12,12,2016-06-19 06:29:59.971196,5.82,5.464,0,
13,13,2016-06-19 07:00:00.028804,6.094,5.331,0,
14,14,2016-06-19 07:30:00.000000,6.773,4.5085,0,
15,15,2016-06-19 07:59:59.971196,6.816,5.0505,0,
16,16,2016-06-19 08:30:00.028804,6.924,5.662,0,
17,17,2016-06-19 09:00:00.000000,6.821,5.246,0,
18,18,2016-06-19 09:29:59.971196,6.238,5.508,0,
19,19,2016-06-19 10:00:00.028804,5.794,5.2675,0,
20,20,2016-06-19 10:30:00.000000,6.14,5.4465,0,
21,21,2016-06-19 10:59:59.971196,6.314,4.784,0,
22,22,2016-06-19 11:30:00.028804,6.456,4.4415,0,
23,23,2016-06-19 12:00:00.000000,6.408,4.9275,0,
24,24,2016-06-19 12:29:59.971196,6.404,4.819,0,
25,25,2016-06-19 13:00:00.028804,7.662,3.986,0,
26,26,2016-06-19 13:30:00.000000,6.757,3.146,0,
27,27,2016-06-19 13:59:59.971196,6.638,2.0395,0,
28,28,2016-06-19 14:30:00.028804,6.21,1.505,0,
29,29,2016-06-19 15:00:00.000000,5.2,1.3785,0,
30,30,2016-06-19 15:29:59.971196,4.94,1.7935,0,
31,31,2016-06-19 16:00:00.028804,6.023,2.0175,0,
32,32,2016-06-19 16:30:00.000000,6.551,0.8045,0,
33,33,2016-06-19 16:59:59.971196,6.803,5.287,0,
34,34,2016-06-19 17:30:00.028804,6.055,7.081,0,
35,35,2016-06-19 18:00:00.000000,6.379,7.1025,0,
36,36,2016-06-19 18:29:59.971196,7.351,4.6415,0,
37,37,2016-06-19 19:00:00.028804,7.657,4.759,0,
38,38,2016-06-19 19:30:00.000000,6.498,6.281,0,
39,39,2016-06-19 19:59:59.971196,6.028,6.2055,0,
40,40,2016-06-19 20:30:00.028804,6.487,6.7515,0,
41,41,2016-06-19 21:00:00.000000,7.076,7.154,0,
42,42,2016-06-19 21:29:59.971196,7.162,6.2905,0,
43,43,2016-06-19 22:00:00.028804,6.928,3.141,0,
44,44,2016-06-19 22:30:00.000000,6.71,4.0245,0,
45,45,2016-06-19 22:59:59.971196,7.006,3.9825,0,
