,Unnamed: 0,datetime,temp,ws,wdir,katabaticity
0,0,2019-05-23 01:00:00,-23.87,1.652,37.61,0.8712994767185192
1,1,2019-05-23 02:00:00,-23.78,2.012,47.27,0.9412939131007878
2,2,2019-05-23 03:00:00,-23.79,2.081,37.2,0.8677654533689285
3,3,2019-05-23 04:00:00,-22.99,2.089,32.54,0.8245214139048751
4,4,2019-05-23 05:00:00,-22.1,2.075,30.18,0.8005222234878107
5,5,2019-05-23 06:00:00,-21.71,1.897,35.48,0.8524577260061624
6,6,2019-05-23 07:00:00,-22.68,2.564,51.14,0.9619323347784546
7,7,2019-05-23 08:00:00,-21.85,2.24,51.39,0.9631156167651556
8,8,2019-05-23 09:00:00,-21.33,2.359,42.58,0.9105394046779844
9,9,2019-05-23 10:00:00,-21.86,2.895,46.36,0.9358136758384908
10,10,2019-05-23 11:00:00,-22.83,2.483,72.25,0.9958049275746618
11,11,2019-05-23 12:00:00,-23.24,2.239,56.24,0.9824178281764752
12,12,2019-05-23 13:00:00,-24.64,2.117,23.01,0.7194610301392745
13,13,2019-05-23 14:00:00,-25.74,4.112,11.42,0.5652549879442833
14,14,2019-05-23 15:00:00,-26.03,4.265,353.1,0.27731465330237787
15,15,2019-05-23 16:00:00,-26.06,1.868,312.2,-0.419452082446177
16,16,2019-05-23 17:00:00,-26.38,2.898,344.5,0.13052619222005127
17,17,2019-05-23 18:00:00,-26.3,3.558,353.2,0.2789911060392292
18,18,2019-05-23 19:00:00,-26.44,3.663,0.243,0.3946316019162347
19,19,2019-05-23 20:00:00,-26.23,2.661,342.8,0.10105629718294608
20,20,2019-05-23 21:00:00,-26.38,2.769,352.3,0.263873049965373
21,21,2019-05-23 22:00:00,-26.16,3.33,348.1,0.19252196652590764
22,22,2019-05-23 23:00:00,-25.98,3.558,359.6,0.3842953226598039
23,23,2019-05-24 00:00:00,-26.18,3.93,5.697,0.4801775695191963
24,24,2019-05-24 01:00:00,-24.75,2.724,33.11,0.8301096173384491
25,25,2019-05-24 02:00:00,-23.64,2.663,39.43,0.8864460389779901
26,26,2019-05-24 03:00:00,-22.32,1.448,56.81,0.9842265000966649
27,27,2019-05-24 04:00:00,-21.51,1.66,50.87,0.9606338208497771
28,28,2019-05-24 05:00:00,-21.55,2.126,54.32,0.975611225313615
29,29,2019-05-24 06:00:00,-21.05,2.646,39.5,0.8870108331782217
30,30,2019-05-24 07:00:00,-20.96,2.983,49.47,0.9535593708335299
31,31,2019-05-24 08:00:00,-21.39,3.47,45.8,0.9323238012155122
32,32,2019-05-24 09:00:00,-21.77,3.016,57.07,0.9850191692558368
33,33,2019-05-24 10:00:00,-20.6,2.975,37.48,0.8701837546695257
34,34,2019-05-24 11:00:00,-21.48,3.102,44.46,0.9236121439536543
35,35,2019-05-24 12:00:00,-21.87,2.873,41.81,0.9049013511895844
36,36,2019-05-24 13:00:00,-22.61,3.077,178.2,-0.3616245700820921
37,37,2019-05-24 14:00:00,-24.05,2.268,244.0,-0.9986295347545738
38,38,2019-05-24 15:00:00,-23.95,2.619,226.8,-0.9384930227595559
39,39,2019-05-24 16:00:00,-23.43,2.609,208.9,-0.7869350219613372
40,40,2019-05-24 17:00:00,-23.01,2.99,300.4,-0.5962248749656162
41,41,2019-05-24 18:00:00,-23.24,1.114,353.3,0.28066670892078766
42,42,2019-05-24 19:00:00,-23.24,1.79,342.8,0.10105629718294608
43,43,2019-05-24 20:00:00,-23.77,3.794,5.764,0.48120297931791944
44,44,2019-05-24 21:00:00,-24.33,4.274,9.97,0.5441998334946452
45,45,2019-05-24 22:00:00,-24.88,5.068,4.699,0.46482659261987536
46,46,2019-05-24 23:00:00,-24.92,3.83,24.25,0.7343225094356856
47,47,2019-05-25 00:00:00,-25.42,5.622,10.14,0.5466866658776154
48,48,2019-05-25 01:00:00,-24.59,3.599,35.13,0.8492482609063371
49,49,2019-05-25 02:00:00,-23.76,3.667,42.09,0.9069705158646469
50,50,2019-05-25 03:00:00,-23.06,3.711,52.42,0.9677971003288655
51,51,2019-05-25 04:00:00,-22.61,3.942,53.66,0.973018030618063
52,52,2019-05-25 05:00:00,-22.07,4.407,42.15,0.9074110919286967
53,53,2019-05-25 06:00:00,-21.89,4.829,42.95,0.9131901651548396
54,54,2019-05-25 07:00:00,-21.71,4.986,46.18,0.9347016637318797
55,55,2019-05-25 08:00:00,-21.99,4.962,47.26,0.9412349785144076
56,56,2019-05-25 09:00:00,-22.07,4.345,45.85,0.9326390231430941
57,57,2019-05-25 10:00:00,-22.35,4.517,49.18,0.9520226269456766
58,58,2019-05-25 11:00:00,-23.26,4.892,43.43,0.9165722262029005
59,59,2019-05-25 12:00:00,-25.04,6.751,15.29,0.6196420530404846
60,60,2019-05-25 13:00:00,-24.96,6.361,15.19,0.618271228036998
61,61,2019-05-25 14:00:00,-24.39,4.948,16.04,0.6298627878760487
62,62,2019-05-25 15:00:00,-23.33,5.207,9.87,0.542734751580542
63,63,2019-05-25 16:00:00,-22.7,4.049,2.9,0.43680178836770234
64,64,2019-05-25 17:00:00,-22.51,3.668,336.2,-0.013962180339145475
65,65,2019-05-25 18:00:00,-22.62,4.667,268.0,-0.9335804264972017
66,66,2019-05-25 19:00:00,-22.75,14.14,257.6,-0.9829353491495542
67,67,2019-05-25 20:00:00,-24.83,8.07,266.6,-0.9420574527872966
68,68,2019-05-25 21:00:00,-25.12,6.269,340.4,0.0593063735759613
69,69,2019-05-25 22:00:00,-25.9,4.49,356.9,0.34037955021304966
70,70,2019-05-25 23:00:00,-26.48,5.298,352.6,0.2689198206152663
71,71,2019-05-26 00:00:00,-26.9,6.249,18.77,0.6661420485797873
72,72,2019-05-26 01:00:00,-26.89,5.068,40.9,0.8980275757606156
73,73,2019-05-26 02:00:00,-26.53,5.007,42.88,0.9126915874035029
74,74,2019-05-26 03:00:00,-26.16,4.248,49.93,0.9559468429275256
75,75,2019-05-26 04:00:00,-25.39,3.916,41.11,0.899634001547601
76,76,2019-05-26 05:00:00,-24.45,3.547,45.94,0.9332046326338985
77,77,2019-05-26 06:00:00,-23.53,3.232,50.98,0.9611654217888519
78,78,2019-05-26 07:00:00,-23.17,3.719,44.41,0.923277275238149
79,79,2019-05-26 08:00:00,-23.19,3.42,72.33,0.995676196568517
80,80,2019-05-26 09:00:00,-22.91,3.557,211.2,-0.8110638189893264
81,81,2019-05-26 10:00:00,-23.05,4.069,188.6,-0.523985905970079
82,82,2019-05-26 11:00:00,-22.64,4.021,190.6,-0.553391549243344
83,83,2019-05-26 12:00:00,-21.86,3.163,200.7,-0.690882411076858
84,84,2019-05-26 13:00:00,-22.35,2.647,197.9,-0.6547408137173397
85,85,2019-05-26 14:00:00,-23.46,2.241,231.2,-0.9622179935292853
86,86,2019-05-26 15:00:00,-25.19,2.852,349.0,0.20791169081775943
87,87,2019-05-26 16:00:00,-25.57,3.125,1.046,0.4074699532125174
88,88,2019-05-26 17:00:00,-26.02,2.229,344.9,0.1374445460371459
89,89,2019-05-26 18:00:00,-26.83,2.065,353.7,0.28736051984971145
90,90,2019-05-26 19:00:00,-27.1,1.955,9.51,0.5374467997386615
91,91,2019-05-26 20:00:00,-27.52,2.152,357.1,0.34365969458561624
92,92,2019-05-26 21:00:00,-27.43,3.433,356.6,0.3354515697502557
93,93,2019-05-26 22:00:00,-27.79,2.066,345.7,0.15126082024721935
94,94,2019-05-26 23:00:00,-28.09,1.011,358.2,0.3616245700820922
95,95,2019-05-27 00:00:00,-27.21,1.038,45.54,0.9306732073488878
96,96,2019-05-27 01:00:00,-25.29,1.714,41.31,0.9011526953860919
97,97,2019-05-27 02:00:00,-24.02,1.525,49.16,0.9519157451481453
98,98,2019-05-27 03:00:00,-23.11,1.28,51.17,0.9620752960330694
99,99,2019-05-27 04:00:00,-22.85,1.321,65.02,0.9994029483549729
100,100,2019-05-27 05:00:00,-22.99,1.657,104.7,0.79122353296749
101,101,2019-05-27 06:00:00,-22.14,1.427,69.61,0.9989626372405491
102,102,2019-05-27 07:00:00,-22.59,2.31,229.7,-0.9547607995027974
103,103,2019-05-27 08:00:00,-22.64,3.712,208.8,-0.785856893175402
104,104,2019-05-27 09:00:00,-22.02,2.749,173.6,-0.28568836740497344
105,105,2019-05-27 10:00:00,-21.9,2.975,122.8,0.5620833778521307
106,106,2019-05-27 11:00:00,-22.3,2.349,275.4,-0.8796485728666167
107,107,2019-05-27 12:00:00,-24.04,3.107,359.9,0.38912395014020607
108,108,2019-05-27 13:00:00,-24.96,2.179,346.5,0.1650476058606778
109,109,2019-05-27 14:00:00,-25.62,3.048,4.523,0.46210464499119774
110,110,2019-05-27 15:00:00,-24.44,3.634,2.612,0.43227461868654865
111,111,2019-05-27 16:00:00,-23.85,2.707,359.8,0.3875155864521029
112,112,2019-05-27 17:00:00,-22.68,6.94,257.0,-0.984807753012208
113,113,2019-05-27 18:00:00,-22.85,8.97,250.5,-0.9981347984218669
114,114,2019-05-27 19:00:00,-23.2,6.695,260.7,-0.9715491199976463
115,115,2019-05-27 20:00:00,-23.49,5.703,258.4,-0.980271174621722
116,116,2019-05-27 21:00:00,-23.81,6.82,264.0,-0.9563047559630354
117,117,2019-05-27 22:00:00,-24.68,3.01,35.3,0.8508111094240511
118,118,2019-05-27 23:00:00,-25.12,3.236,18.91,0.667962452170139
119,119,2019-05-28 00:00:00,-25.75,2.964,19.97,0.6816153306904396
120,120,2019-05-28 01:00:00,-25.78,4.005,29.44,0.7927154119254235
121,121,2019-05-28 02:00:00,-25.49,3.145,59.48,0.9913992387361745
122,122,2019-05-28 03:00:00,-25.25,3.017,58.91,0.9900482345416844
123,123,2019-05-28 04:00:00,-25.14,2.88,54.07,0.9746441670910125
124,124,2019-05-28 05:00:00,-24.46,2.799,53.53,0.9724920188084113
125,125,2019-05-28 06:00:00,-23.63,2.867,68.44,0.9996841892832999
126,126,2019-05-28 07:00:00,-22.42,3.085,41.53,0.9028105756982937
127,127,2019-05-28 08:00:00,-22.05,2.946,45.48,0.9302895782379647
128,128,2019-05-28 09:00:00,-21.56,3.126,16.72,0.639036349704162
129,129,2019-05-28 10:00:00,-21.68,3.557,206.0,-0.754709580222772
130,130,2019-05-28 11:00:00,-22.65,4.048,232.9,-0.9698720152847468
131,131,2019-05-28 12:00:00,-24.08,3.469,354.7,0.30403306092549043
132,132,2019-05-28 13:00:00,-25.25,5.393,5.927,0.48369488251839293
133,133,2019-05-28 14:00:00,-25.31,5.73,0.252,0.39477592800728
134,134,2019-05-28 15:00:00,-25.45,4.359,6.868,0.49800349555140183
135,135,2019-05-28 16:00:00,-25.34,4.845,3.74,0.44994257995570003
136,136,2019-05-28 17:00:00,-24.9,4.024,356.7,0.33709525842308186
137,137,2019-05-28 18:00:00,-25.44,2.44,356.8,0.33873792024529187
138,138,2019-05-28 19:00:00,-25.51,3.139,354.0,0.2923717047227367
139,139,2019-05-28 20:00:00,-25.14,3.722,334.1,-0.050592940076713014
140,140,2019-05-28 21:00:00,-25.33,4.528,301.8,-0.5764323161697934
141,141,2019-05-28 22:00:00,-25.17,4.679,304.8,-0.5328762760707298
142,142,2019-05-28 23:00:00,-25.38,4.996,330.1,-0.12013683883464689
143,143,2019-05-29 00:00:00,-24.73,5.396,303.6,-0.550480740084995
144,144,2019-05-29 01:00:00,-24.45,4.9,327.7,-0.161603821103361
145,145,2019-05-29 02:00:00,-24.15,2.914,35.96,0.856807527437643
