,datetime,temp,ws,wdir
0,2015-07-27 13:20:00,10.2,3.6,271.0
1,2015-07-27 13:30:00,10.1,4.2,275.0
2,2015-07-27 13:40:00,9.7,6.0,244.0
3,2015-07-27 13:50:00,10.0,4.2,239.0
4,2015-07-27 14:00:00,10.0,5.0,247.0
5,2015-07-27 14:10:00,10.5,3.0,246.0
6,2015-07-27 14:20:00,10.4,5.1,231.0
7,2015-07-27 14:30:00,10.5,5.4,225.0
8,2015-07-27 14:40:00,10.5,4.4,232.0
9,2015-07-27 14:50:00,10.3,6.4,250.0
10,2015-07-27 15:00:00,10.5,5.6,238.0
11,2015-07-27 15:10:00,10.4,7.0,225.0
12,2015-07-27 15:20:00,10.3,7.2,238.0
13,2015-07-27 15:30:00,10.5,6.6,230.0
14,2015-07-27 15:40:00,10.4,6.6,228.0
15,2015-07-27 15:50:00,10.1,6.4,223.0
16,2015-07-27 16:00:00,10.1,7.1,243.0
17,2015-07-27 16:10:00,9.9,7.0,225.0
18,2015-07-27 16:20:00,10.0,6.0,225.0
19,2015-07-27 16:30:00,10.2,6.1,215.0
20,2015-07-27 16:40:00,10.2,6.0,218.0
21,2015-07-27 16:50:00,9.8,7.0,222.0
22,2015-07-27 17:00:00,9.6,6.2,233.0
23,2015-07-27 17:10:00,9.6,5.4,238.0
24,2015-07-27 17:20:00,9.7,5.7,228.0
25,2015-07-27 17:30:00,9.4,5.5,232.0
26,2015-07-27 17:40:00,9.4,5.1,232.0
27,2015-07-27 17:50:00,9.3,5.3,243.0
28,2015-07-27 18:00:00,9.1,5.3,239.0
29,2015-07-27 18:10:00,9.3,3.8,234.0
30,2015-07-27 18:20:00,9.1,5.3,223.0
31,2015-07-27 18:30:00,8.9,3.1,223.0
32,2015-07-27 18:40:00,8.5,4.5,239.0
33,2015-07-27 18:50:00,8.3,5.0,232.0
34,2015-07-27 19:00:00,8.0,4.1,258.0
35,2015-07-27 19:10:00,8.0,4.6,247.0
36,2015-07-27 19:20:00,7.8,4.6,247.0
37,2015-07-27 19:30:00,7.8,4.1,260.0
38,2015-07-27 19:40:00,7.7,3.9,261.0
39,2015-07-27 19:50:00,7.6,3.9,269.0
40,2015-07-27 20:00:00,7.6,4.4,273.0
41,2015-07-27 20:10:00,7.6,4.1,275.0
42,2015-07-27 20:20:00,7.8,4.3,252.0
43,2015-07-27 20:30:00,7.8,2.0,229.0
44,2015-07-27 20:40:00,7.6,1.9,283.0
45,2015-07-27 20:50:00,6.9,1.4,342.0
46,2015-07-27 21:00:00,6.4,1.8,51.0
47,2015-07-27 21:10:00,6.4,3.4,43.0
48,2015-07-27 21:20:00,6.1,4.0,55.0
49,2015-07-27 21:30:00,6.0,4.4,58.0
50,2015-07-27 21:40:00,6.1,3.2,47.0
51,2015-07-27 21:50:00,5.0,2.3,93.0
52,2015-07-27 22:00:00,5.0,2.6,53.0
53,2015-07-27 22:10:00,4.3,2.3,52.0
54,2015-07-27 22:20:00,4.9,1.4,26.0
55,2015-07-27 22:30:00,4.8,1.8,52.0
56,2015-07-27 22:40:00,4.5,2.1,32.0
57,2015-07-27 22:50:00,4.2,2.5,36.0
58,2015-07-27 23:00:00,3.7,2.9,41.0
59,2015-07-27 23:10:00,3.8,2.5,36.0
60,2015-07-27 23:20:00,4.8,2.3,29.0
61,2015-07-27 23:30:00,4.6,1.8,60.0
62,2015-07-27 23:40:00,4.9,1.3,106.0
63,2015-07-27 23:50:00,6.1,2.9,172.0
64,2015-07-28 00:00:00,6.3,4.4,243.0
65,2015-07-28 00:10:00,6.3,4.6,239.0
