,Unnamed: 0,datetime,temp,ws,wdir,katabaticity
0,0,2022-05-09 07:00:00,-19.77,18.05,145.8,-0.8270805742745619
1,1,2022-05-09 08:00:00,-19.22,17.11,144.4,-0.8131007610470276
2,2,2022-05-09 09:00:00,-18.51,17.78,146.8,-0.8367643134589616
3,3,2022-05-09 10:00:00,-18.5,17.88,144.9,-0.8181497174250236
4,4,2022-05-09 11:00:00,-18.02,17.43,149.0,-0.8571673007021122
5,5,2022-05-09 12:00:00,-18.34,17.57,151.5,-0.8788171126619653
6,6,2022-05-09 13:00:00,-19.08,16.79,151.4,-0.8779829754279805
7,7,2022-05-09 14:00:00,-20.09,15.99,152.9,-0.8902128046111265
8,8,2022-05-09 15:00:00,-21.02,16.03,150.3,-0.8686315144381913
9,9,2022-05-09 16:00:00,-21.65,16.21,147.9,-0.8471219213821372
10,10,2022-05-09 17:00:00,-21.9,16.83,149.7,-0.8633955506067716
11,11,2022-05-09 18:00:00,-22.56,16.47,155.9,-0.9128341772330427
12,12,2022-05-09 19:00:00,-22.97,17.34,160.5,-0.9426414910921783
13,13,2022-05-09 20:00:00,-23.08,19.78,160.4,-0.9420574527872967
14,14,2022-05-09 21:00:00,-23.14,20.1,157.3,-0.9225380894562464
15,15,2022-05-09 22:00:00,-23.47,21.45,157.4,-0.9232102171129809
16,16,2022-05-09 23:00:00,-23.69,22.87,154.8,-0.9048270524660196
17,17,2022-05-10 00:00:00,-23.61,23.62,154.6,-0.9033352928633008
18,18,2022-05-10 01:00:00,-23.95,23.11,157.1,-0.9211854055657211
19,19,2022-05-10 02:00:00,-23.68,23.52,160.4,-0.9420574527872967
20,20,2022-05-10 03:00:00,-23.69,24.03,160.5,-0.9426414910921783
21,21,2022-05-10 04:00:00,-23.93,22.41,164.4,-0.9631625667976581
22,22,2022-05-10 05:00:00,-23.83,22.52,165.1,-0.9663760793213293
23,23,2022-05-10 06:00:00,-23.38,22.71,165.4,-0.9677091704819712
24,24,2022-05-10 07:00:00,-22.95,24.28,164.9,-0.965472630879225
25,25,2022-05-10 08:00:00,-22.73,25.03,164.6,-0.96409540423411
26,26,2022-05-10 09:00:00,-22.83,25.64,164.9,-0.965472630879225
27,27,2022-05-10 10:00:00,-22.72,27.68,164.2,-0.9622179935292853
28,28,2022-05-10 11:00:00,-22.73,27.41,164.8,-0.9650164944723114
29,29,2022-05-10 12:00:00,-23.16,26.79,163.7,-0.9598052919751868
30,30,2022-05-10 13:00:00,-23.53,26.66,164.7,-0.964557418457798
31,31,2022-05-10 14:00:00,-24.82,27.29,163.1,-0.9568135840576074
32,32,2022-05-10 15:00:00,-25.61,28.85,163.0,-0.9563047559630355
