,Unnamed: 0,datetime,temp,ws,wdir,katabaticity
0,0,2019-05-09 08:00:00,-7.274,4.83,315.7,-0.8120835268918064
1,1,2019-05-09 09:00:00,-7.121,4.543,320.9,-0.75585346916764
2,2,2019-05-09 10:00:00,-5.747,2.335,288.3,-0.9895257890689694
3,3,2019-05-09 11:00:00,-5.653,1.662,293.3,-0.9731788727770883
4,4,2019-05-09 12:00:00,-6.577,1.586,266.1,-0.9707164815781908
5,5,2019-05-09 13:00:00,-8.04,2.05,295.5,-0.9636304532086231
6,6,2019-05-09 14:00:00,-8.36,1.57,307.3,-0.8886172326549489
7,7,2019-05-09 15:00:00,-8.49,1.109,298.4,-0.9488760116444968
8,8,2019-05-09 16:00:00,-8.86,1.27,347.2,-0.3875155864521032
9,9,2019-05-09 17:00:00,-8.77,1.696,32.45,0.38187704976567477
10,10,2019-05-09 18:00:00,-9.03,1.578,28.54,0.31796663383241086
11,11,2019-05-09 19:00:00,-9.07,2.18,29.24,0.3295258656237704
12,12,2019-05-09 20:00:00,-8.8,2.906,33.67,0.40146828176700206
13,13,2019-05-09 21:00:00,-8.81,3.597,17.76,0.13502386694249927
14,14,2019-05-09 22:00:00,-8.97,3.445,4.341,-0.09860767754209838
15,15,2019-05-09 23:00:00,-9.23,2.872,1.933,-0.1403309959061479
16,16,2019-05-10 00:00:00,-9.3,2.444,34.08,0.40801179627259265
17,17,2019-05-10 01:00:00,-9.44,2.774,26.78,0.2886976117979245
18,18,2019-05-10 02:00:00,-9.16,2.667,21.88,0.20586260876988136
19,19,2019-05-10 03:00:00,-8.69,2.653,355.6,-0.24868988716485443
20,20,2019-05-10 04:00:00,-8.27,2.179,347.2,-0.3875155864521032
21,21,2019-05-10 05:00:00,-7.654,3.334,325.6,-0.699663340513365
22,22,2019-05-10 06:00:00,-6.326,2.722,329.5,-0.6494480483301834
23,23,2019-05-10 07:00:00,-6.548,2.802,14.97,0.08663412450019277
24,24,2019-05-10 08:00:00,-6.52,3.36,44.26,0.5629491862491819
