,Unnamed: 0,datetime,temp,ws,wdir,katabaticity
0,0,2022-01-07 00:00:00,4.465,0.8965000000000001,221.75,0.9288095528719242
1,1,2022-01-07 01:00:00,3.2750000000000004,1.58,247.45,0.6762333461397156
2,2,2022-01-07 02:00:00,3.475,1.4495,206.75,0.9930684569549263
3,3,2022-01-07 03:00:00,2.905,1.2815,227.2,0.8894163732912976
4,4,2022-01-07 04:00:00,3.22,1.667,237.3,0.7954734808548958
5,5,2022-01-07 05:00:00,3.475,1.8045,235.45,0.8146219672274694
6,6,2022-01-07 06:00:00,4.18,1.2125,183.0,0.9563047559630354
7,7,2022-01-07 07:00:00,4.855,1.5505,249.6,0.648119901063131
8,8,2022-01-07 08:00:00,6.245,0.6455,185.15,0.9666001020169074
9,9,2022-01-07 09:00:00,6.71,1.004,219.3,0.9438009515832294
10,10,2022-01-07 10:00:00,5.83,1.4295,249.65,0.6474550868194019
11,11,2022-01-07 11:00:00,7.445,0.985,209.1,0.9874138067509114
12,12,2022-01-07 12:00:00,7.49,1.697,191.5,0.9890158633619168
13,13,2022-01-07 13:00:00,6.475,5.0395,203.85,0.9977432534762729
14,14,2022-01-07 14:00:00,7.244999999999999,5.4525,223.25,0.9187912101488983
15,15,2022-01-07 15:00:00,6.105,3.3280000000000003,191.9,0.9900236577165575
16,16,2022-01-07 16:00:00,6.19,3.4145,175.45,0.9095990363114231
17,17,2022-01-07 17:00:00,7.155,4.9705,86.28,-0.402267378703233
18,18,2022-01-07 18:00:00,5.984999999999999,3.0535,113.5,0.06104853953485691
19,19,2022-01-07 19:00:00,4.44,1.581,128.75,0.3214394653031617
20,20,2022-01-07 20:00:00,5.0,2.6095,207.65,0.9910997473659747
21,21,2022-01-07 21:00:00,4.245,2.2430000000000003,200.05,0.9999996192282494
22,22,2022-01-07 22:00:00,4.3100000000000005,1.8035,235.05,0.8186511925762552
23,23,2022-01-07 23:00:00,4.6850000000000005,2.295,257.35,0.5395057581708107
24,24,2022-01-08 00:00:00,2.85,4.943,194.5,0.9953961983671789
25,25,2022-01-08 01:00:00,3.09,3.3145,220.2,0.938493022759556
26,26,2022-01-08 02:00:00,1.88,1.631,239.3,0.7738402097265061
27,27,2022-01-08 03:00:00,1.52,1.264,180.6,0.943222657947601
28,28,2022-01-08 04:00:00,2.675,3.3105,205.6,0.9952273999818312
29,29,2022-01-08 05:00:00,2.21,2.4655,233.45,0.8343671603687318
30,30,2022-01-08 06:00:00,3.01,1.0025,212.9,0.9747611941912218
31,31,2022-01-08 07:00:00,3.365,3.305,226.0,0.898794046299167
32,32,2022-01-08 08:00:00,4.245,3.725,203.75,0.9978589232386035
33,33,2022-01-08 09:00:00,4.4,4.2795000000000005,205.25,0.9958049275746618
34,34,2022-01-08 10:00:00,3.685,4.872,235.5,0.8141155183563192
35,35,2022-01-08 11:00:00,3.815,5.096,194.05,0.994612734963156
36,36,2022-01-08 12:00:00,3.035,6.3615,143.39999999999998,0.5504807400849953
37,37,2022-01-08 13:00:00,3.145,3.925,177.35,0.9228745046891543
38,38,2022-01-08 14:00:00,2.6900000000000004,3.3275,152.85000000000002,0.6800813455659819
39,39,2022-01-08 15:00:00,2.865,3.709,168.2,0.8498926929868638
40,40,2022-01-08 16:00:00,3.0250000000000004,3.886,169.55,0.8620717430769584
41,41,2022-01-08 17:00:00,3.365,3.7795,207.2,0.9921147013144779
42,42,2022-01-08 18:00:00,3.5650000000000004,3.558,216.35,0.9595599986309626
43,43,2022-01-08 19:00:00,4.1850000000000005,4.4145,189.15,0.9821233556773956
44,44,2022-01-08 20:00:00,3.285,4.131,211.85,0.9786885595886878
45,45,2022-01-08 21:00:00,3.76,5.395,223.85,0.9146071597986136
46,46,2022-01-08 22:00:00,3.855,3.0555000000000003,171.89999999999998,0.8821268660176675
47,47,2022-01-08 23:00:00,3.405,3.6795,161.75,0.785316930880745
48,48,2022-01-09 00:00:00,1.55,2.5135,258.5,0.5224985647159489
49,49,2022-01-09 01:00:00,1.95,2.03,263.75,0.44228869021900125
50,50,2022-01-09 02:00:00,2.205,1.314,236.75,0.8012538126910607
51,51,2022-01-09 03:00:00,2.34,0.724,167.55,0.8438600069755026
52,52,2022-01-09 04:00:00,1.655,0.7384999999999999,197.6,0.9991228300988584
53,53,2022-01-09 05:00:00,1.4500000000000002,0.956,219.7,0.941470544812038
54,54,2022-01-09 06:00:00,2.6,3.86,234.05,0.8285492690769235
55,55,2022-01-09 07:00:00,3.72,2.2065,195.1,0.9963452961909064
56,56,2022-01-09 08:00:00,4.4,0.9895,88.45,-0.36731302956691275
57,57,2022-01-09 09:00:00,5.535,2.1025,161.05,0.7776948511157259
58,58,2022-01-09 10:00:00,4.985,4.6555,242.8,0.7337298645028763
59,59,2022-01-09 11:00:00,4.73,6.365500000000001,133.2,0.3939419095909509
60,60,2022-01-09 12:00:00,4.675000000000001,6.2295,130.45,0.349389847328425
61,61,2022-01-09 13:00:00,4.675,4.6115,160.7,0.7738402097265061
62,62,2022-01-09 14:00:00,4.285,4.035,155.10000000000002,0.7083398377245291
63,63,2022-01-09 15:00:00,4.595000000000001,6.3695,152.05,0.6697788676917008
64,64,2022-01-09 16:00:00,4.74,3.008,173.95,0.8984111531194787
65,65,2022-01-09 17:00:00,4.725,3.641,198.05,0.9994209020316729
66,66,2022-01-09 18:00:00,3.79,2.8355,203.55,0.9980811434661735
67,67,2022-01-09 19:00:00,3.535,1.3555,187.85,0.9775999377647907
68,68,2022-01-09 20:00:00,3.38,3.896,203.2,0.998440764181981
69,69,2022-01-09 21:00:00,2.69,2.0025,195.35,0.9967085121555869
70,70,2022-01-09 22:00:00,3.075,1.6270000000000002,252.65,0.6066823510019996
71,71,2022-01-09 23:00:00,2.765,2.451,211.4,0.9802711746217219
72,72,2022-01-10 00:00:00,-5.04,3.3145,262.4,0.46329603511986217
73,73,2022-01-10 01:00:00,-5.54,2.28,250.75,0.6327053285625162
74,74,2022-01-10 02:00:00,-5.25,2.7765,264.05,0.43758663419901844
75,75,2022-01-10 03:00:00,-4.715,1.8605,249.05,0.6554001709117937
76,76,2022-01-10 04:00:00,-3.735,2.5755,211.25,0.9807852804032304
77,77,2022-01-10 05:00:00,-3.78,2.0595,227.05,0.8906100035188772
78,78,2022-01-10 06:00:00,-3.525,1.976,257.6,0.5358267949789964
79,79,2022-01-10 07:00:00,-3.575,1.3275,238.3,0.7847763705330828
80,80,2022-01-10 08:00:00,-2.165,2.7655000000000003,241.9,0.744311546231154
81,81,2022-01-10 09:00:00,1.4,1.464,152.0,0.6691306063588582
82,82,2022-01-10 10:00:00,2.745,1.021,159.35,0.758703110658978
83,83,2022-01-10 11:00:00,3.68,1.164,161.75,0.785316930880745
84,84,2022-01-10 12:00:00,0.26,1.931,203.8,0.99780146829205
85,85,2022-01-10 13:00:00,0.1699999999999999,3.7255,188.95,0.9814602974323101
86,86,2022-01-10 14:00:00,0.315,3.6695,136.4,0.4446351791849275
87,87,2022-01-10 15:00:00,-0.85,4.385,166.2,0.8309844692743282
88,88,2022-01-10 16:00:00,-2.435,4.2635000000000005,218.35,0.9491511060531285
89,89,2022-01-10 17:00:00,-3.26,1.5015,191.4,0.9887563810470059
90,90,2022-01-10 18:00:00,-2.555,1.485,233.15,0.8372418338377389
91,91,2022-01-10 19:00:00,-2.455,1.572,131.25,0.3624380382837017
92,92,2022-01-10 20:00:00,-4.275,1.888,233.15,0.8372418338377389
93,93,2022-01-10 21:00:00,-4.365,3.786,260.25,0.49621650367520814
94,94,2022-01-10 22:00:00,-4.58,3.0775,262.7,0.4586495544843151
95,95,2022-01-10 23:00:00,-4.535,2.8315,255.95,0.5599161622172517
96,96,2022-01-11 00:00:00,,,,
97,97,2022-01-11 01:00:00,,,,
98,98,2022-01-11 02:00:00,,,,
99,99,2022-01-11 03:00:00,,,,
100,100,2022-01-11 04:00:00,,,,
101,101,2022-01-11 05:00:00,,,,
102,102,2022-01-11 06:00:00,,,,
103,103,2022-01-11 07:00:00,,,,
104,104,2022-01-11 08:00:00,,,,
105,105,2022-01-11 09:00:00,,,,
106,106,2022-01-11 10:00:00,,,,
107,107,2022-01-11 11:00:00,,,,
108,108,2022-01-11 12:00:00,,,,
109,109,2022-01-11 13:00:00,,,,
110,110,2022-01-11 14:00:00,,,,
111,111,2022-01-11 15:00:00,,,,
112,112,2022-01-11 16:00:00,,,,
113,113,2022-01-11 17:00:00,,,,
114,114,2022-01-11 18:00:00,,,,
115,115,2022-01-11 19:00:00,,,,
116,116,2022-01-11 20:00:00,,,,
117,117,2022-01-11 21:00:00,,,,
118,118,2022-01-11 22:00:00,,,,
119,119,2022-01-11 23:00:00,,,,
120,120,2022-01-12 00:00:00,,,,
121,121,2022-01-12 01:00:00,,,,
122,122,2022-01-12 02:00:00,,,,
123,123,2022-01-12 03:00:00,,,,
124,124,2022-01-12 04:00:00,,,,
125,125,2022-01-12 05:00:00,,,,
126,126,2022-01-12 06:00:00,,,,
127,127,2022-01-12 07:00:00,,,,
128,128,2022-01-12 08:00:00,,,,
129,129,2022-01-12 09:00:00,,,,
130,130,2022-01-12 10:00:00,,,,
131,131,2022-01-12 11:00:00,,,,
132,132,2022-01-12 12:00:00,,,,
133,133,2022-01-12 13:00:00,,,,
134,134,2022-01-12 14:00:00,,,,
135,135,2022-01-12 15:00:00,,,,
136,136,2022-01-12 16:00:00,,,,
137,137,2022-01-12 17:00:00,,,,
138,138,2022-01-12 18:00:00,,,,
139,139,2022-01-12 19:00:00,,,,
140,140,2022-01-12 20:00:00,,,,
141,141,2022-01-12 21:00:00,,,,
142,142,2022-01-12 22:00:00,,,,
143,143,2022-01-12 23:00:00,,,,
144,144,2022-01-13 00:00:00,,,,
145,145,2022-01-13 01:00:00,,,,
146,146,2022-01-13 02:00:00,,,,
147,147,2022-01-13 03:00:00,,,,
148,148,2022-01-13 04:00:00,,,,
149,149,2022-01-13 05:00:00,,,,
150,150,2022-01-13 06:00:00,,,,
151,151,2022-01-13 07:00:00,,,,
152,152,2022-01-13 08:00:00,,,,
153,153,2022-01-13 09:00:00,,,,
154,154,2022-01-13 10:00:00,,,,
155,155,2022-01-13 11:00:00,,,,
156,156,2022-01-13 12:00:00,,,,
157,157,2022-01-13 13:00:00,,,,
158,158,2022-01-13 14:00:00,,,,
159,159,2022-01-13 15:00:00,,,,
160,160,2022-01-13 16:00:00,,,,
161,161,2022-01-13 17:00:00,,,,
162,162,2022-01-13 18:00:00,,,,
163,163,2022-01-13 19:00:00,,,,
164,164,2022-01-13 20:00:00,,,,
165,165,2022-01-13 21:00:00,,,,
166,166,2022-01-13 22:00:00,,,,
167,167,2022-01-13 23:00:00,,,,
168,168,2022-01-14 00:00:00,,,,
169,169,2022-01-14 01:00:00,,,,
170,170,2022-01-14 02:00:00,,,,
171,171,2022-01-14 03:00:00,,,,
172,172,2022-01-14 04:00:00,,,,
173,173,2022-01-14 05:00:00,,,,
174,174,2022-01-14 06:00:00,,,,
175,175,2022-01-14 07:00:00,,,,
176,176,2022-01-14 08:00:00,,,,
