,datetime,temp,ws,wdir
0,2022-08-11 00:00:00,4.75,3.6,330.6878142
1,2022-08-11 01:00:00,4.75,2.9,336.2027808
2,2022-08-11 02:00:00,4.5,3.6,332.8378233
3,2022-08-11 03:00:00,4.5,4.0,345.2960919
4,2022-08-11 04:00:00,4.25,3.55,339.6383672
5,2022-08-11 05:00:00,4.25,3.8,346.5943651
6,2022-08-11 06:00:00,4.2,4.25,343.2691112
7,2022-08-11 07:00:00,4.35,4.0,342.4514235
8,2022-08-11 08:00:00,4.3,3.8,346.1811262
9,2022-08-11 09:00:00,4.85,3.35,328.5311006
10,2022-08-11 10:00:00,5.35,3.6,328.3982966
11,2022-08-11 11:00:00,6.0,3.15,336.4570421
12,2022-08-11 12:00:00,5.55,3.8,332.3428208
13,2022-08-11 13:00:00,5.65,4.25,341.686362
14,2022-08-11 14:00:00,7.05,4.25,330.9257427
15,2022-08-11 15:00:00,11.65,2.65,330.3710716
16,2022-08-11 16:00:00,12.15,3.6,340.1918288
17,2022-08-11 17:00:00,11.85,3.55,340.2517854
18,2022-08-11 18:00:00,11.75,3.1,349.6280045
19,2022-08-11 19:00:00,11.25,3.35,349.4994831
20,2022-08-11 20:00:00,9.55,2.0,342.9596285
21,2022-08-11 21:00:00,8.7,4.95,120.5456417
22,2022-08-11 22:00:00,8.0,5.4,109.2060629
23,2022-08-11 23:00:00,7.95,5.6,103.8285568
24,2022-08-12 00:00:00,8.2,4.9,119.4209891
25,2022-08-12 01:00:00,8.5,5.15,116.0879288
26,2022-08-12 02:00:00,8.1,4.7,124.5413966
27,2022-08-12 03:00:00,8.25,4.45,119.2383564
28,2022-08-12 04:00:00,8.3,4.7,124.0258563
29,2022-08-12 05:00:00,7.75,4.25,103.8235449
30,2022-08-12 06:00:00,7.35,4.25,117.8424276
31,2022-08-12 07:00:00,7.95,3.8,107.2931523
32,2022-08-12 08:00:00,7.9,3.8,115.0251406
33,2022-08-12 09:00:00,7.35,4.05,111.7192803
34,2022-08-12 10:00:00,7.65,4.7,114.1815612
35,2022-08-12 11:00:00,8.15,4.7,122.6760151
36,2022-08-12 12:00:00,8.25,4.5,110.4572864
37,2022-08-12 13:00:00,9.1,4.0,102.4251704
38,2022-08-12 14:00:00,10.75,3.8,344.0529028
39,2022-08-12 15:00:00,12.05,3.6,352.30834
40,2022-08-12 16:00:00,12.05,4.25,5.984163093
41,2022-08-12 17:00:00,11.45,4.9,332.4251788
42,2022-08-12 18:00:00,10.9,5.4,340.2483837
43,2022-08-12 19:00:00,10.65,4.5,346.0543633
44,2022-08-12 20:00:00,10.45,4.25,340.8955979
45,2022-08-12 21:00:00,8.45,3.15,353.8489675
46,2022-08-12 22:00:00,8.75,3.55,122.8301824
47,2022-08-12 23:00:00,8.1,3.8,108.755972
48,2022-08-13 00:00:00,8.2,3.6,100.7909369
49,2022-08-13 01:00:00,8.6,2.65,101.433724
50,2022-08-13 02:00:00,8.0,3.35,119.7557267
51,2022-08-13 03:00:00,8.6,2.2,124.0368544
52,2022-08-13 04:00:00,8.1,3.15,118.4205533
53,2022-08-13 05:00:00,7.7,2.7,129.5802446
54,2022-08-13 06:00:00,7.65,2.45,117.7449238
55,2022-08-13 07:00:00,6.9,3.8,102.6537447
56,2022-08-13 08:00:00,7.1,3.6,122.6425545
57,2022-08-13 09:00:00,7.45,3.35,119.4743998
58,2022-08-13 10:00:00,7.3,3.35,103.9694484
59,2022-08-13 11:00:00,7.6,3.35,110.5666418
60,2022-08-13 12:00:00,8.7,3.15,123.6436611
61,2022-08-13 13:00:00,8.7,4.0,104.8924405
62,2022-08-13 14:00:00,10.5,2.9,331.9487256
63,2022-08-13 15:00:00,11.0,2.0,326.5674125
64,2022-08-13 16:00:00,10.4,1.1,283.8865151
65,2022-08-13 17:00:00,10.35,1.55,304.7229456
66,2022-08-13 18:00:00,9.05,3.6,117.6820621
67,2022-08-13 19:00:00,8.8,4.7,101.9654845
68,2022-08-13 20:00:00,8.45,4.95,113.0915972
69,2022-08-13 21:00:00,8.2,4.25,119.3150963
70,2022-08-13 22:00:00,7.65,5.15,102.0015982
71,2022-08-13 23:00:00,7.45,5.15,116.4529538
72,2022-08-14 00:00:00,7.9,4.5,110.9042491
73,2022-08-14 01:00:00,7.85,5.15,109.9074948
74,2022-08-14 02:00:00,8.05,5.4,115.0575188
75,2022-08-14 03:00:00,7.7,5.15,124.6597744
76,2022-08-14 04:00:00,7.85,5.15,103.3810894
77,2022-08-14 05:00:00,7.5,5.15,105.1008759
78,2022-08-14 06:00:00,8.95,3.35,122.0002503
79,2022-08-14 07:00:00,7.4,5.15,101.7241221
80,2022-08-14 08:00:00,8.15,5.35,102.2901053
81,2022-08-14 09:00:00,8.3,4.7,114.6029114
82,2022-08-14 10:00:00,9.2,3.8,101.1790569
83,2022-08-14 11:00:00,9.15,4.0,102.7865585
84,2022-08-14 12:00:00,8.75,1.8,110.0293942
85,2022-08-14 13:00:00,8.25,2.9,113.4239238
86,2022-08-14 14:00:00,7.4,2.25,105.5391284
87,2022-08-14 15:00:00,9.2,2.0,132.1988592
88,2022-08-14 16:00:00,9.3,2.0,122.6376254
89,2022-08-14 17:00:00,8.6,2.65,109.1222625
90,2022-08-14 18:00:00,8.25,1.55,136.0217813
91,2022-08-14 19:00:00,7.65,2.45,104.7292773
92,2022-08-14 20:00:00,7.0,1.75,108.6168205
93,2022-08-14 21:00:00,6.45,2.0,121.1062571
94,2022-08-14 22:00:00,6.0,2.0,123.8761133
95,2022-08-14 23:00:00,6.9,2.45,113.3985834
96,2022-08-15 00:00:00,6.85,1.75,121.9966198
97,2022-08-15 01:00:00,5.7,1.1,141.1179224
98,2022-08-15 02:00:00,5.2,3.15,81.173654
99,2022-08-15 03:00:00,5.5,2.9,100.3626287
100,2022-08-15 04:00:00,5.15,2.65,119.6357368
101,2022-08-15 05:00:00,4.9,2.9,112.8428387
102,2022-08-15 06:00:00,5.0,3.55,105.9103632
103,2022-08-15 07:00:00,5.0,2.45,117.4888577
104,2022-08-15 08:00:00,5.7,2.25,116.1933097
105,2022-08-15 09:00:00,5.9,2.25,99.01989283
106,2022-08-15 10:00:00,6.5,1.55,108.7705802
107,2022-08-15 11:00:00,7.15,1.35,108.3508349
108,2022-08-15 12:00:00,7.35,1.3,107.4473447
109,2022-08-15 13:00:00,7.85,0.9,123.0767313
110,2022-08-15 14:00:00,8.1,0.65,129.6022199
111,2022-08-15 15:00:00,8.4,1.55,346.2666864
112,2022-08-15 16:00:00,8.15,1.1,126.4520045
113,2022-08-15 17:00:00,7.65,1.1,68.78615601
114,2022-08-15 18:00:00,7.0,1.35,326.7443788
115,2022-08-15 19:00:00,6.0,2.45,120.9823365
116,2022-08-15 20:00:00,6.75,2.0,11.79419786
117,2022-08-15 21:00:00,6.1,1.75,107.6269242
118,2022-08-15 22:00:00,5.65,2.0,105.9637111
119,2022-08-15 23:00:00,5.65,2.65,123.159895
120,2022-08-16 00:00:00,5.7,3.6,120.8826045
121,2022-08-16 01:00:00,6.0,2.9,119.354866
122,2022-08-16 02:00:00,5.6,4.25,112.6861898
123,2022-08-16 03:00:00,5.6,4.25,114.5198173
124,2022-08-16 04:00:00,5.65,4.25,114.6183315
125,2022-08-16 05:00:00,6.1,3.55,110.5529359
126,2022-08-16 06:00:00,5.95,3.55,120.6606506
127,2022-08-16 07:00:00,5.55,4.7,104.0534204
128,2022-08-16 08:00:00,6.45,3.35,102.9290689
129,2022-08-16 09:00:00,6.8,4.05,113.0691721
130,2022-08-16 10:00:00,7.95,2.45,113.794075
131,2022-08-16 11:00:00,8.8,2.0,104.2610752
132,2022-08-16 12:00:00,8.85,2.0,103.9096686
133,2022-08-16 13:00:00,9.6,1.75,101.7262446
134,2022-08-16 14:00:00,10.2,2.7,110.8466939
135,2022-08-16 15:00:00,9.65,3.1,112.2514548
136,2022-08-16 16:00:00,9.8,2.25,122.8787954
137,2022-08-16 17:00:00,9.4,4.0,106.6551954
138,2022-08-16 18:00:00,9.2,4.45,108.6432139
139,2022-08-16 19:00:00,8.65,4.7,100.5796518
140,2022-08-16 20:00:00,8.3,4.95,117.4202382
141,2022-08-16 21:00:00,8.3,4.9,121.0562938
142,2022-08-16 22:00:00,8.8,4.5,110.5540763
143,2022-08-16 23:00:00,8.6,4.45,120.1192338
144,2022-08-17 00:00:00,8.05,4.05,124.5029416
145,2022-08-17 01:00:00,7.6,3.8,110.8631307
146,2022-08-17 02:00:00,7.35,2.9,123.8232455
147,2022-08-17 03:00:00,7.7,3.1,110.9134582
148,2022-08-17 04:00:00,7.75,2.0,105.3323268
149,2022-08-17 05:00:00,7.8,2.7,105.2094722
150,2022-08-17 06:00:00,7.9,2.0,96.27122613
151,2022-08-17 07:00:00,9.7,2.9,145.8856625
152,2022-08-17 08:00:00,9.6,3.8,121.3317461
153,2022-08-17 09:00:00,9.75,3.55,110.2143006
154,2022-08-17 10:00:00,8.7,1.75,101.0589901
155,2022-08-17 11:00:00,8.65,2.9,111.7464882
156,2022-08-17 12:00:00,11.3,3.8,117.5783141
157,2022-08-17 13:00:00,9.95,4.7,112.2711228
158,2022-08-17 14:00:00,9.55,5.4,109.2085766
159,2022-08-17 15:00:00,9.35,5.15,115.2877426
160,2022-08-17 16:00:00,10.4,3.35,116.2594843
161,2022-08-17 17:00:00,9.05,3.1,82.99254362
162,2022-08-17 18:00:00,10.25,4.05,113.9383841
163,2022-08-17 19:00:00,9.75,1.55,348.6794896
164,2022-08-17 20:00:00,8.05,1.8,346.9019383
165,2022-08-17 21:00:00,5.85,1.1,349.0475937
166,2022-08-17 22:00:00,5.05,1.1,340.7292522
167,2022-08-17 23:00:00,5.0,0.65,20.19494738
168,2022-08-18 00:00:00,4.25,1.75,21.12307298
169,2022-08-18 01:00:00,4.55,3.15,100.4166914
170,2022-08-18 02:00:00,5.1,1.1,108.4533883
171,2022-08-18 03:00:00,4.3,1.75,119.1038812
172,2022-08-18 04:00:00,5.2,5.4,116.0796171
173,2022-08-18 05:00:00,4.95,1.3,66.22654806
174,2022-08-18 06:00:00,4.4,2.0,123.2866818
175,2022-08-18 07:00:00,4.5,2.25,124.2254943
176,2022-08-18 08:00:00,4.6,2.9,112.3084314
177,2022-08-18 09:00:00,5.7,1.8,111.0713767
178,2022-08-18 10:00:00,6.1,2.45,119.7925801
179,2022-08-18 11:00:00,6.4,2.25,103.2020976
180,2022-08-18 12:00:00,6.15,2.2,120.5203483
181,2022-08-18 13:00:00,6.05,2.2,118.5340414
182,2022-08-18 14:00:00,5.5,1.8,114.6271445
183,2022-08-18 15:00:00,5.5,1.35,107.6731793
184,2022-08-18 16:00:00,5.3,2.0,114.5846445
185,2022-08-18 17:00:00,6.35,2.45,114.3344546
186,2022-08-18 18:00:00,6.05,0.85,330.3085449
187,2022-08-18 19:00:00,5.65,1.1,348.4495249
188,2022-08-18 20:00:00,6.0,1.1,173.3735753
189,2022-08-18 21:00:00,5.0,4.25,124.4809199
190,2022-08-18 22:00:00,4.65,2.45,120.0065255
191,2022-08-18 23:00:00,4.1,2.0,101.303221
192,2022-08-19 00:00:00,5.05,3.55,113.5387532
193,2022-08-19 01:00:00,4.9,1.55,106.7350296
194,2022-08-19 02:00:00,5.0,2.0,112.7233435
195,2022-08-19 03:00:00,4.3,2.45,92.01172425
196,2022-08-19 04:00:00,4.75,2.0,101.3668045
197,2022-08-19 05:00:00,4.8,1.75,76.70743906
198,2022-08-19 06:00:00,4.85,1.1,337.1067846
199,2022-08-19 07:00:00,5.05,2.9,330.0081603
200,2022-08-19 08:00:00,5.05,4.0,326.7927025
201,2022-08-19 09:00:00,5.2,2.65,358.8072486
202,2022-08-19 10:00:00,5.45,4.5,318.1313743
203,2022-08-19 11:00:00,5.35,4.25,289.2895129
204,2022-08-19 12:00:00,5.05,1.3,302.9947664
205,2022-08-19 13:00:00,5.1,2.0,302.2634942
206,2022-08-19 14:00:00,4.9,3.15,281.5253501
207,2022-08-19 15:00:00,4.6,1.1,304.9086768
208,2022-08-19 16:00:00,4.5,0.65,2.923092507
209,2022-08-19 17:00:00,4.75,1.8,265.9424501
210,2022-08-19 18:00:00,4.8,2.25,323.6800728
211,2022-08-19 19:00:00,4.35,1.1,78.11935489
212,2022-08-19 20:00:00,3.85,0.65,129.0823611
213,2022-08-19 21:00:00,4.0,2.7,117.9207815
214,2022-08-19 22:00:00,4.6,2.0,1.084168268
