,datetime,temp,ws,wdir
0,2007-06-17 00:00:00,8.6,2.0,124.2
1,2007-06-17 01:00:00,8.6,2.0,106.7
2,2007-06-17 02:00:00,7.7,1.9,118.9
3,2007-06-17 03:00:00,7.1,1.7,124.9
4,2007-06-17 04:00:00,7.0,1.6,151.8
5,2007-06-17 05:00:00,7.0,1.6,151.5
6,2007-06-17 06:00:00,6.8,1.6,154.8
7,2007-06-17 07:00:00,6.7,1.6,157.1
8,2007-06-17 08:00:00,7.7,2.4,143.2
9,2007-06-17 09:00:00,7.0,2.6,152.9
10,2007-06-17 10:00:00,7.1,2.7,155.3
11,2007-06-17 11:00:00,7.6,2.8,156.1
12,2007-06-17 12:00:00,8.3,2.9,148.5
13,2007-06-17 13:00:00,9.1,3.5,138.3
14,2007-06-17 14:00:00,9.4,3.7,143.3
15,2007-06-17 15:00:00,6.3,2.0,169.1
16,2007-06-17 16:00:00,5.4,1.1,147.7
17,2007-06-17 17:00:00,4.9,1.0,109.2
18,2007-06-17 18:00:00,5.5,1.2,124.7
19,2007-06-17 19:00:00,5.9,1.3,147.1
20,2007-06-17 20:00:00,6.2,1.4,138.0
21,2007-06-17 21:00:00,5.8,1.2,103.6
22,2007-06-17 22:00:00,5.2,1.0,139.0
23,2007-06-17 23:00:00,5.0,0.9,124.1
24,2007-06-18 00:00:00,5.3,1.1,152.6
25,2007-06-18 01:00:00,5.0,0.9,145.9
26,2007-06-18 02:00:00,5.7,1.1,153.5
27,2007-06-18 03:00:00,5.2,1.1,163.7
28,2007-06-18 04:00:00,5.1,1.0,137.3
29,2007-06-18 05:00:00,5.4,1.2,152.2
30,2007-06-18 06:00:00,5.1,1.2,157.9
31,2007-06-18 07:00:00,5.6,1.4,150.2
32,2007-06-18 08:00:00,5.7,1.6,151.4
33,2007-06-18 09:00:00,5.1,1.9,162.1
34,2007-06-18 10:00:00,5.6,2.4,140.9
35,2007-06-18 11:00:00,5.8,2.6,144.8
36,2007-06-18 12:00:00,5.9,2.6,145.2
37,2007-06-18 13:00:00,5.9,2.5,143.0
38,2007-06-18 14:00:00,5.8,2.3,142.0
39,2007-06-18 15:00:00,5.9,2.4,148.7
40,2007-06-18 16:00:00,6.2,2.3,147.1
41,2007-06-18 17:00:00,6.2,1.9,155.2
42,2007-06-18 18:00:00,6.0,1.7,155.1
43,2007-06-18 19:00:00,5.5,1.4,166.5
44,2007-06-18 20:00:00,4.4,1.0,162.2
45,2007-06-18 21:00:00,4.7,1.0,169.9
46,2007-06-18 22:00:00,4.6,0.9,150.2
47,2007-06-18 23:00:00,5.0,0.9,112.0
48,2007-06-19 00:00:00,4.9,1.0,73.9
49,2007-06-19 01:00:00,5.1,1.0,114.3
50,2007-06-19 02:00:00,5.5,1.0,117.4
51,2007-06-19 03:00:00,5.1,0.9,138.9
52,2007-06-19 04:00:00,4.0,0.6,133.3
53,2007-06-19 05:00:00,3.3,0.4,128.6
54,2007-06-19 06:00:00,2.9,0.4,110.1
