,datetime,temp,ws,wdir
0,2020-08-10 13:40:00,12.86,1.593,201.4
1,2020-08-10 13:50:00,12.47,2.659,184.9
2,2020-08-10 14:00:00,12.52,1.997,168.5
3,2020-08-10 14:10:00,12.95,2.409,185.1
4,2020-08-10 14:20:00,12.46,1.305,157.8
5,2020-08-10 14:30:00,12.47,1.698,88.7
6,2020-08-10 14:40:00,11.95,1.16,118.7
7,2020-08-10 14:50:00,11.76,0.892,125.3
8,2020-08-10 15:00:00,11.68,1.106,159.0
9,2020-08-10 15:10:00,11.23,2.078,189.4
10,2020-08-10 15:20:00,10.93,1.086,176.1
11,2020-08-10 15:30:00,10.98,2.437,189.9
12,2020-08-10 15:40:00,10.79,1.379,180.9
13,2020-08-10 15:50:00,10.95,1.48,185.8
14,2020-08-10 16:00:00,10.74,1.633,199.3
15,2020-08-10 16:10:00,10.78,2.196,195.8
16,2020-08-10 16:20:00,10.72,1.768,181.5
17,2020-08-10 16:30:00,11.21,0.833,222.1
18,2020-08-10 16:40:00,10.87,1.103,222.3
19,2020-08-10 16:50:00,10.66,1.635,196.1
20,2020-08-10 17:00:00,10.08,1.01,183.4
21,2020-08-10 17:10:00,10.11,1.46,180.7
22,2020-08-10 17:20:00,9.88,1.748,193.6
23,2020-08-10 17:30:00,9.58,1.442,192.8
24,2020-08-10 17:40:00,9.34,1.47,177.1
25,2020-08-10 17:50:00,9.08,0.917,160.4
26,2020-08-10 18:00:00,9.05,0.976,138.0
27,2020-08-10 18:10:00,9.18,0.953,171.8
28,2020-08-10 18:20:00,8.87,0.493,211.5
29,2020-08-10 18:30:00,8.99,0.54,185.1
30,2020-08-10 18:40:00,9.23,0.899,44.3
31,2020-08-10 18:50:00,8.69,1.534,200.7
32,2020-08-10 19:00:00,7.509,1.55,157.3
33,2020-08-10 19:10:00,7.346,1.083,319.3
34,2020-08-10 19:20:00,7.206,0.694,291.5
35,2020-08-10 19:30:00,7.119,0.791,275.5
36,2020-08-10 19:40:00,6.767,1.249,114.2
37,2020-08-10 19:50:00,6.517,1.138,126.9
38,2020-08-10 20:00:00,6.307,0.558,163.2
39,2020-08-10 20:10:00,6.189,0.386,282.3
40,2020-08-10 20:20:00,6.187,1.066,219.1
41,2020-08-10 20:30:00,6.034,1.099,265.4
42,2020-08-10 20:40:00,5.851,0.763,24.7
43,2020-08-10 20:50:00,5.906,0.415,7.5
44,2020-08-10 21:00:00,5.963,1.587,15.7
45,2020-08-10 21:10:00,5.827,3.402,54.3
46,2020-08-10 21:20:00,5.738,1.247,265.8
47,2020-08-10 21:30:00,5.792,0.883,206.9
48,2020-08-10 21:40:00,5.376,0.323,216.4
49,2020-08-10 21:50:00,5.301,0.643,166.2
50,2020-08-10 22:00:00,4.772,1.498,145.4
51,2020-08-10 22:10:00,5.014,1.488,46.0
52,2020-08-10 22:20:00,5.581,0.76,132.2
53,2020-08-10 22:30:00,5.743,0.844,166.7
54,2020-08-10 22:40:00,5.22,1.622,167.6
55,2020-08-10 22:50:00,4.771,0.363,271.0
56,2020-08-10 23:00:00,4.657,0.505,310.0
57,2020-08-10 23:10:00,4.747,0.431,113.4
58,2020-08-10 23:20:00,4.765,1.674,134.8
59,2020-08-10 23:30:00,4.671,1.978,136.0
60,2020-08-10 23:40:00,4.582,0.931,177.5
61,2020-08-10 23:50:00,4.578,1.0,146.3
62,2020-08-11 00:00:00,4.685,1.2,35.9
63,2020-08-11 00:10:00,4.997,1.351,27.0
64,2020-08-11 00:20:00,5.032,0.027,174.9
65,2020-08-11 00:30:00,5.574,1.1,13.3
66,2020-08-11 00:40:00,6.276,0.961,31.8
67,2020-08-11 00:50:00,6.621,1.504,32.5
68,2020-08-11 01:00:00,6.856,1.859,20.0
69,2020-08-11 01:10:00,7.215,1.541,24.7
70,2020-08-11 01:20:00,7.252,0.833,43.9
71,2020-08-11 01:30:00,7.269,1.389,36.3
72,2020-08-11 01:40:00,7.172,2.553,22.9
73,2020-08-11 01:50:00,7.161,3.201,13.6
74,2020-08-11 02:00:00,7.205,2.947,28.7
75,2020-08-11 02:10:00,7.227,3.623,26.9
76,2020-08-11 02:20:00,7.219,4.701,25.8
77,2020-08-11 02:30:00,7.26,5.079,22.3
78,2020-08-11 02:40:00,7.141,5.033,21.6
79,2020-08-11 02:50:00,7.137,5.183,15.6
80,2020-08-11 03:00:00,7.202,4.396,21.1
81,2020-08-11 03:10:00,7.04,4.368,18.2
82,2020-08-11 03:20:00,6.988,5.044,19.6
83,2020-08-11 03:30:00,6.988,4.169,29.5
84,2020-08-11 03:40:00,6.823,3.168,37.8
85,2020-08-11 03:50:00,7.057,5.111,21.1
86,2020-08-11 04:00:00,7.058,6.505,18.4
87,2020-08-11 04:10:00,7.081,7.008,15.2
88,2020-08-11 04:20:00,7.127,6.556,15.2
89,2020-08-11 04:30:00,7.166,6.207,17.1
90,2020-08-11 04:40:00,7.153,8.27,24.5
91,2020-08-11 04:50:00,7.017,8.81,24.5
92,2020-08-11 05:00:00,7.048,8.66,27.7
93,2020-08-11 05:10:00,6.95,8.76,28.2
94,2020-08-11 05:20:00,6.657,8.02,23.0
95,2020-08-11 05:30:00,6.611,7.787,25.3
96,2020-08-11 05:40:00,6.715,7.141,35.4
97,2020-08-11 05:50:00,6.932,7.587,26.3
98,2020-08-11 06:00:00,6.867,7.385,34.1
99,2020-08-11 06:10:00,7.089,7.323,20.7
100,2020-08-11 06:20:00,7.097,5.535,23.0
101,2020-08-11 06:30:00,7.186,4.423,33.0
102,2020-08-11 06:40:00,7.298,4.607,17.4
103,2020-08-11 06:50:00,7.475,4.005,26.0
104,2020-08-11 07:00:00,7.831,2.558,29.8
105,2020-08-11 07:10:00,7.532,3.384,23.5
106,2020-08-11 07:20:00,7.481,3.834,15.9
107,2020-08-11 07:30:00,7.709,1.654,60.7
108,2020-08-11 07:40:00,7.505,1.425,189.1
109,2020-08-11 07:50:00,7.809,0.888,243.4
110,2020-08-11 08:00:00,8.04,1.545,239.7
111,2020-08-11 08:10:00,8.26,1.277,203.6
112,2020-08-11 08:20:00,8.46,1.459,207.1
113,2020-08-11 08:30:00,8.29,1.048,284.8
114,2020-08-11 08:40:00,8.44,1.132,250.8
115,2020-08-11 08:50:00,8.59,0.895,321.6
116,2020-08-11 09:00:00,8.84,1.919,184.2
117,2020-08-11 09:10:00,8.78,1.903,188.0
118,2020-08-11 09:20:00,8.97,1.292,179.9
119,2020-08-11 09:30:00,9.18,1.472,182.4
120,2020-08-11 09:40:00,9.18,1.364,222.4
121,2020-08-11 09:50:00,9.61,1.508,188.6
122,2020-08-11 10:00:00,9.31,1.978,185.1
123,2020-08-11 10:10:00,9.3,2.145,191.0
124,2020-08-11 10:20:00,9.56,2.437,185.1
125,2020-08-11 10:30:00,9.72,2.095,177.8
126,2020-08-11 10:40:00,9.79,2.13,192.0
127,2020-08-11 10:50:00,10.25,1.796,187.1
128,2020-08-11 11:00:00,10.17,1.797,197.1
129,2020-08-11 11:10:00,9.7,1.852,183.7
130,2020-08-11 11:20:00,9.63,2.113,168.1
131,2020-08-11 11:30:00,9.35,1.812,191.7
132,2020-08-11 11:40:00,9.56,1.415,171.3
133,2020-08-11 11:50:00,10.66,2.36,180.6
134,2020-08-11 12:00:00,10.44,2.104,196.5
135,2020-08-11 12:10:00,10.36,1.784,167.5
136,2020-08-11 12:20:00,10.39,1.757,118.9
137,2020-08-11 12:30:00,10.72,1.839,186.1
138,2020-08-11 12:40:00,10.43,1.692,175.5
139,2020-08-11 12:50:00,10.43,2.246,196.3
140,2020-08-11 13:00:00,10.29,1.725,193.9
141,2020-08-11 13:10:00,10.48,1.199,228.6
142,2020-08-11 13:20:00,10.57,0.786,138.3
143,2020-08-11 13:30:00,10.45,0.826,138.1
144,2020-08-11 13:40:00,10.15,1.121,41.8
145,2020-08-11 13:50:00,9.93,1.891,41.0
146,2020-08-11 14:00:00,10.74,0.565,93.1
147,2020-08-11 14:10:00,10.79,1.431,192.3
148,2020-08-11 14:20:00,10.45,1.072,237.6
149,2020-08-11 14:30:00,10.07,1.88,207.3
150,2020-08-11 14:40:00,9.93,0.919,129.8
151,2020-08-11 14:50:00,9.72,1.592,191.3
152,2020-08-11 15:00:00,9.58,1.53,177.7
153,2020-08-11 15:10:00,9.49,1.588,186.7
154,2020-08-11 15:20:00,9.4,0.757,154.6
155,2020-08-11 15:30:00,9.23,1.127,125.4
156,2020-08-11 15:40:00,9.12,1.79,122.0
157,2020-08-11 15:50:00,8.76,1.245,102.7
158,2020-08-11 16:00:00,8.48,1.146,69.6
159,2020-08-11 16:10:00,9.06,0.452,274.9
160,2020-08-11 16:20:00,9.15,1.053,124.7
161,2020-08-11 16:30:00,9.07,1.76,215.9
162,2020-08-11 16:40:00,8.8,1.227,210.0
163,2020-08-11 16:50:00,8.72,1.673,239.8
164,2020-08-11 17:00:00,8.64,2.158,210.2
165,2020-08-11 17:10:00,8.74,2.13,176.8
166,2020-08-11 17:20:00,8.89,1.087,316.0
167,2020-08-11 17:30:00,8.51,1.667,239.7
168,2020-08-11 17:40:00,8.17,1.239,97.6
169,2020-08-11 17:50:00,8.14,0.912,160.5
170,2020-08-11 18:00:00,8.03,1.438,229.0
171,2020-08-11 18:10:00,7.982,1.032,175.9
172,2020-08-11 18:20:00,7.833,0.348,172.0
173,2020-08-11 18:30:00,7.66,0.79,183.7
174,2020-08-11 18:40:00,7.567,1.273,186.5
175,2020-08-11 18:50:00,7.367,0.346,138.4
176,2020-08-11 19:00:00,7.293,0.631,228.0
177,2020-08-11 19:10:00,7.161,0.438,33.9
178,2020-08-11 19:20:00,7.153,0.098,182.3
179,2020-08-11 19:30:00,6.99,0.635,85.6
180,2020-08-11 19:40:00,7.361,1.902,184.8
181,2020-08-11 19:50:00,6.949,1.343,176.2
182,2020-08-11 20:00:00,6.756,0.505,74.0
183,2020-08-11 20:10:00,6.74,0.207,146.4
184,2020-08-11 20:20:00,7.319,1.534,30.0
185,2020-08-11 20:30:00,7.572,0.413,342.0
186,2020-08-11 20:40:00,7.254,0.214,262.5
187,2020-08-11 20:50:00,7.016,0.619,267.7
188,2020-08-11 21:00:00,6.471,1.175,314.1
189,2020-08-11 21:10:00,6.499,0.53,96.1
190,2020-08-11 21:20:00,6.584,0.365,54.3
191,2020-08-11 21:30:00,6.546,0.551,202.2
192,2020-08-11 21:40:00,6.323,0.458,8.9
193,2020-08-11 21:50:00,6.335,0.369,97.2
194,2020-08-11 22:00:00,6.273,0.344,356.8
195,2020-08-11 22:10:00,6.304,0.209,181.1
196,2020-08-11 22:20:00,6.125,0.002,300.5
197,2020-08-11 22:30:00,6.019,0.08,118.4
