,Unnamed: 0,datetime,temp,ws,wdir,katabaticity
0,0,2015-09-07 18:00:00,3.04,6.11,282.2,-0.9774158942860959
1,1,2015-09-07 19:00:00,1.66,7.76,275.2,-0.9958843986159704
2,2,2015-09-07 20:00:00,0.96,5.49,275.9,-0.9947028171171742
3,3,2015-09-07 21:00:00,0.56,5.32,276.2,-0.9941509639723154
4,4,2015-09-07 22:00:00,-1.1,6.72,273.3,-0.9983418166140283
5,5,2015-09-07 23:00:00,-0.87,4.42,270.0,-1.0
6,6,2015-09-08 00:00:00,-1.7,5.85,270.8,-0.9999025240093042
7,7,2015-09-08 01:00:00,-1.21,2.47,269.1,-0.9998766324816606
8,8,2015-09-08 02:00:00,-1.14,4.52,274.7,-0.9966373868180366
9,9,2015-09-08 03:00:00,-2.29,4.78,274.6,-0.9967788784562471
10,10,2015-09-08 04:00:00,-1.93,3.96,271.3,-0.9997426093226983
11,11,2015-09-08 05:00:00,-2.1,2.51,273.5,-0.9981347984218669
12,12,2015-09-08 06:00:00,-1.63,3.57,273.9,-0.9976842788356053
13,13,2015-09-08 07:00:00,-1.64,4.53,272.1,-0.9993283937786562
14,14,2015-09-08 08:00:00,-1.15,4.85,273.1,-0.9985366703262117
15,15,2015-09-08 09:00:00,-1.67,5.7,275.3,-0.9957246981845821
16,16,2015-09-08 10:00:00,-1.11,4.62,281.6,-0.9795752495993441
17,17,2015-09-08 11:00:00,-1.54,5.48,274.5,-0.996917333733128
18,18,2015-09-08 12:00:00,-0.54,3.49,278.1,-0.9900236577165575
19,19,2015-09-08 13:00:00,-1.92,4.45,279.4,-0.9865721616069695
20,20,2015-09-08 14:00:00,-2.4,5.98,278.8,-0.9882283814465528
21,21,2015-09-08 15:00:00,-1.72,5.79,274.0,-0.9975640502598242
22,22,2015-09-08 16:00:00,-2.18,6.3,275.9,-0.9947028171171742
23,23,2015-09-08 17:00:00,-1.17,3.9,274.6,-0.9967788784562471
24,24,2015-09-08 18:00:00,-1.11,4.91,276.8,-0.9929655081065369
25,25,2015-09-08 19:00:00,-1.8,3.89,280.3,-0.9838850379335415
26,26,2015-09-08 20:00:00,-1.16,3.69,279.1,-0.9874138067509114
27,27,2015-09-08 21:00:00,-1.07,5.19,272.2,-0.9992629164106213
28,28,2015-09-08 22:00:00,-0.68,6.52,265.9,-0.997440782930944
29,29,2015-09-08 23:00:00,0.04,6.99,270.2,-0.9999939076577904
30,30,2015-09-09 00:00:00,-0.04,5.49,272.6,-0.9989705697907146
31,31,2015-09-09 01:00:00,-0.42,5.47,277.6,-0.9912155402515417
32,32,2015-09-09 02:00:00,-1.0,5.54,277.5,-0.9914448613738105
33,33,2015-09-09 03:00:00,-1.2,5.6,277.7,-0.9909831997148363
34,34,2015-09-09 04:00:00,-1.15,4.05,276.3,-0.9939609554551797
35,35,2015-09-09 05:00:00,-1.23,4.33,275.6,-0.9952273999818312
36,36,2015-09-09 06:00:00,-1.52,5.03,275.1,-0.9960410654107695
37,37,2015-09-09 07:00:00,-1.15,3.11,273.4,-0.9982398279237653
38,38,2015-09-09 08:00:00,-1.55,4.88,276.6,-0.9933727656003964
39,39,2015-09-09 09:00:00,-1.73,4.74,274.2,-0.9973144772244581
40,40,2015-09-09 10:00:00,-1.42,4.35,277.9,-0.9905094632383089
