,Unnamed: 0,datetime,temp,ws,wdir,katabaticity
0,0,2016-05-16 00:00:00,-0.42,0.9,256.5,-0.9099612708765432
1,1,2016-05-16 01:00:00,-0.06,1.2,187.0,-0.7071067811865475
2,2,2016-05-16 02:00:00,-0.79,0.9,225.8,-0.9941509639723154
3,3,2016-05-16 03:00:00,-0.5,1.1,179.6,-0.6101451639012676
4,4,2016-05-16 04:00:00,-0.57,1.4,211.5,-0.9366721892483976
5,5,2016-05-16 05:00:00,-0.95,1.0,203.9,-0.8821268660176679
6,6,2016-05-16 06:00:00,-0.92,1.5,212.2,-0.9408807689542253
7,7,2016-05-16 07:00:00,-1.96,0.8,140.0,0.03489949670250108
8,8,2016-05-16 08:00:00,-0.01,2.2,138.5,0.06104853953485691
9,9,2016-05-16 09:00:00,2.63,1.8,28.2,0.9149596678498247
10,10,2016-05-16 10:00:00,3.09,1.9,4.2,0.6717205893229903
11,11,2016-05-16 11:00:00,5.19,2.5,352.7,0.5105429179116052
12,12,2016-05-16 12:00:00,6.75,3.4,346.9,0.42103581336749046
13,13,2016-05-16 13:00:00,6.39,4.2,338.1,0.27731465330237787
14,14,2016-05-16 14:00:00,5.81,4.1,331.6,0.1667687467161023
15,15,2016-05-16 15:00:00,5.27,3.2,331.6,0.1667687467161023
16,16,2016-05-16 16:00:00,4.71,2.6,326.5,0.07845909572784521
17,17,2016-05-16 17:00:00,3.64,2.1,335.7,0.23683814606561873
18,18,2016-05-16 18:00:00,3.03,1.3,336.6,0.2520693582431136
19,19,2016-05-16 19:00:00,1.87,1.3,22.3,0.8686315144381913
20,20,2016-05-16 20:00:00,1.03,2.1,319.1,-0.050592940076713014
21,21,2016-05-16 21:00:00,1.46,2.5,340.3,0.31399245596740527
22,22,2016-05-16 22:00:00,0.99,2.3,321.5,-0.008726535498373576
23,23,2016-05-16 23:00:00,0.34,0.7,296.1,-0.43680178836770184
24,24,2016-05-17 00:00:00,0.29,1.3,182.8,-0.6534206039901055
25,25,2016-05-17 01:00:00,0.7,1.5,229.1,-0.9987193571841861
26,26,2016-05-17 02:00:00,1.33,2.2,295.4,-0.4477590878387702
27,27,2016-05-17 03:00:00,0.9,1.7,247.2,-0.9650164944723115
28,28,2016-05-17 04:00:00,0.02,1.3,270.0,-0.788010753606722
29,29,2016-05-17 05:00:00,-0.23,2.0,200.1,-0.8489716876291414
30,30,2016-05-17 06:00:00,0.68,1.7,225.4,-0.9933727656003964
31,31,2016-05-17 07:00:00,0.25,2.0,310.5,-0.1993679344171973
32,32,2016-05-17 08:00:00,2.64,2.7,329.6,0.13225639025712288
33,33,2016-05-17 09:00:00,4.34,2.3,344.6,0.3842953226598039
34,34,2016-05-17 10:00:00,5.45,2.6,349.8,0.466386640339891
35,35,2016-05-17 11:00:00,6.18,3.8,342.7,0.3534748437792567
36,36,2016-05-17 12:00:00,5.83,3.9,348.2,0.44150585279174503
37,37,2016-05-17 13:00:00,4.55,4.2,345.2,0.39394190959095066
38,38,2016-05-17 14:00:00,2.54,3.2,326.7,0.08193850863004097
39,39,2016-05-17 15:00:00,0.35,2.2,26.7,0.9040825496607784
40,40,2016-05-17 16:00:00,-1.16,1.8,328.1,0.1062640713362335
41,41,2016-05-17 17:00:00,-1.97,1.4,314.6,-0.12879559657756204
42,42,2016-05-17 18:00:00,-2.46,1.0,2.4,0.6481199010631309
43,43,2016-05-17 19:00:00,-2.47,0.6,323.6,0.027921638723569623
44,44,2016-05-17 20:00:00,-2.54,0.9,357.5,0.58070295571094
45,45,2016-05-17 21:00:00,-2.49,1.3,153.0,-0.1908089953765448
46,46,2016-05-17 22:00:00,-2.24,2.0,193.3,-0.7804304073383298
47,47,2016-05-17 23:00:00,-2.44,1.0,258.6,-0.894154236839368
48,48,2016-05-18 00:00:00,-3.27,0.9,252.3,-0.9378889346118976
49,49,2016-05-18 01:00:00,-3.02,1.1,136.1,0.10279253678724691
50,50,2016-05-18 02:00:00,-2.58,1.2,132.6,0.16332596224162232
51,51,2016-05-18 03:00:00,-2.38,1.2,152.6,-0.18395135061272014
52,52,2016-05-18 04:00:00,-2.47,1.0,225.0,-0.992546151641322
53,53,2016-05-18 05:00:00,-3.19,1.0,174.5,-0.537299608346824
54,54,2016-05-18 06:00:00,-3.46,1.2,209.7,-0.925209718385782
55,55,2016-05-18 07:00:00,-3.73,1.1,216.7,-0.964557418457798
56,56,2016-05-18 08:00:00,-1.09,1.8,152.7,-0.18566661538557708
57,57,2016-05-18 09:00:00,2.34,1.3,128.4,0.23514211310258998
58,58,2016-05-18 10:00:00,2.8,1.8,99.4,0.6768759696826606
59,59,2016-05-18 11:00:00,3.71,1.5,4.1,0.6704266189587992
60,60,2016-05-18 12:00:00,3.64,2.1,357.6,0.5821229701572896
61,61,2016-05-18 13:00:00,4.55,2.6,357.4,0.5792811723426785
62,62,2016-05-18 14:00:00,5.72,3.4,346.3,0.4115143586051088
63,63,2016-05-18 15:00:00,5.35,4.1,334.5,0.21643961393810246
64,64,2016-05-18 16:00:00,5.25,4.0,322.4,0.006981260297960934
65,65,2016-05-18 17:00:00,4.19,2.4,345.2,0.39394190959095066
66,66,2016-05-18 18:00:00,2.47,2.2,326.0,0.06975647374412522
67,67,2016-05-18 19:00:00,1.75,1.2,9.5,0.737277336810124
68,68,2016-05-18 20:00:00,1.15,0.7,81.1,0.8737722230354653
69,69,2016-05-18 21:00:00,0.49,1.0,303.5,-0.31730465640509264
70,70,2016-05-18 22:00:00,0.19,1.1,312.9,-0.15815806725448361
71,71,2016-05-18 23:00:00,0.13,0.9,103.6,0.6211477802783104
72,72,2016-05-19 00:00:00,0.45,1.3,198.4,-0.8329212407100994
73,73,2016-05-19 01:00:00,0.96,1.1,232.9,-0.9998766324816606
74,74,2016-05-19 02:00:00,0.6,1.1,204.2,-0.8845809752150839
75,75,2016-05-19 03:00:00,0.92,1.3,208.4,-0.9163627295622396
76,76,2016-05-19 04:00:00,1.11,1.5,196.0,-0.8090169943749473
77,77,2016-05-19 05:00:00,1.01,1.9,207.1,-0.9070440142914649
78,78,2016-05-19 06:00:00,0.71,1.9,192.9,-0.776046407066546
79,79,2016-05-19 07:00:00,0.97,2.3,192.0,-0.7660444431189779
80,80,2016-05-19 08:00:00,2.83,1.5,163.0,-0.35836794954530027
81,81,2016-05-19 09:00:00,4.51,1.4,59.5,0.9914448613738104
82,82,2016-05-19 10:00:00,5.66,1.5,4.1,0.6704266189587992
83,83,2016-05-19 11:00:00,6.46,2.2,1.3,0.6333808726275502
84,84,2016-05-19 12:00:00,5.98,3.5,348.8,0.45087754068943076
85,85,2016-05-19 13:00:00,6.4,4.0,344.8,0.3875155864521029
86,86,2016-05-19 14:00:00,5.66,3.8,339.5,0.30070579950427345
87,87,2016-05-19 15:00:00,3.55,2.6,344.4,0.38107037635027363
88,88,2016-05-19 16:00:00,4.11,1.8,335.6,0.23514211310259014
89,89,2016-05-19 17:00:00,4.24,2.3,3.8,0.6665324702494525
90,90,2016-05-19 18:00:00,2.67,1.8,324.4,0.041875653729199505
91,91,2016-05-19 19:00:00,2.12,2.0,,
92,92,2016-05-19 20:00:00,1.58,1.0,324.0,0.03489949670250128
93,93,2016-05-19 21:00:00,1.46,1.1,120.5,0.3665012267242973
94,94,2016-05-19 22:00:00,1.07,1.1,334.9,0.22325011601095052
95,95,2016-05-19 23:00:00,0.7,1.0,36.4,0.9631625667976581
96,96,2016-05-20 00:00:00,0.65,1.0,329.8,0.1357155724343046
97,97,2016-05-20 01:00:00,0.42,0.8,15.7,0.8059282822485158
98,98,2016-05-20 02:00:00,0.11,1.0,301.9,-0.34365969458561657
