,datetime,temp,ws,wdir
0,2019-09-19 14:40:00,-1.307,0.0,0.0
1,2019-09-19 14:50:00,-0.971,1.913,266.2
2,2019-09-19 15:00:00,0.017,1.443,268.5
3,2019-09-19 15:10:00,-0.33,1.6,277.8
4,2019-09-19 15:20:00,-0.096,1.828,260.5
5,2019-09-19 15:30:00,-0.285,2.653,256.4
6,2019-09-19 15:40:00,-0.626,3.244,275.0
7,2019-09-19 15:50:00,-0.827,2.87,270.3
8,2019-09-19 16:00:00,-1.399,3.39,275.3
9,2019-09-19 16:10:00,-0.771,1.771,226.8
10,2019-09-19 16:20:00,-0.972,1.663,195.8
11,2019-09-19 16:30:00,-1.677,1.441,188.3
12,2019-09-19 16:40:00,-1.986,2.309,212.0
13,2019-09-19 16:50:00,-1.755,2.038,243.8
14,2019-09-19 17:00:00,-2.152,1.943,216.9
15,2019-09-19 17:10:00,-1.748,1.653,242.2
16,2019-09-19 17:20:00,-2.545,1.491,154.6
17,2019-09-19 17:30:00,-2.449,0.923,124.8
18,2019-09-19 17:40:00,-1.796,1.676,280.7
19,2019-09-19 17:50:00,-1.763,2.574,261.2
20,2019-09-19 18:00:00,-1.861,1.638,221.9
21,2019-09-19 18:10:00,-2.047,0.837,218.9
22,2019-09-19 18:20:00,-2.127,0.816,166.0
23,2019-09-19 18:30:00,-2.213,0.869,179.6
24,2019-09-19 18:40:00,-2.025,0.97,168.4
25,2019-09-19 18:50:00,-2.374,1.082,106.6
26,2019-09-19 19:00:00,-2.286,1.015,82.7
27,2019-09-19 19:10:00,-1.967,0.407,113.3
28,2019-09-19 19:20:00,-1.736,0.466,136.1
29,2019-09-19 19:30:00,-1.603,0.644,177.7
30,2019-09-19 19:40:00,-1.546,1.06,176.0
31,2019-09-19 19:50:00,-1.69,1.15,159.7
32,2019-09-19 20:00:00,-1.916,1.48,127.2
33,2019-09-19 20:10:00,-1.981,1.264,136.4
34,2019-09-19 20:20:00,-2.086,0.75,75.2
35,2019-09-19 20:30:00,-2.004,1.212,114.7
36,2019-09-19 20:40:00,-1.507,1.925,261.8
37,2019-09-19 20:50:00,-1.471,1.305,205.8
38,2019-09-19 21:00:00,-2.07,0.206,85.7
39,2019-09-19 21:10:00,-1.882,0.516,298.0
