,datetime,temp,ws,wdir
0,1968-08-01 00:30:00,,2.5,290.0
1,1968-08-01 01:30:00,,5.7,270.0
2,1968-08-01 02:30:00,,5.1,290.0
3,1968-08-01 03:30:00,,3.4,290.0
4,1968-08-01 04:30:00,,5.9,290.0
5,1968-08-01 05:30:00,,5.6,290.0
6,1968-08-01 06:30:00,,4.1,270.0
7,1968-08-01 07:30:00,,3.8,270.0
8,1968-08-01 08:30:00,,2.0,250.0
9,1968-08-01 09:30:00,,1.9,320.0
10,1968-08-01 10:30:00,,1.7,320.0
11,1968-08-01 11:30:00,7.1,1.8,290.0
12,1968-08-01 12:30:00,6.2,1.8,250.0
13,1968-08-01 13:30:00,5.6,1.8,340.0
14,1968-08-01 14:30:00,5.8,1.6,290.0
15,1968-08-01 15:30:00,3.3,2.9,320.0
16,1968-08-01 16:30:00,2.9,2.3,320.0
17,1968-08-01 17:30:00,3.2,1.4,360.0
18,1968-08-01 18:30:00,2.7,1.5,360.0
19,1968-08-01 19:30:00,1.4,2.1,250.0
20,1968-08-01 20:30:00,0.4,2.5,290.0
21,1968-08-01 21:30:00,0.1,2.2,320.0
22,1968-08-01 22:30:00,0.3,2.4,200.0
23,1968-08-01 23:30:00,0.0,1.5,90.0
24,1968-08-02 00:30:00,0.5,1.5,250.0
25,1968-08-02 01:30:00,0.8,3.0,230.0
26,1968-08-02 02:30:00,0.8,2.1,290.0
27,1968-08-02 03:30:00,0.7,1.3,320.0
28,1968-08-02 04:30:00,0.7,1.5,360.0
29,1968-08-02 05:30:00,0.5,1.1,360.0
30,1968-08-02 06:30:00,0.5,1.9,90.0
31,1968-08-02 07:30:00,0.6,1.9,90.0
32,1968-08-02 08:30:00,0.8,2.8,100.0
33,1968-08-02 09:30:00,1.0,4.0,110.0
34,1968-08-02 10:30:00,1.1,2.8,110.0
35,1968-08-02 11:30:00,1.7,3.4,110.0
36,1968-08-02 12:30:00,1.4,4.1,110.0
37,1968-08-02 13:30:00,1.5,3.2,140.0
38,1968-08-02 14:30:00,1.9,3.7,110.0
39,1968-08-02 15:30:00,1.6,2.4,90.0
40,1968-08-02 16:30:00,0.8,2.1,50.0
41,1968-08-02 17:30:00,0.6,1.7,50.0
42,1968-08-02 18:30:00,0.3,4.4,270.0
43,1968-08-02 19:30:00,-0.8,2.5,290.0
44,1968-08-02 20:30:00,-0.6,2.5,320.0
45,1968-08-02 21:30:00,-0.9,3.2,320.0
46,1968-08-02 22:30:00,-1.4,1.7,360.0
47,1968-08-02 23:30:00,-1.3,4.3,290.0
48,1968-08-03 00:30:00,-1.3,5.9,290.0
49,1968-08-03 01:30:00,-1.4,4.5,290.0
50,1968-08-03 02:30:00,-1.6,5.1,290.0
51,1968-08-03 03:30:00,-1.6,4.2,270.0
52,1968-08-03 04:30:00,-1.6,4.6,270.0
53,1968-08-03 05:30:00,-1.6,5.1,270.0
54,1968-08-03 06:30:00,-1.6,5.5,270.0
55,1968-08-03 07:30:00,-1.5,5.8,270.0
56,1968-08-03 08:30:00,-1.1,6.0,270.0
57,1968-08-03 09:30:00,-0.7,7.6,290.0
58,1968-08-03 10:30:00,-0.4,6.2,290.0
59,1968-08-03 11:30:00,0.1,5.9,290.0
60,1968-08-03 12:30:00,-0.4,6.3,290.0
61,1968-08-03 13:30:00,-0.6,5.2,290.0
62,1968-08-03 14:30:00,-1.0,5.2,270.0
63,1968-08-03 15:30:00,-1.0,4.4,290.0
64,1968-08-03 16:30:00,-0.9,5.9,290.0
65,1968-08-03 17:30:00,-1.0,6.7,290.0
66,1968-08-03 18:30:00,-1.2,5.3,290.0
67,1968-08-03 19:30:00,-1.3,5.4,290.0
68,1968-08-03 20:30:00,-1.5,4.5,290.0
