,Unnamed: 0,datetime,temp,ws,wdir,katabaticity
0,0,2016-05-07 13:00:00,-1.75,1.79,248.97,-0.9660612112109715
1,1,2016-05-07 14:00:00,-0.46,1.39,256.67,-0.9227400229187459
2,2,2016-05-07 15:00:00,-2.5,0.98,267.78,-0.8311786024460144
3,3,2016-05-07 16:00:00,-1.69,1.66,248.7,-0.9672677527758768
4,4,2016-05-07 17:00:00,0.16,0.63,336.38,0.21439439115216447
5,5,2016-05-07 18:00:00,-3.09,1.44,243.44,-0.9864578981627843
6,6,2016-05-07 19:00:00,-4.37,1.87,246.07,-0.9778928587440604
7,7,2016-05-07 20:00:00,-5.0,1.36,239.75,-0.9949685182509117
8,8,2016-05-07 21:00:00,-5.35,1.2,241.44,-0.9915810044372617
9,9,2016-05-07 22:00:00,-5.63,0.35,108.0,0.5877852522924731
10,10,2016-05-07 23:00:00,-6.2,0.75,25.26,0.876810690730597
11,11,2016-05-08 00:00:00,-7.24,0.49,54.82,0.999897589371505
12,12,2016-05-08 01:00:00,-6.8,1.08,90.09,0.8080927057548845
13,13,2016-05-08 02:00:00,-6.57,1.2,72.03,0.9508945850138839
14,14,2016-05-08 03:00:00,-6.59,1.03,125.17,0.3227613154258965
15,15,2016-05-08 04:00:00,-7.29,0.58,36.15,0.9518622607530478
16,16,2016-05-08 05:00:00,-7.7,0.87,43.25,0.9824503977255097
17,17,2016-05-08 06:00:00,-8.35,1.14,65.83,0.9787601807031953
18,18,2016-05-08 07:00:00,-6.73,1.33,64.73,0.9825154470411362
19,19,2016-05-08 08:00:00,-4.6,0.74,100.85,0.6839107002186186
20,20,2016-05-08 09:00:00,-3.66,0.74,93.95,0.7666050893687006
21,21,2016-05-08 10:00:00,-4.1,1.24,349.27,0.42688442831148893
22,22,2016-05-08 11:00:00,-2.78,1.46,298.23,-0.4347596339269755
23,23,2016-05-08 12:00:00,-2.06,1.24,280.8,-0.6845471059286886
24,24,2016-05-08 13:00:00,-0.95,1.52,262.61,-0.8778994145657236
25,25,2016-05-08 14:00:00,-1.96,3.37,259.8,-0.9003187714021934
26,26,2016-05-08 15:00:00,-0.74,1.86,265.54,-0.8522751837888445
27,27,2016-05-08 16:00:00,-2.37,3.63,253.1,-0.9449489121575309
28,28,2016-05-08 17:00:00,-2.8,3.39,245.82,-0.9787959465388842
29,29,2016-05-08 18:00:00,-3.49,1.72,275.05,-0.7541367734161842
30,30,2016-05-08 19:00:00,-3.75,1.69,65.25,0.9807852804032304
31,31,2016-05-08 20:00:00,-4.06,2.34,62.32,0.9894753389645721
32,32,2016-05-08 21:00:00,-3.93,1.39,40.85,0.9737778058631857
33,33,2016-05-08 22:00:00,-4.12,1.79,64.75,0.9824503977255097
34,34,2016-05-08 23:00:00,-5.15,2.68,81.87,0.8840105164106312
35,35,2016-05-09 00:00:00,-5.79,1.95,68.68,0.9673562720774791
36,36,2016-05-09 01:00:00,-5.94,1.39,61.15,0.9922236974107375
37,37,2016-05-09 02:00:00,-5.52,1.55,39.7,0.9690157314068695
38,38,2016-05-09 03:00:00,-4.66,2.61,60.23,0.9940942793684235
39,39,2016-05-09 04:00:00,-4.16,2.42,56.35,0.999158993058171
40,40,2016-05-09 05:00:00,-2.89,2.82,41.11,0.9748001438403605
41,41,2016-05-09 06:00:00,-2.82,2.83,59.76,0.9949510169813002
42,42,2016-05-09 07:00:00,-1.59,3.11,64.28,0.9839473917378432
