,Unnamed: 0,datetime,temp,ws,wdir,katabaticity
0,0,2010-10-25 00:30:00,-0.27195,5.0458,0,
1,1,2010-10-25 01:00:00,-0.27623,4.6229,0,
2,2,2010-10-25 01:30:00,-0.26338,5.3542,0,
3,3,2010-10-25 02:00:00,-0.27326,4.984,0,
4,4,2010-10-25 02:30:00,-0.27344,6.2185,0,
5,5,2010-10-25 03:00:00,-0.25097,5.3565,0,
6,6,2010-10-25 03:30:00,-0.25958,4.4821,0,
7,7,2010-10-25 04:00:00,-0.18021,4.187,0,
8,8,2010-10-25 04:30:00,0.050416,4.7414,0,
9,9,2010-10-25 05:00:00,0.27672,3.9316,0,
10,10,2010-10-25 05:30:00,0.72812,4.6462,0,
11,11,2010-10-25 06:00:00,1.0166,3.5146,0,
12,12,2010-10-25 06:30:00,1.269,3.9224,0,
13,13,2010-10-25 07:00:00,1.3165,4.4914,0,
14,14,2010-10-25 07:30:00,1.2877,3.4529,0,
15,15,2010-10-25 08:00:00,1.4952,3.132,0,
16,16,2010-10-25 08:30:00,1.7707,3.8662,0,
17,17,2010-10-25 09:00:00,1.6506,3.5642,0,
18,18,2010-10-25 09:30:00,1.7169,2.6868,0,
19,19,2010-10-25 10:00:00,1.7906,2.6312,0,
20,20,2010-10-25 10:30:00,1.7892,2.655,0,
21,21,2010-10-25 11:00:00,1.9079,2.7094,0,
22,22,2010-10-25 11:30:00,2.0724,2.9417,0,
23,23,2010-10-25 12:00:00,1.8698,1.8441,0,
24,24,2010-10-25 12:30:00,2.167,3.0448,0,
25,25,2010-10-25 13:00:00,1.8283,2.3488,0,
26,26,2010-10-25 13:30:00,1.9599,2.4126,0,
27,27,2010-10-25 14:00:00,1.7919,1.8738,0,
28,28,2010-10-25 14:30:00,2.1718,2.9399,0,
29,29,2010-10-25 15:00:00,2.5547,3.0638,0,
30,30,2010-10-25 15:30:00,2.396,2.5813,0,
31,31,2010-10-25 16:00:00,2.4984,2.7392,0,
32,32,2010-10-25 16:30:00,2.8038,2.9698,0,
33,33,2010-10-25 17:00:00,2.9568,2.7432,0,
34,34,2010-10-25 17:30:00,3.0481,2.5759,0,
35,35,2010-10-25 18:00:00,3.0047,3.1156,0,
36,36,2010-10-25 18:30:00,3.092,2.1485,0,
37,37,2010-10-25 19:00:00,2.9684,1.781,0,
38,38,2010-10-25 19:30:00,2.9392,1.9981,0,
39,39,2010-10-25 20:00:00,2.9113,1.7257,0,
40,40,2010-10-25 20:30:00,2.5807,1.674,0,
41,41,2010-10-25 21:00:00,2.3939,1.7329,0,
42,42,2010-10-25 21:30:00,2.5058,1.9944,0,
43,43,2010-10-25 22:00:00,2.4577,2.7927,0,
44,44,2010-10-25 22:30:00,2.6549,3.4211,0,
45,45,2010-10-25 23:00:00,2.644,1.8949,0,
46,46,2010-10-25 23:30:00,2.6353,2.1752,0,
47,47,2010-10-26 00:00:00,2.5274,3.5225,0,
48,48,2010-10-26 00:30:00,2.3482,2.0664,0,
49,49,2010-10-26 01:00:00,2.184,1.8554,0,
50,50,2010-10-26 01:30:00,2.2862,1.4178,0,
51,51,2010-10-26 02:00:00,2.4055,1.8637,0,
52,52,2010-10-26 02:30:00,2.512,1.4441,0,
53,53,2010-10-26 03:00:00,2.6729,1.6137,0,
54,54,2010-10-26 03:30:00,2.433,1.5072,0,
55,55,2010-10-26 04:00:00,2.0908,0.87374,0,
56,56,2010-10-26 04:30:00,1.9757,1.6525,0,
57,57,2010-10-26 05:00:00,1.8903,1.8274,0,
58,58,2010-10-26 05:30:00,1.7379,3.2837,0,
59,59,2010-10-26 06:00:00,1.7296,3.429,0,
60,60,2010-10-26 06:30:00,1.7089,3.1255,0,
61,61,2010-10-26 07:00:00,1.5403,2.3847,0,
62,62,2010-10-26 07:30:00,1.4109,1.4036,0,
63,63,2010-10-26 08:00:00,1.3659,1.8555,0,
64,64,2010-10-26 08:30:00,1.2791,2.4063,0,
65,65,2010-10-26 09:00:00,1.5305,2.5934,0,
66,66,2010-10-26 09:30:00,1.1965,1.7409,0,
67,67,2010-10-26 10:00:00,1.7434,1.688,0,
68,68,2010-10-26 10:30:00,1.5909,3.0256,0,
69,69,2010-10-26 11:00:00,1.7259,1.8966,0,
70,70,2010-10-26 11:30:00,2.1409,1.3047,0,
71,71,2010-10-26 12:00:00,2.1556,2.6388,0,
72,72,2010-10-26 12:30:00,2.5096,2.0122,0,
73,73,2010-10-26 13:00:00,2.812,2.1575,0,
74,74,2010-10-26 13:30:00,3.1315,2.3457,0,
75,75,2010-10-26 14:00:00,3.0079,2.1999,0,
76,76,2010-10-26 14:30:00,3.7612,1.8318,0,
77,77,2010-10-26 15:00:00,4.0868,1.5228,0,
78,78,2010-10-26 15:30:00,4.1814,2.3533,0,
79,79,2010-10-26 16:00:00,3.8666,2.5887,0,
80,80,2010-10-26 16:30:00,3.8913,2.7087,0,
81,81,2010-10-26 17:00:00,3.8322,2.1053,0,
82,82,2010-10-26 17:30:00,3.8465,1.7726,0,
83,83,2010-10-26 18:00:00,3.6399,2.2849,0,
84,84,2010-10-26 18:30:00,3.3331,2.0562,0,
85,85,2010-10-26 19:00:00,3.0568,1.7113,0,
86,86,2010-10-26 19:30:00,2.9645,2.2404,0,
87,87,2010-10-26 20:00:00,2.5857,2.1001,0,
88,88,2010-10-26 20:30:00,2.5051,2.0435,0,
89,89,2010-10-26 21:00:00,2.6969,2.2194,0,
90,90,2010-10-26 21:30:00,3.9333,2.1658,0,
91,91,2010-10-26 22:00:00,3.595,2.1469,0,
