,datetime,temp,ws,wdir
0,2019/5/28 0:0,5.625,1.482,266.933
1,2019/5/28 1:0,4.64,1.378,316.15
2,2019/5/28 2:0,5.355,1.178,234.817
3,2019/5/28 3:0,5.445,1.36,268.3
4,2019/5/28 4:0,5.713,1.542,254.133
5,2019/5/28 5:0,4.852,1.165,238.6
6,2019/5/28 6:0,4.593,1.518,270.867
7,2019/5/28 7:0,5.372,1.6,332.95
8,2019/5/28 8:0,5.883,0.827,273.817
9,2019/5/28 9:0,6.673,1.64,190.767
10,2019/5/28 10:0,8.275,2.058,333.95
11,2019/5/28 11:0,8.758,3.0,322.8
12,2019/5/28 12:0,10.14,2.612,325.9
13,2019/5/28 13:0,10.202,3.082,322.2
14,2019/5/28 14:0,10.442,3.46,322.167
15,2019/5/28 15:0,10.235,3.885,321.1
16,2019/5/28 16:0,10.235,3.752,319.867
17,2019/5/28 17:0,9.81,2.768,301.233
18,2019/5/28 18:0,9.627,1.88,312.1
19,2019/5/28 19:0,8.965,1.362,206.633
20,2019/5/28 20:0,7.16,1.143,274.633
21,2019/5/28 21:0,6.398,1.502,280.25
22,2019/5/28 22:0,6.007,1.462,316.1
23,2019/5/28 23:0,5.325,1.207,309.683
24,2019/5/29 0:0,4.408,1.018,243.417
25,2019/5/29 1:0,4.232,1.452,258.2
26,2019/5/29 2:0,4.527,0.948,262.017
27,2019/5/29 3:0,4.473,1.022,230.1
28,2019/5/29 4:0,3.688,1.063,250.183
29,2019/5/29 5:0,3.838,1.417,271.1
30,2019/5/29 6:0,4.132,0.877,170.467
31,2019/5/29 7:0,4.89,1.198,213.967
32,2019/5/29 8:0,6.748,1.143,241.45
33,2019/5/29 9:0,8.305,0.82,95.367
34,2019/5/29 10:0,9.93,0.697,165.15
35,2019/5/29 11:0,10.727,0.827,203.7
36,2019/5/29 12:0,11.82,1.025,183.033
37,2019/5/29 13:0,12.475,1.707,291.583
38,2019/5/29 14:0,13.16,1.79,295.333
39,2019/5/29 15:0,14.653,1.108,189.867
40,2019/5/29 16:0,14.942,1.452,188.533
41,2019/5/29 17:0,14.105,1.798,170.967
42,2019/5/29 18:0,13.153,1.963,150.833
43,2019/5/29 19:0,12.64,1.842,155.883
44,2019/5/29 20:0,11.608,1.483,148.667
45,2019/5/29 21:0,9.693,1.113,172.517
46,2019/5/29 22:0,5.647,1.873,240.917
47,2019/5/29 23:0,5.63,1.632,254.1
48,2019/5/30 0:0,4.458,1.378,235.917
49,2019/5/30 1:0,4.565,1.223,243.917
50,2019/5/30 2:0,4.193,1.31,268.967
51,2019/5/30 3:0,3.882,1.228,323.233
52,2019/5/30 4:0,3.675,1.245,312.6
53,2019/5/30 5:0,3.5,0.968,328.133
54,2019/5/30 6:0,4.71,0.842,230.733
55,2019/5/30 7:0,5.763,1.088,129.833
56,2019/5/30 8:0,6.695,1.183,157.75
57,2019/5/30 9:0,7.428,1.697,258.15
58,2019/5/30 10:0,9.353,1.317,274.833
59,2019/5/30 11:0,10.44,1.513,321.917
60,2019/5/30 12:0,12.062,1.447,299.033
61,2019/5/30 13:0,13.023,1.752,288.717
62,2019/5/30 14:0,13.377,2.093,293.017
63,2019/5/30 15:0,15.315,3.125,317.4
64,2019/5/30 16:0,14.863,1.475,247.633
65,2019/5/30 17:0,13.687,2.658,157.0
66,2019/5/30 18:0,11.527,1.55,138.283
67,2019/5/30 19:0,8.448,2.155,315.05
68,2019/5/30 20:0,7.878,2.3,322.567
69,2019/5/30 21:0,7.682,2.992,322.933
70,2019/5/30 22:0,7.958,2.5,303.383
71,2019/5/30 23:0,6.048,0.647,217.1
72,2019/5/31 0:0,5.462,1.775,327.817
73,2019/5/31 1:0,5.728,2.21,276.117
74,2019/5/31 2:0,5.438,1.458,285.117
75,2019/5/31 3:0,4.468,1.282,203.0
76,2019/5/31 4:0,3.96,1.18,312.65
77,2019/5/31 5:0,4.528,0.81,215.4
78,2019/5/31 6:0,4.198,0.92,233.433
79,2019/5/31 7:0,4.093,0.922,300.95
80,2019/5/31 8:0,4.77,0.958,282.833
81,2019/5/31 9:0,5.817,2.563,334.167
82,2019/5/31 10:0,6.505,2.768,328.717
83,2019/5/31 11:0,6.817,2.58,327.033
84,2019/5/31 12:0,7.93,2.728,328.45
85,2019/5/31 13:0,8.757,2.657,330.283
86,2019/5/31 14:0,9.528,2.795,323.333
87,2019/5/31 15:0,9.415,3.078,336.383
88,2019/5/31 16:0,7.92,2.66,339.283
89,2019/5/31 17:0,7.958,3.048,323.583
90,2019/5/31 18:0,8.52,2.398,327.917
91,2019/5/31 19:0,7.753,2.695,318.917
92,2019/5/31 20:0,6.712,1.623,322.85
93,2019/5/31 21:0,6.375,1.572,321.667
94,2019/5/31 22:0,5.747,1.4,215.433
95,2019/5/31 23:0,5.137,1.412,252.867
96,2019/6/1 0:0,5.153,1.145,264.233
97,2019/6/1 1:0,4.388,0.922,304.883
98,2019/6/1 2:0,4.573,1.405,319.267
99,2019/6/1 3:0,3.52,0.895,233.517
100,2019/6/1 4:0,3.188,1.108,244.217
101,2019/6/1 5:0,3.522,1.315,338.433
102,2019/6/1 6:0,3.912,0.925,323.1
103,2019/6/1 7:0,4.47,0.95,293.45
104,2019/6/1 8:0,5.408,0.863,252.017
105,2019/6/1 9:0,6.097,1.415,268.283
106,2019/6/1 10:0,6.26,1.613,292.167
107,2019/6/1 11:0,6.457,1.715,333.5
108,2019/6/1 12:0,7.855,0.993,196.433
109,2019/6/1 13:0,9.668,0.803,211.25
110,2019/6/1 14:0,8.945,1.653,268.333
111,2019/6/1 15:0,8.215,1.51,189.8
112,2019/6/1 16:0,10.023,1.612,326.233
113,2019/6/1 17:0,8.357,2.272,332.55
114,2019/6/1 18:0,8.592,1.04,211.567
115,2019/6/1 19:0,7.117,1.817,326.117
116,2019/6/1 20:0,6.397,1.87,332.917
117,2019/6/1 21:0,6.217,2.258,317.067
118,2019/6/1 22:0,5.047,1.103,309.083
119,2019/6/1 23:0,4.727,1.287,259.45
120,2019/6/2 0:0,4.268,1.252,234.433
121,2019/6/2 1:0,3.823,1.345,340.983
122,2019/6/2 2:0,3.747,1.588,313.6
123,2019/6/2 3:0,3.597,1.368,307.3
124,2019/6/2 4:0,3.073,0.967,273.233
125,2019/6/2 5:0,3.065,1.11,306.133
126,2019/6/2 6:0,3.512,1.5,303.617
127,2019/6/2 7:0,4.35,0.827,261.017
128,2019/6/2 8:0,5.568,1.078,191.65
129,2019/6/2 9:0,7.11,0.763,214.867
130,2019/6/2 10:0,7.753,1.102,136.867
131,2019/6/2 11:0,8.69,1.273,129.667
132,2019/6/2 12:0,9.762,1.502,134.033
133,2019/6/2 13:0,11.007,1.175,152.933
134,2019/6/2 14:0,11.807,1.442,143.45
135,2019/6/2 15:0,12.672,1.568,156.5
136,2019/6/2 16:0,13.458,1.147,178.55
137,2019/6/2 17:0,12.827,1.883,238.017
138,2019/6/2 18:0,12.868,1.383,187.383
139,2019/6/2 19:0,11.305,1.745,269.917
140,2019/6/2 20:0,9.495,2.167,303.467
141,2019/6/2 21:0,7.573,2.43,336.25
142,2019/6/2 22:0,6.21,2.768,335.467
143,2019/6/2 23:0,5.835,1.163,199.467
144,2019/6/3 0:0,4.558,1.247,181.867
145,2019/6/3 1:0,4.067,1.112,180.4
146,2019/6/3 2:0,3.313,1.458,263.183
147,2019/6/3 3:0,3.03,0.997,292.6
148,2019/6/3 4:0,2.528,0.985,260.283
149,2019/6/3 5:0,2.988,0.952,277.667
150,2019/6/3 6:0,2.988,1.148,219.1
151,2019/6/3 7:0,3.843,1.572,127.0
152,2019/6/3 8:0,6.992,1.37,169.5
153,2019/6/3 9:0,9.537,1.285,268.783
154,2019/6/3 10:0,9.85,1.573,296.783
155,2019/6/3 11:0,11.998,1.49,254.917
156,2019/6/3 12:0,14.088,1.393,157.15
157,2019/6/3 13:0,12.708,2.192,309.183
158,2019/6/3 14:0,11.43,2.997,311.05
159,2019/6/3 15:0,13.002,2.367,268.917
160,2019/6/3 16:0,13.183,1.665,228.783
161,2019/6/3 17:0,10.7,2.442,160.45
162,2019/6/3 18:0,9.74,3.427,141.217
163,2019/6/3 19:0,9.425,1.985,148.65
164,2019/6/3 20:0,9.05,0.532,192.733
165,2019/6/3 21:0,6.543,1.165,192.433
166,2019/6/3 22:0,5.618,0.798,294.95
167,2019/6/3 23:0,5.33,1.065,251.117
168,2019/6/4 0:0,4.522,0.832,158.633
169,2019/6/4 1:0,3.995,1.087,303.783
170,2019/6/4 2:0,4.005,1.007,304.75
171,2019/6/4 3:0,3.998,1.383,295.117
172,2019/6/4 4:0,4.108,1.232,184.1
173,2019/6/4 5:0,3.862,0.983,261.6
174,2019/6/4 6:0,3.895,1.195,303.65
175,2019/6/4 7:0,4.125,1.383,293.067
176,2019/6/4 8:0,4.86,1.048,235.85
177,2019/6/4 9:0,5.777,1.065,256.367
178,2019/6/4 10:0,7.623,1.033,253.1
179,2019/6/4 11:0,9.803,0.91,168.25
180,2019/6/4 12:0,11.238,1.388,150.4
181,2019/6/4 13:0,12.427,1.675,142.933
182,2019/6/4 14:0,12.423,1.41,220.133
183,2019/6/4 15:0,10.985,1.765,278.133
184,2019/6/4 16:0,11.978,1.595,157.183
185,2019/6/4 17:0,10.107,1.558,221.933
186,2019/6/4 18:0,8.673,1.622,198.5
187,2019/6/4 19:0,8.045,0.873,204.3
188,2019/6/4 20:0,9.113,1.263,294.533
189,2019/6/4 21:0,6.54,2.0,345.85
190,2019/6/4 22:0,5.542,1.532,300.883
191,2019/6/4 23:0,5.438,1.24,292.433
192,2019/6/5 0:0,4.915,1.187,211.683
193,2019/6/5 1:0,4.423,1.37,319.6
194,2019/6/5 2:0,4.138,1.442,271.433
195,2019/6/5 3:0,3.91,1.378,307.633
196,2019/6/5 4:0,3.725,0.863,277.867
197,2019/6/5 5:0,3.653,0.678,206.517
198,2019/6/5 6:0,3.76,1.245,213.067
199,2019/6/5 7:0,5.753,1.347,274.15
200,2019/6/5 8:0,9.08,0.697,141.267
201,2019/6/5 9:0,9.498,1.153,140.317
202,2019/6/5 10:0,11.458,0.8,143.617
203,2019/6/5 11:0,12.828,1.113,161.483
204,2019/6/5 12:0,14.127,1.203,157.233
205,2019/6/5 13:0,15.372,1.207,146.467
206,2019/6/5 14:0,16.483,1.188,224.017
207,2019/6/5 15:0,16.487,2.308,306.75
208,2019/6/5 16:0,16.103,2.695,337.167
209,2019/6/5 17:0,16.645,3.268,319.65
210,2019/6/5 18:0,16.232,3.662,325.3
211,2019/6/5 19:0,15.145,3.705,319.817
212,2019/6/5 20:0,12.898,2.397,308.183
213,2019/6/5 21:0,11.303,1.193,192.55
214,2019/6/5 22:0,8.02,1.597,316.6
215,2019/6/5 23:0,7.317,1.312,272.417
216,2019/6/6 0:0,6.632,1.662,276.3
217,2019/6/6 1:0,5.952,1.345,235.8
218,2019/6/6 2:0,4.772,1.395,233.65
219,2019/6/6 3:0,4.15,1.3,256.217
220,2019/6/6 4:0,3.453,1.333,230.95
221,2019/6/6 5:0,3.457,1.265,265.617
222,2019/6/6 6:0,4.347,1.625,206.0
223,2019/6/6 7:0,5.922,1.857,247.3
224,2019/6/6 8:0,8.57,1.297,208.7
225,2019/6/6 9:0,10.207,1.413,297.5
226,2019/6/6 10:0,11.78,1.302,262.933
227,2019/6/6 11:0,13.59,1.218,236.917
228,2019/6/6 12:0,13.817,2.097,277.683
229,2019/6/6 13:0,15.08,2.027,324.333
230,2019/6/6 14:0,17.492,2.472,309.7
231,2019/6/6 15:0,17.275,1.945,160.183
232,2019/6/6 16:0,18.12,1.628,171.267
233,2019/6/6 17:0,16.017,3.61,146.883
234,2019/6/6 18:0,15.297,3.573,146.267
235,2019/6/6 19:0,16.435,1.122,187.233
236,2019/6/6 20:0,11.937,2.468,320.133
237,2019/6/6 21:0,9.613,2.405,326.717
238,2019/6/6 22:0,7.757,2.163,262.25
239,2019/6/6 23:0,6.563,1.728,176.4
240,2019/6/7 0:0,5.68,1.4,167.05
241,2019/6/7 1:0,4.58,1.598,282.9
242,2019/6/7 2:0,4.252,1.227,234.567
243,2019/6/7 3:0,4.163,0.997,289.017
244,2019/6/7 4:0,3.92,1.33,210.8
245,2019/6/7 5:0,3.65,0.928,248.25
246,2019/6/7 6:0,4.337,1.958,282.0
247,2019/6/7 7:0,7.033,1.302,113.45
248,2019/6/7 8:0,8.99,1.755,201.967
249,2019/6/7 9:0,11.027,1.25,229.317
250,2019/6/7 10:0,12.472,1.85,283.633
251,2019/6/7 11:0,13.977,1.963,286.883
252,2019/6/7 12:0,14.66,2.382,302.917
253,2019/6/7 13:0,15.483,2.678,317.867
254,2019/6/7 14:0,16.198,4.077,316.433
255,2019/6/7 15:0,14.857,3.907,321.583
256,2019/6/7 16:0,15.55,1.357,301.933
257,2019/6/7 17:0,14.272,2.438,309.75
258,2019/6/7 18:0,13.823,3.09,330.083
259,2019/6/7 19:0,11.857,2.945,317.633
260,2019/6/7 20:0,12.02,2.318,259.983
261,2019/6/7 21:0,10.832,2.677,301.75
262,2019/6/7 22:0,8.34,1.937,289.967
263,2019/6/7 23:0,6.932,1.328,151.0
264,2019/6/8 0:0,6.263,1.45,239.5
265,2019/6/8 1:0,5.303,1.137,309.4
266,2019/6/8 2:0,3.96,0.942,261.917
267,2019/6/8 3:0,3.298,1.163,272.033
268,2019/6/8 4:0,3.493,0.847,192.7
269,2019/6/8 5:0,3.137,1.038,268.283
270,2019/6/8 6:0,4.085,1.48,254.233
271,2019/6/8 7:0,6.363,1.185,162.633
272,2019/6/8 8:0,8.408,1.287,280.983
273,2019/6/8 9:0,10.597,1.172,248.383
274,2019/6/8 10:0,12.175,1.492,315.517
275,2019/6/8 11:0,13.63,1.728,284.1
276,2019/6/8 12:0,14.858,2.028,262.1
277,2019/6/8 13:0,16.337,1.623,238.283
