YEAR	MONTH	DAY	HOUR	MINUTE	Time	T	RH	FF	DIR	P	SWIN	SWOUT	LWIN	LWOUT	PP	SNOW	T_z	RH_z	FF_z
2019	5	28	1	0	2019/5/28 0:0	5.625	70.482	1.482	266.933	944.65	0	0.078	290.723	327.062	0	NA	1.1	1.1	1.2
2019	5	28	2	0	2019/5/28 1:0	4.64	75.232	1.378	316.15	945	0	0	322.15	326.708	0	NA	1.1	1.1	1.2
2019	5	28	3	0	2019/5/28 2:0	5.355	75.523	1.178	234.817	945.033	0.047	0.213	331.042	329.252	0	NA	1.1	1.1	1.2
2019	5	28	4	0	2019/5/28 3:0	5.445	77.443	1.36	268.3	945.767	0	0.532	334.528	329.663	0.4	NA	1.1	1.1	1.2
2019	5	28	5	0	2019/5/28 4:0	5.713	78.383	1.542	254.133	946	0.471	1.251	334.248	330.94	0	NA	1.1	1.1	1.2
2019	5	28	6	0	2019/5/28 5:0	4.852	82.04	1.165	238.6	946	13.648	1.31	333.445	330.062	0.2	NA	1.1	1.1	1.2
2019	5	28	7	0	2019/5/28 6:0	4.593	84.585	1.518	270.867	946.35	30.612	2.611	333.052	330.872	0.5	NA	1.1	1.1	1.2
2019	5	28	8	0	2019/5/28 7:0	5.372	84.873	1.6	332.95	947	86.734	6.421	333.087	335.928	0	NA	1.1	1.1	1.2
2019	5	28	9	0	2019/5/28 8:0	5.883	85.172	0.827	273.817	947.083	137.65	8.995	335.245	342.612	0	NA	1.1	1.1	1.2
2019	5	28	10	0	2019/5/28 9:0	6.673	84.168	1.64	190.767	947.9	312.195	22.172	336.392	353.755	0	NA	1.1	1.1	1.2
2019	5	28	11	0	2019/5/28 10:0	8.275	78.235	2.058	333.95	948	461.13	42.587	333.305	367.735	0	NA	1.1	1.1	1.2
2019	5	28	12	0	2019/5/28 11:0	8.758	70.293	3	322.8	948	393.465	41.061	337.298	367.417	0	NA	1.1	1.1	1.2
2019	5	28	13	0	2019/5/28 12:0	10.14	64.92	2.612	325.9	948	593.185	64.352	327.002	386.187	0	NA	1.1	1.1	1.2
2019	5	28	14	0	2019/5/28 13:0	10.202	63.698	3.082	322.2	948	526.372	59.933	327.235	384.997	0	NA	1.1	1.1	1.2
2019	5	28	15	0	2019/5/28 14:0	10.442	61.035	3.46	322.167	948	479	55.721	325.952	384.74	0	NA	1.1	1.1	1.2
2019	5	28	16	0	2019/5/28 15:0	10.235	59.855	3.885	321.1	948	356.972	41.371	320.235	375.16	0	NA	1.1	1.1	1.2
2019	5	28	17	0	2019/5/28 16:0	10.235	60.182	3.752	319.867	948	355.33	41.664	318.272	374.06	0	NA	1.1	1.1	1.2
2019	5	28	18	0	2019/5/28 17:0	9.81	60.002	2.768	301.233	948	204.603	23.101	327.975	365.09	0	NA	1.1	1.1	1.2
2019	5	28	19	0	2019/5/28 18:0	9.627	60.123	1.88	312.1	948	190.687	21.258	323.418	362.51	0	NA	1.1	1.1	1.2
2019	5	28	20	0	2019/5/28 19:0	8.965	61.842	1.362	206.633	948	104.06	10.868	332.58	355.617	0	NA	1.1	1.1	1.2
