DATE,OTE2_TA,OTE3_TA,OTE4_TA,OTE5_TA,OTE_OGhigh_TA,OTE_OGlow_TA,OTE1_AWS_TA,OTE6_AWS_TA,OTE1_TA,OTE1_TA_Hi,OTE1_TA_Lo,OTE1_RH,OTE1_DEW,OTE1_FF,OTE1_DIR,OTE1_FF_Lo,OTE1_FF_Hi,OTE1_CHILL,OTE1_Heat_idx,OTE1_THSW,OTE1_PRESS,OTE6_TA,OTE6_TA_Hi,OTE6_TA_Lo,OTE6_RH,OTE6_DEW,OTE6_FF,OTE6_DIR,OTE6_FF_Lo,OTE6_FF_Hi,OTE6_CHILL,OTE6_Heat_idx,OTE6_THSW,OTE6_PRESS,OG_DIR,OG_FFavg,OG_FFmax,OG_FFstd,OG_BATT,OTE6_DEW,OTE6_FF,OTE6_DIR,OTE6_FF_Lo,OTE6_FF_Hi,OTE6_CHILL,OTE6_Heat_idx,OTE6_THSW,OTE6_PRESS,OTE6_PP_idx,OTE6_PP,OTE6_Heat,OTE6_Cool,OTE6_TA_In,OTE6_RH_In,OTE6_DEW_In,OTE6_Heat_In,OTE6_EMC_In,OTE6_DENSITY_In,OTE6_FF_sample,OTE6_FF_Tx,OTE6_ISS,OTE6_Arc,OG_DIR,OG_FFavg,OG_FFmax,OG_FFstd,OG_BATT
11/08/2022 00:00,5.9075,3.992,4.847,4.644,6.809166667,8.406166667,4.15,5.45,4.15,4.35,4.05,83,1.55,5.8,69.95212306,10.46,7.15,-0.1,4.05,-0.2,812.85,5.45,5.7,5.4,87,3.45,3.15,1.773737421,5.635,4.7,3,5.4,2.9,768.4,45,4.196666667,4.8855,0.4315,2.881666667,3.45,3.15,1.773737421,5.635,4.7,3,5.4,2.9,768.4,0,0,0.268,0,2.6,72,-1.9,2.3,13.985,0.9645,701.5,1,100,30,45,4.196666667,4.8855,0.4315,2.881666667
11/08/2022 01:00,6.266333333,3.821833333,4.678833333,4.557,7.015333333,7.985833333,4.5,5.6,4.5,4.9,4,83,1.85,4.7,55.72104271,8.45,6.3,0.8,4.35,0.7,812.75,5.6,5.7,5.5,84,3.1,4,357.5200213,7.24,5.8,2.6,5.5,2.4,768.2,45,5.327833333,5.981833333,0.405833333,2.881166667,3.1,4,357.5200213,7.24,5.8,2.6,5.5,2.4,768.2,0,0,0.265,0,2.45,72,-2.05,2.2,13.98,0.9648,701,1,100,30,45,5.327833333,5.981833333,0.405833333,2.881166667
11/08/2022 02:00,6.4785,4.252333333,4.743666667,4.3235,6.770833333,8.3935,4.3,5.25,4.3,4.75,4.1,82.5,1.6,4.7,72.72458804,8.45,6.3,0.65,4.15,0.45,812.7,5.25,5.45,5.2,86,3.1,4.7,2.005866931,8.45,6.05,1.75,5.15,1.6,768.1,45,5.132,6.109,0.626333333,2.884666667,3.1,4.7,2.005866931,8.45,6.05,1.75,5.15,1.6,768.1,0,0,0.2725,0,2.05,72,-2.45,1.75,13.965,0.96635,701,1,100,30,45,5.132,6.109,0.626333333,2.884666667
11/08/2022 03:00,6.2545,3.900333333,4.406,4.345333333,6.834,7.793666667,3.75,5.1,3.75,4.25,3.7,83.5,1.15,5.4,68.07401378,9.66,7.15,-0.45,3.65,-0.55,812.5,5.1,5.25,5.05,81,2.1,4.25,350.4324096,7.645,6.05,1.8,4.95,1.65,767.9,180,4.139666667,6.1305,1.126833333,2.891333333,2.1,4.25,350.4324096,7.645,6.05,1.8,4.95,1.65,767.9,0,0,0.276,0,1.6,72,-2.9,1.3,13.96,0.96785,700.5,1,100,30,180,4.139666667,6.1305,1.126833333,2.891333333
11/08/2022 04:00,5.7395,3.834,4.245333333,3.9755,6.441166667,7.429833333,3.95,4.85,3.95,4.2,3.75,82.5,1.25,4.45,73.16394916,8.045,6.05,0.35,3.85,0.2,812.25,4.85,5,4.8,79,1.5,4.05,0.23557473,7.245,6.05,1.7,4.65,1.55,767.8,157.5,5.306833333,7.393666667,1.196,2.899833333,1.5,4.05,0.23557473,7.245,6.05,1.7,4.65,1.55,767.8,0,0,0.281,0,1.25,72,-3.25,0.95,14.015,0.96925,700.5,1,100,30,157.5,5.306833333,7.393666667,1.196,2.899833333
11/08/2022 05:00,5.811333333,3.764166667,4.097333333,3.555666667,5.492166667,7.031833333,3.75,4.45,3.75,3.85,3.5,82.5,1.05,5.15,68.27036877,9.255,6.75,-0.25,3.65,-0.4,811.95,4.45,4.7,4.4,79,1.15,3.35,356.9968708,6.035,5.4,1.7,4.25,1.5,767.45,157.5,3.814333333,5.140166667,0.802,2.893,1.15,3.35,356.9968708,6.035,5.4,1.7,4.25,1.5,767.45,0,0,0.2895,0,0.65,72,-3.85,0.35,14.1,0.97115,702.5,1,100,30,157.5,3.814333333,5.140166667,0.802,2.893
11/08/2022 06:00,5.170333333,3.267666667,2.9295,2.789833333,5.033,6.715666667,3.85,3.9,3.85,3.85,3.65,81,0.9,5.15,98.97220114,9.255,6.5,-0.15,3.7,-0.35,812.1,3.9,4.15,3.85,86,1.8,0.4,5.07991946,0.8,1.1,3.9,3.8,3.8,767.65,180,3.256833333,4.070666667,0.498166667,2.890333333,1.8,0.4,5.07991946,0.8,1.1,3.9,3.8,3.8,767.65,0,0,0.3005,0,0.2,72.5,-4.15,-0.1,14.285,0.97305,702.5,1,100,30,180,3.256833333,4.070666667,0.498166667,2.890333333
11/08/2022 07:00,5.016166667,3.401833333,3.4615,4.121666667,5.0415,6.483666667,3.9,4.4,3.9,4,3.7,80.5,0.85,4.7,62.762644,8.45,6.5,0.15,3.7,-0.05,812.25,4.4,4.5,4,88,2.6,0.4,352.6667093,0.8,1.3,4.4,4.3,4.3,767.5,22.5,2.2745,2.679,0.2755,2.894333333,2.6,0.4,352.6667093,0.8,1.3,4.4,4.3,4.3,767.5,0,0,0.291,0,1,74.5,-3.05,0.75,14.82,0.96955,699.5,1,100,30,22.5,2.2745,2.679,0.2755,2.894333333
11/08/2022 08:00,5.207666667,4.811166667,5.253166667,5.434666667,7.215333333,7.3745,5.5,5.35,5.5,5.8,4,71,0.65,4.7,77.88796771,8.45,6.05,2.05,5.2,1.7,811.95,5.35,5.4,4.65,81.5,2.45,,,,,5.35,5.2,5.2,767.5,22.5,2.765,3.330833333,0.334166667,2.899166667,2.45,,,,,5.35,5.2,5.2,767.5,0,0,0.2705,0,3.2,76,-0.65,3,15.25,0.9605,702,1,100,30,22.5,2.765,3.330833333,0.334166667,2.899166667
11/08/2022 09:00,7.583666667,7.010833333,6.631,6.639,8.4935,10.65916667,5.9,6.8,5.9,6.9,5.25,67,0.25,4.25,59.87402763,7.645,5.6,2.8,5.5,2.4,812.15,6.8,6.8,6,73,2.3,,,,,6.8,6.6,6.6,767.5,22.5,2.659166667,3.326666667,0.410833333,2.899333333,2.3,,,,,6.8,6.6,6.6,767.5,0,0,0.2395,0,6.55,74,2.25,6.35,14.425,0.94755,702,1,100,30,22.5,2.659166667,3.326666667,0.410833333,2.899333333
