,glacier_number,glacier_name,lat,lon,relief,stddev,relief_1,relief_10,relief_20,relief_100,stddev_1,stddev_10,stddev_20,stddev_100,Slope_120m,Slope_60m,Slope_1km,Slope_10km,Slope_1km_20p,aspect_1km_50p,rgi_aspect,rgi_slope,station_z,Z_max,Z_min,glacier_length,glacier_area,glacier_width,glacier_width_at_station,Distance from terminus,Distance from head,Distance from centerline,Distance from nearest bend,continentality,sensitivity,delay,A,B,mean_temp_era5,mean_wind_era5,mean_temp_obs,mean_wind_obs,T_range_continentality,channel_width_at_station,Sensitivity_linear,PM_sensitivity,PM_delay,Z_range,rel_z,rel_distancefromterminus,rel_distancefromhead,rel_distancefromcenterline,local_aspect_normalised,asrgi_aspect_normalised
0,0,arolla,45.97,7.52,2439,445.572639741415,365.0,1690.0,2907.0,4324.0,52.7806883021335,369.589787385057,472.580038924863,771.038590796628,8.69630432128906,8.35637546832964,9.80136034377356,27.7066864412439,5.37761853269596,64.6521739130435,9.0,16.44,2851.75159235669,3467.0,2546.0,4.356,3.7984,0.871992653810836,0.71559,2.005,2.12,0.220798,,32.0770193058179,9.73885667238087,2.4703358419269,0.102681457756327,-0.253657685396758,7.0233039739756,0.865540780020465,8.41057770864756,3.3180319884364,22.462890625,0.71559,0.0920341634174813,0.217081919475392,1.83547911516684,921.0,0.33197784186394114,0.46028466483011937,0.48668503213957764,0.30855378079626605,-0.9362616355108254,0.9044019056675875
1,1,langenferner,46.47245,10.61391,2627,454.946777004465,368.0,1965.0,2627.0,3758.0,82.933701732554,332.185420929921,454.946777004465,700.950874932116,14.6244167170283,20.8582117292616,20.5771987221458,23.7543377828866,13.6842514915447,84.1744429632451,32.0,18.14,2954.44904458599,3399.0,2671.0,2.934,2.1629,0.737184730743013,0.523278,1.281,1.775,0.253101,,26.5006707119082,-14.8713709656065,-1.56058822437335,-0.0672432960157294,-0.104939095930199,6.97310114366658,0.74607742065575,5.00977400457655,3.3029009074422,19.947265625,0.523278,-0.0715758401919841,0.18514732023047,-0.555591586819026,728.0,0.3893530832225139,0.4366053169734151,0.6049761417859577,0.4836836251476271,-0.8796828675008241,0.3387904745834194
2,2,schiaparelli,-54.4,-70.87,2185,382.583959133452,84.0,2181.0,2185.0,4864.0,17.4611328793896,400.740194053372,382.583959133452,266.144584742173,5.51367836150898,4.85724094831305,4.88417833145418,18.728384539074,3.31495954450187,254.0,343.0,13.85,196.534810126582,1953.0,4.79,10.831,24.7903,2.28882836303204,1.581,1.677,9.21,0.358567,,-30.1272805631181,9.77618923637066,0.906364490585776,0.102289345656247,-0.0927114306680767,1.8189333475857,5.32577603925261,3.3281222306143,4.13052945619335,6.67236328125,1.581,0.0972601456918085,0.213496271580262,1.40355023621271,1948.21,0.09842101730644129,0.15483334872126306,0.850336995660604,0.22679759645793804,0.2954929143038194,0.2177694205285616
3,3,Trakarding,27.843,86.487,3205,530.316724632957,325.0,2514.0,3205.0,8287.0,87.593424551177,462.858579708369,530.316724632957,1599.66303829463,13.386946031574,18.8778988503816,19.3843008521029,28.7677039753489,11.8895940227206,56.2948402948403,327.0,16.99,4820.89523809524,6677.0,4545.0,17.869,32.09,1.795847557222,0.29821,0.42985,17.535,0.65216,,22.6810712329733,1.9493231886959,0.63117689512607,0.512998565758099,-0.323792841939324,3.42205653680345,0.756070595647286,5.10748010796589,1.63105463315793,13.8046875,0.29821,0.49791112382871,0.430688743997468,0.649126160151438,2132.0,0.12940677208969964,0.02405562706362975,0.9813084112149533,2.186915261057644,-0.5744224036459155,0.7393544526440696
4,4,yala,28.23,85.62,3781,569.058967496581,498.0,2879.0,3596.0,7472.0,114.8543594286,615.459137268896,556.372081177323,1546.13981384132,15.364213525769,20.1372832756631,20.2194945207392,30.2644668452907,13.7747693962097,228.98016336056,225.8,22.72,5213.64240506329,5644.0,5080.0,2.184,2.054,0.94047619047619,0.648,1.354,0.491,0.281151,,28.9807901380847,14.3692230368742,2.59235089840338,0.0695931852010234,-0.180409956178626,3.25988122320341,0.808418250501732,1.62720469414599,1.11468178772053,15.661376953125,0.648,0.0609468779170893,0.106904703806787,3.4383859553275,564.0,0.23695461890654332,0.61996336996337,0.2248168498168498,0.43387499999999996,0.9535367273439236,0.9528002357346828
5,5,lirung,28.24,85.56,5025,877.391642308786,568.0,3842.0,4580.0,7506.0,137.175198501645,770.938743179352,727.465483152831,1564.14495857021,21.9345347343879,22.5464014169332,24.0826846203172,31.7599224024333,11.8893618546814,194.387096774194,139.0,32.48,4275.60443037975,7216.0,3988.0,8.57,4.786,0.558459743290548,0.361273,1.792,5.934,0.281,,28.2879839972206,3.99210043573512,-0.0246417848827115,0.250494699744661,0.0061726365053673,6.53639718111888,0.782330970004692,8.45483400886178,0.949922898809316,15.40234375,0.361273,0.250786321400996,0.199791677418265,0.49264726978511,3228.0,0.08909678760215298,0.20910151691948659,0.6924154025670946,0.77780515012193,-0.8171886530174205,-0.984556233457421
6,6,satopanth,30.773251,79.408794,3822,627.132173997032,340.0,3036.0,4213.0,7098.0,49.0042193989605,556.528067156611,724.238098196903,1437.46335985753,9.79433250427246,9.33734128767857,10.2251462878694,32.7494244097943,5.70163121030463,98.3036437246964,34.36,19.7,3909.8126984127,7056.0,3755.0,20.106,57.04,2.8369640903213,0.750868,1.186,13.503,0.042383,,41.9647753919702,1.94325065008042,-0.202831529861226,0.514601654685469,0.104377440888972,3.055877426314,0.799514220725752,10.4810619978946,1.22355570369322,20.717529296875,0.750868,0.519040865267077,0.691577178834083,0.795938833318933,3301.0,0.046898727177431015,0.05898736695513776,0.6715905699791107,0.056445340592487625,-0.8815165514589223,-0.4575043772390593
7,7,wm2,50.138823,-122.775232,2455,436.347289434063,228.0,1830.0,2493.0,2871.0,34.4956205161022,349.3830180023,481.709674935702,571.588260175543,3.13315161360388,4.84641726256698,8.65400184349774,24.7486341557455,3.18890426110879,74.5,14.18,11.88,2298.20382165605,2759.0,1655.0,6.503,8.111,1.24727049054283,0.683,5.108,1.479,0.072964,,24.0100818295549,11.4466158987707,1.59448823149449,0.0873620648096869,-0.139297784218105,9.00391288171637,0.653672953549767,5.22550384160757,2.51255679299645,19.460205078125,0.683,0.0817582166778778,0.252995767640658,2.68713016209591,1104.0,0.5826121572971467,0.7854836229432569,0.22743349223435338,0.10682869692532942,-0.6303110622507313,-0.34520062543178504
8,8,pm3,50.414718,-122.600217,2511,572.220685917744,400.0,2006.0,2514.0,2826.0,59.3722860443429,378.316003481624,580.699120162172,556.251124478315,7.07895450740105,8.04704118300115,10.7163500785828,29.2605181921046,5.6878471032509,56.8802980400626,21.4,11.83,2095.0,2560.0,1839.0,3.821,3.015,0.789060455378173,0.906,1.899,2.027,0.421089,,25.6634916312256,17.6982783263087,1.86506883409172,0.0565026711391181,-0.105381370984503,11.8465761598413,0.752432689986112,5.69552272656951,3.17956185796281,20.289794921875,0.906,0.0521572453752943,0.232415233651052,2.00991321136738,721.0,0.3550624133148405,0.4969903166710285,0.5304894006804501,0.46477814569536424,-0.3906733472770857,0.6148925025472816
9,9,pm2,50.421835,-122.598482,2511,572.220685917744,128.0,2094.0,2484.0,2820.0,29.0110616823882,444.333058396053,568.372019595739,555.53368159484,5.73299074172974,5.54754495620728,5.68267760386624,29.2653123352599,3.7047917842865,180.0,21.4,11.83,2024.66984126984,2560.0,1839.0,3.821,3.015,0.789060455378173,1.301,1.386,2.445,0.198,,25.6936238794916,19.0004782699823,0.673176424606379,0.0526302541331204,-0.0354294463034591,11.8985761598413,0.752432689986112,5.17157545104939,3.11272404629215,20.289794921875,1.301,0.0511693125328474,0.215297584222706,1.18632750493116,721.0,0.2575171168791123,0.3627322690395184,0.6398848468987175,0.15219062259800156,-0.8205810566088714,0.6148925025472816
