glacier_name,Glacier_ID,Down_glacier_direction,Distance from terminus,channel_width_100m_from_lowest_point,channel_width_from_below,channel_width_Q,channel_width_100_above_station,channel_width_at_station,lat,lon,relief_0.1,relief_1,relief_10,relief_20,relief_100,mean_wind_obs,stddev_1,stddev_10,stddev_20,stddev_100,Slope_120m,Slope_60m,Slope_1km,Slope_10km,aspect_eastness_0.1km,aspect_eastness_1km,aspect_northness_0.1km,aspect_northness_1km,rgi_aspect,rgi_slope,station_z,Z_max,Z_min,glacier_length,glacier_area,glacier_width,glacier_width_at_station,Unnamed: 40,Distance from head,Distance from centerline,continentality,sensitivity,delay,A,B,mean_temp_era5,mean_wind_era5,mean_temp_obs,T_range_continentality,rel_distance_from_terminus,localtime,Mean_elev
Drangdrung,RGI2000-v7.0-G-14-26914,224,8.004,2.45,1,1,2.59,1.492,33.787596,76.333945,6,71,2255,2526,5812,4.19207221,14.48006249,400.4567333,453.8533852,737.4997491,0.213403076,0.213403076,0.213403076,0.213403076,-0.848048096,-0.848048096,-0.529919264,-0.529919264,3.49,13.9,4600.615873,6523,4079,24.737,68.36,2.763471723,1.492,,16.417,0.1642,45.21829593,0.241200909,1.980169446,0.241200909,-0.47761867,0.021489909,0.697072527,5.960437725,24.10099792,0.323563892,1,4588.997081
Weart2,RGI2000-v7.0-G-02-07402,200,5.108,1.45,1.02,0,1.66,0.683,50.138823,-122.775232,11,225,1859,2518,2953,2.512556793,39.30963741,351.4318799,482.4784122,571.3954359,0.060966317,0.060966317,0.060966317,0.060966317,-0.874619707,-0.874619707,-0.48480962,-0.48480962,14.18,11.88,2298.203822,2759,1655,6.503,8.111,1.247270491,0.683,,1.479,0.072964,24.01008183,0.087362065,1.594488231,0.087362065,-0.139297784,9.003912882,0.653672954,5.225503842,19.46020508,0.785483623,1,2310.925466
Schiaparelli,RGI2000-v7.0-G-17-15343,90,1.677,2.05,1.54,1,2.23,1.581,-54.4,-70.87,10,105,2178,2180,2293,4.130529456,18.40521817,403.5579852,383.2407779,266.6679765,0.020881526,0.020881526,0.020881526,0.020881526,0.48480962,0.48480962,-0.874619707,-0.874619707,343,13.85,196.5348101,1953,4.79,10.831,24.7903,2.288828363,1.581,,9.21,0.358567,-30.12728056,0.102289346,0.906364491,0.102289346,-0.092711431,1.818933348,5.325776039,3.328122231,6.672363281,0.154833349,0,172.6333897
Place2,RGI2000-v7.0-G-02-07366,160,1.386,1.48,1.25,1,1.63,1.301,50.421835,-122.598482,10,146,2091,2498,2843,3.112724046,31.65912403,442.9990809,567.8371143,555.6863897,0.060966317,0.060966317,0.060966317,0.060966317,-0.139173101,-0.139173101,-0.990268069,-0.990268069,21.4,11.83,2024.669841,2560,1839,3.821,3.015,0.789060455,1.301,,2.445,0.198,25.69362388,0.052630254,0.673176425,0.052630254,-0.035429446,11.89857616,0.75243269,5.171575451,20.28979492,0.362732269,1,2011.009024
Weart1,RGI2000-v7.0-G-02-07402,200,2.929,1.64,1.46,1,1.7,1.325,50.155944,-122.760257,22,199,1717,2553,2953,3.548298643,39.49202282,277.2470801,453.9096867,573.4797648,0.060966317,0.060966317,0.060966317,0.060966317,-0.224951054,-0.224951054,-0.974370065,-0.974370065,14.18,11.88,2164.47619,2759,1655,6.503,8.111,1.247270491,1.325,,3.71,0.178,24.13993496,0.068523458,2.732008134,0.068523458,-0.187206645,9.012362882,0.653672954,4.406618197,19.46020508,0.450407504,1,2156.297236
Place1,RGI2000-v7.0-G-02-07366,160,0.913,1.25,1.65,1,1.3,0.922,50.426073,-122.601628,6,178,2100,2423,2824,2.893004112,37.77694243,489.790308,566.7144807,555.0690409,0.060966317,0.060966317,0.060966317,0.060966317,-0.224951054,-0.224951054,-0.974370065,-0.974370065,21.4,11.83,1970.368254,2560,1839,3.821,3.015,0.789060455,0.922,,2.909,0.007,25.70293348,0.047880957,-0.294943304,0.047880957,0.014122168,11.91807616,0.75243269,5.25542797,20.28979492,0.238942685,1,1951.20486
Arolla,RGI2000-v7.0-G-11-01247,166,2.005,1.06,0.949,1,1.18,0.71559,45.97,7.52,17,399,1862,3000,4387,3.318031988,59.51679731,373.4526332,475.9871962,772.0637542,0.003034363,0.003034363,0.003034363,0.005207212,-0.573576436,-0.573576436,-0.819152044,-0.819152044,9,16.44,2851.751592,3467,2546,4.356,3.7984,0.871992654,0.71559,,2.12,0.220798,32.07701931,0.102681458,2.470335842,0.102681458,-0.253657685,7.023303974,0.86554078,8.410577709,22.46289063,0.460284665,1,2839.551342
Place3,RGI2000-v7.0-G-02-07366,160,1.899,1.32,1.9,0,2.9,0.906,50.414718,-122.600217,17,401,2008,2534,2843,3.179561858,59.81428895,379.877652,580.9377072,556.3424806,0.060966317,0.060966317,0.060966317,0.060966317,-0.882947593,-0.882947593,-0.469471563,-0.469471563,21.4,11.83,2095,2560,1839,3.821,3.015,0.789060455,0.906,,2.027,0.421089,25.66349163,0.056502671,1.865068834,0.056502671,-0.105381371,11.84657616,0.75243269,5.695522727,20.28979492,0.496990317,1,2091.599605
Satopanth,RGI2000-v7.0-G-15-00882,247,1.186,0.974,1.459,1,1.2,0.750868,30.773251,79.408794,32,420,3150,4318,7148,1.223555704,64.91782094,565.2783277,729.6095362,1439.995984,0.326502889,0.326502889,0.326502889,0.326502889,-0.882947593,-0.882947593,-0.469471563,-0.469471563,34.36,19.7,3909.812698,7056,3755,20.106,57.04,2.83696409,0.750868,,13.503,0.042383,41.96477539,0.514601655,-0.20283153,0.514601655,0.104377441,3.055877426,0.799514221,10.481062,20.7175293,0.058987367,1,3900.70784
Chottashigri,RGI2000-v7.0-G-14-30579,260,4.913,1.31,1.146,1,2.13,0.608,32.228297,77.506293,49,296,2457,3015,5728,2.359289739,71.3046837,388.5689815,526.7470299,1152.371914,0.261526883,0.261526883,0.261526883,0.261526883,-0.882947593,-0.882947593,-0.469471563,-0.469471563,338.5,16.9,4870.749206,5752,4273,9.516,16.764,1.761664565,0.608,,4.76,0.281,46.41871021,0.335721424,1.279230521,0.335721424,-0.429465092,3.457245516,0.767844293,3.576515426,24.06958008,0.516288356,1,4860.738623
