glacier_name,Glacier_ID,Down_glacier_direction,Distance from terminus,rel_distancefromcenterline,rel_distancefromterminus,channel_width_100m_from_lowest_point,lat,lon,aspect_ratio_relief,aspect_ratio_stddev,relief_10,mean_wind_obs,stddev_10,Slope,aspect_eastness_1km,aspect_northness_1km,rgi_slope,station_z,Z_max,Z_min,glacier_length,glacier_area,glacier_width,Distance from head,Distance from centerline,continentality,sensitivity,delay,A,B,mean_temp_era5,mean_wind_era5,mean_temp_obs,T_range_continentality,rel_distance_from_terminus,localtime,Mean_elev,mean_along_valley%,data_length_days,mean_abs_along_valley%
Arolla,RGI2000-v7.0-G-11-01247,166,2.005,0.2083,0.460284665,1.06,45.97,7.52,1.756603774,0.352313805,1862,3.382660743,373.4526332,0.008812765,-0.848048096,-0.529919264,16.44,2851.751592,3467,2546,4.356,3.7984,0.871992654,2.12,0.220798,21.7318082,0.096843976,3.590610294,0.096843976,-0.347728975,6.968109063,0.849657571,7.425177018,21.7318082,0.460284665,1,2839.551342,0.02885435,74,0.434091757
Bellavista,RGI2000-v7.0-G-11-03243,250,-0.983,1.503192848,-0.30882815,0.783,46.78284,10.79138,2.365261814,0.480081957,1852,3.578074536,375.9041724,0.008095141,-0.874619707,-0.48480962,15.3,2799,2657,3405,3.183,3.09,0.970782281,1.649,1.177,19.65108953,0.233460283,0.173715605,0.233460283,-0.040555694,4.322730445,0.888791324,4.296645413,19.65108953,-0.30882815,1,2818.282572,0.207099457,64,0.207099457
Bishop,RGI2000-v7.0-G-15-08331,90,18.3,0.457692308,0.986735684,1.04,27.9735,86.9308,3.605769231,0.812815916,3750,3.179746189,845.3285524,0.040730692,-0.139173101,-0.990268069,23.56,7857.022222,7981,4879,18.546,26.35,1.420791545,0.087,0.476,15.88784819,0.322373653,1.987775146,0.322373653,-0.640806336,-1.275448508,0.746102713,-17.34913266,15.88784819,0.986735684,0,7888.399211,0.249933968,59,0.26772303
Camp2,RGI2000-v7.0-G-15-08331,150,14.103,0.39,0.760433517,1,27.981,86.9023,3.686,0.848188565,3686,1.095125037,848.1885654,0.040730692,-0.139173101,-0.990268069,23.56,6484.964856,7981,4879,18.546,26.35,1.420791545,3.043,0.39,15.88784819,0.064023458,0.572861545,0.064023458,-0.036676577,-1.700984746,0.799470145,-3.96020899,15.88784819,0.760433517,0,6474.495041,-0.008255864,514,0.214520092
Chottashigri,RGI2000-v7.0-G-14-30579,260,4.913,0.214503817,0.516288356,1.31,32.228297,77.506293,1.875572519,0.296617543,2457,2.619026647,388.5689815,0.055946875,-0.777145961,-0.629320391,16.9,4870.749206,5752,4273,9.516,16.764,1.761664565,4.76,0.281,23.38128363,0.294218433,2.10983667,0.294218433,-0.620752839,2.759963923,0.779397647,2.434010032,23.38128363,0.516288356,1,4860.738623,0.358631514,86,0.363666795
Djankuat,RGI2000-v7.0-G-12-00647,130,1.176,0.133645955,0.373096447,0.853,43.198,42.757,2.405627198,0.513304736,2052,5.119577144,437.8489401,0.016885024,0.069756474,0.99756405,25.05,2975.605096,3706,2689.7,3.152,2.989,0.948286802,1.677,0.114,26.39893157,0.785670002,0.318737209,0.785670002,-0.250422263,7.929449059,0.680562497,6.961034439,26.39893157,0.373096447,1,2983.446262,0.895979828,231,0.895979828
Drangdrung,RGI2000-v7.0-G-14-26914,224,8.004,0.067020408,0.323563892,2.45,33.787596,76.333945,0.920408163,0.163451728,2255,4.203627113,400.4567333,0.05589956,-0.809016994,-0.587785252,13.9,4600.615873,6523,4079,24.737,68.36,2.763471723,16.417,0.1642,26.75100507,0.216512108,2.673661393,0.216512108,-0.578880065,-0.881548621,0.703029922,5.53626202,26.75100507,0.323563892,1,4588.997081,0.908421895,98,0.908421895
Hinterisferner,RGI2000-v7.0-G-11-03116,300,4.255,0.571080422,0.497777258,1.231,46.79867,10.76042,1.454914703,0.248405615,1791,3.883671991,305.7873124,0.008095141,-0.874619707,-0.48480962,18.1,3026.504762,3694,2413,8.548,8.036,0.940102948,4.228,0.703,19.65108953,0.065914992,0.589598102,0.065914992,-0.038863354,3.650380754,0.799547358,4.301217174,19.65108953,0.497777258,1,3024.118577,-0.021943803,121,0.069380367
Kalapathar,RGI2000-v7.0-G-15-06739,25,-0.56,0.547738693,-0.323699422,0.796,27.96,86.81,2.944723618,0.441154074,2344,1.963648753,351.1586431,0.040730692,-0.139173101,-0.990268069,23.56,5103.400631,7981,4879,1.73,0.83,0.479768786,15.195,0.436,15.88784819,1.035838739,0.459064865,1.035838739,-0.47551717,0.203002782,0.879217072,0.124403018,15.88784819,-0.323699422,1,5095.734896,-0.484062407,456,0.484062407
Lirung,RGI2000-v7.0-G-15-05739,303,1.792,0.304772234,0.209101517,0.922,28.24,85.56,4.129067245,0.823839453,3807,0.959412022,759.5799753,0.028148301,-0.224951054,-0.974370065,32.48,4275.60443,7216,3988,8.57,4.786,0.558459743,5.934,0.281,14.76221421,0.275408227,0.608764597,0.275408227,-0.167658778,2.891624137,0.837769605,8.090422218,14.76221421,0.209101517,1,4271.562606,-0.508837024,186,0.542416891
Morimoto,RGI2000-v7.0-G-15-05844,132,1.807,0.283286119,0.388853023,0.706,28.25296,85.68152,3.828611898,0.701847521,2703,1.992633634,495.5043496,0.028148301,-0.224951054,-0.974370065,22,4925,5914,4689,4.647,1.38,0.296965784,2.84,0.2,16.47690275,0.71624641,0.565484117,0.71624641,-0.405025969,0.616511007,0.834955278,3.393518318,16.47690275,0.388853023,1,4919.709614,0.658394559,365,0.658394559
