glacier_name,Glacier_ID,Down_glacier_direction,Distance from terminus,channel_width_100m_from_lowest_point,channel_width_from_below,channel_width_Q,channel_width_100_above_station,channel_width_balaji,lat,lon,relief_0.1,relief_1,relief_10,relief_20,relief_100,mean_wind_obs,stddev_0.1,stddev_1,stddev_10,stddev_20,stddev_100,Slope_120m,aspect_eastness_0.1km,aspect_eastness_1km,aspect_northness_0.1km,aspect_northness_1km,rgi_aspect,rgi_slope,station_z,Z_max,Z_min,glacier_length,glacier_area,glacier_width,glacier_width_at_station,Unnamed: 40,Distance from head,Distance from centerline,continentality,sensitivity,delay,A,B,mean_temp_era5,mean_wind_era5,mean_temp_obs,T_range_continentality,rel_distance_from_terminus,localtime,Mean_elev,score,mean_along_valley%,data_length_days,mean_abs_along_valley%
Arolla,RGI2000-v7.0-G-11-01247,166,2.005,1.06,0.949,1,1.18,0.71559,45.97,7.52,17,399,1862,3000,4387,3.382660743,4.660710485,59.51679731,373.4526332,475.9871962,772.0637542,0.008812765,-0.848048096,-0.848048096,-0.529919264,-0.529919264,9,16.44,2851.751592,3467,2546,4.356,3.7984,0.871992654,0.71559,,2.12,0.220798,21.7318082,0.096843976,3.590610294,0.096843976,-0.347728975,6.968109063,0.849657571,7.425177018,21.7318082,0.460284665,1,2839.551342,0.67487078,0.02885435,74,0.434091757
Bellavista,RGI2000-v7.0-G-11-03243,250,-0.983,0.783,0.58,0,1.11,1.47,46.78284,10.79138,24,435,1852,2395,3675,3.578074536,9.029249346,89.73548101,375.9041724,399.205892,699.4236633,0.008095141,-0.874619707,-0.874619707,-0.48480962,-0.48480962,340.2,15.3,2799,2657,3405,3.183,3.09,0.970782281,1.47,,1.649,1.177,19.65108953,0.233460283,0.173715605,0.233460283,-0.040555694,4.322730445,0.888791324,4.296645413,19.65108953,-0.30882815,1,2818.282572,0.968732381,0.207099457,64,0.207099457
Bishop,RGI2000-v7.0-G-15-08331,90,18.3,1.04,1.05,0,1.35,0.95,27.9735,86.9308,21,405,3750,4486,8317,3.179746189,5.462585812,92.07092416,845.3285524,715.2857717,1277.494468,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,303,23.56,7857.022222,7981,4879,18.546,26.35,1.420791545,,,0.087,0.476,15.88784819,0.322373653,1.987775146,0.322373653,-0.640806336,-1.275448508,0.746102713,-17.34913266,15.88784819,0.986735684,0,7888.399211,0.656817796,0.249933968,59,0.26772303
Camp2,RGI2000-v7.0-G-15-08331,150,14.103,1,0.628,1,1.21,0.66,27.981,86.9023,40,576,3686,4607,8292,1.095125037,10.65345455,102.3060144,848.1885654,763.6817028,1253.931466,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,303,23.56,6484.964856,7981,4879,18.546,26.35,1.420791545,2.088,,3.043,0.39,15.88784819,0.064023458,0.572861545,0.064023458,-0.036676577,-1.700984746,0.799470145,-3.96020899,15.88784819,0.760433517,0,6474.495041,0.265763891,-0.008255864,514,0.214520092
Chottashigri,RGI2000-v7.0-G-14-30579,260,4.913,1.31,1.146,1,2.13,0.6,32.228297,77.506293,49,296,2457,3015,5728,2.619026647,15.89368979,71.3046837,388.5689815,526.7470299,1152.371914,0.055946875,-0.777145961,-0.777145961,-0.629320391,-0.629320391,338.5,16.9,4870.749206,5752,4273,9.516,16.764,1.761664565,0.608,,4.76,0.281,23.38128363,0.294218433,2.10983667,0.294218433,-0.620752839,2.759963923,0.779397647,2.434010032,23.38128363,0.516288356,1,4860.738623,0.688228633,0.358631514,86,0.363666795
Djankuat,RGI2000-v7.0-G-12-00647,130,1.176,0.853,0.616,1,0.961,1.52,43.198,42.757,25,393,2052,3149,5094,5.119577144,7.779513695,97.11901055,437.8489401,558.5766797,731.4355554,0.016885024,0.069756474,0.069756474,0.99756405,0.99756405,329.3,25.05,2975.605096,3706,2689.7,3.152,2.989,0.948286802,1.217,,1.677,0.114,26.39893157,0.785670002,0.318737209,0.785670002,-0.250422263,7.929449059,0.680562497,6.961034439,26.39893157,0.373096447,1,2983.446262,0.915278185,0.895979828,231,0.895979828
Drangdrung,RGI2000-v7.0-G-14-26914,224,8.004,2.45,1,1,2.59,1.492,33.787596,76.333945,6,71,2255,2526,5812,4.203627113,1.972026594,14.48006249,400.4567333,453.8533852,737.4997491,0.05589956,-0.809016994,-0.809016994,-0.587785252,-0.587785252,3.49,13.9,4600.615873,6523,4079,24.737,68.36,2.763471723,1.492,,16.417,0.1642,26.75100507,0.216512108,2.673661393,0.216512108,-0.578880065,-0.881548621,0.703029922,5.53626202,26.75100507,0.323563892,1,4588.997081,0.887928085,0.908421895,98,0.908421895
Hinterisferner,RGI2000-v7.0-G-11-03116,300,4.255,1.231,0.639,1,1.76,0.92,46.79867,10.76042,23,346,1791,2262,3667,3.883671991,6.575945221,79.15113039,305.7873124,384.9585212,686.1367428,0.008095141,-0.874619707,-0.874619707,-0.48480962,-0.48480962,77,18.1,3026.504762,3694,2413,8.548,8.036,0.940102948,0.92,,4.228,0.703,19.65108953,0.065914992,0.589598102,0.065914992,-0.038863354,3.650380754,0.799547358,4.301217174,19.65108953,0.497777258,1,3024.118577,0.720438071,-0.021943803,121,0.069380367
Kalapathar,RGI2000-v7.0-G-15-06739,25,-0.56,0.796,0.689,1,1.19,0.577,27.96,86.81,80,481,2344,4173,8366,1.963648753,27.0692271,113.0598157,351.1586431,626.9383633,1282.556399,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,303,23.56,5103.400631,7981,4879,1.73,0.83,0.479768786,0.577,,15.195,0.436,15.88784819,1.035838739,0.459064865,1.035838739,-0.47551717,0.203002782,0.879217072,0.124403018,15.88784819,-0.323699422,1,5095.734896,0.873630733,-0.484062407,456,0.484062407
Lirung,RGI2000-v7.0-G-15-05739,303,1.792,0.922,0.383,1,1.18,0.361273,28.24,85.56,48,572,3807,4553,7567,0.959412022,14.43465881,135.8730585,759.5799753,719.927965,1564.966084,0.028148301,-0.224951054,-0.224951054,-0.974370065,-0.974370065,139,32.48,4275.60443,7216,3988,8.57,4.786,0.558459743,0.361273,,5.934,0.281,14.76221421,0.275408227,0.608764597,0.275408227,-0.167658778,2.891624137,0.837769605,8.090422218,14.76221421,0.209101517,1,4271.562606,0.922579164,-0.508837024,186,0.542416891
