glacier_name,Glacier_ID,lat,lon,mean_wind_obs,Down_glacier_direction,Distance from terminus,rel_distance_from_terminus,channel_width_100m_from_lowest_point,channel_width_balaji,relief_0.1,relief_1,relief_10,relief_100,stddev_0.1,stddev_1,stddev_10,stddev_100,Slope_100,Slope_10,Slope_1,rgi_slope,station_z,Z_max,Z_min,Z_mean,rel_Z,Z_range,Slope_mean,glacier_length,glacier_width,glacier_area,Distance from head,Distance from centerline,continentality,sensitivity,delay,A,B,mean_temp_era5,mean_wind_era5,mean_temp_obs,T_range_continentality,aspect_ratio_12,aspect_ratio_22,aspect_ratio_42,aspect_ratio_52,aspect_ratio_62,aspect_ratio_82
Arolla,RGI2000-v7.0-G-11-01247,45.97,7.52,3.382660743,166,2.005,0.460284665,1.06,0.71559,17,399,1862,4387,4.660710485,59.51679731,373.4526332,772.0637542,0.41171029,2.206858909,17.16338839,16.44,2851.751592,3467,2546,2839.551342,0.331977841,921,0.2083638,4.356,0.871992654,3.7984,2.12,0.220798,21.7318082,0.096843976,3.590610294,0.096843976,-0.347728975,6.968109063,0.849657571,7.425177018,21.7318082,0.557581856,2.602048659,6.130605514,0.083171645,0.521880732,1.07891915
Bellavista,RGI2000-v7.0-G-11-03243,46.78284,10.79138,3.578074536,250,-0.983,-0.30882815,0.783,1.47,24,435,1852,3675,9.029249346,89.73548101,375.9041724,699.4236633,0.395106418,1.398630858,10.61744308,15.3,2799,3405,2657,2818.282572,0.189839572,748,0.230810472,3.183,0.970782281,3.09,1.649,1.177,19.65108953,0.233460283,0.173715605,0.233460283,-0.040555694,4.322730445,0.888791324,4.296645413,19.65108953,0.295918367,1.259863946,2.5,0.061044545,0.255717124,0.47579841
Bishop,RGI2000-v7.0-G-15-08331,27.9735,86.9308,3.179746189,90,18.3,0.986735684,1.04,0.95,21,405,3750,8317,5.462585812,92.07092416,845.3285524,1277.494468,1.44930196,4.654520753,16.45326626,23.56,7857.022222,7981,4879,7888.399211,0.960032954,3102,0.165725711,18.546,1.420791545,26.35,0.087,0.476,15.88784819,0.322373653,1.987775146,0.322373653,-0.640806336,-1.275448508,0.746102713,-17.34913266,15.88784819,0.426315789,3.947368421,8.754736842,0.096916762,0.889819529,1.344731019
Camp2,RGI2000-v7.0-G-15-08331,27.981,86.9023,1.095125037,150,14.103,0.760433517,1,0.66,40,576,3686,8292,10.65345455,102.3060144,848.1885654,1253.931466,1.44930196,4.654520753,31.61642004,23.56,6484.964856,7981,4879,6474.495041,0.517719167,3102,0.165725711,18.546,1.420791545,26.35,3.043,0.39,15.88784819,0.064023458,0.572861545,0.064023458,-0.036676577,-1.700984746,0.799470145,-3.96020899,15.88784819,0.872727273,5.584848485,12.56363636,0.155009113,1.28513419,1.899896161
Chottashigri,RGI2000-v7.0-G-14-30579,32.228297,77.506293,2.619026647,260,4.913,0.516288356,1.31,0.6,49,296,2457,5728,15.89368979,71.3046837,388.5689815,1152.371914,1.450795909,1.685416686,2.473293827,16.9,4870.749206,5752,4273,4860.738623,0.404157678,1479,0.154188809,9.516,1.761664565,16.764,4.76,0.281,23.38128363,0.294218433,2.10983667,0.294218433,-0.620752839,2.759963923,0.779397647,2.434010032,23.38128363,0.493333333,4.095,9.546666667,0.11884114,0.647614969,1.920619857
Djankuat,RGI2000-v7.0-G-12-00647,43.198,42.757,5.119577144,130,1.176,0.373096447,0.853,1.52,25,393,2052,5094,7.779513695,97.11901055,437.8489401,731.4355554,0.320985271,1.572909865,9.680035148,25.05,2975.605096,3706,2689.7,2983.446262,0.281319587,1016.3,0.311905853,3.152,0.948286802,2.989,1.677,0.114,26.39893157,0.785670002,0.318737209,0.785670002,-0.250422263,7.929449059,0.680562497,6.961034439,26.39893157,0.258552632,1.35,3.351315789,0.063894086,0.288058513,0.481207602
Drangdrung,RGI2000-v7.0-G-14-26914,33.787596,76.333945,4.203627113,224,8.004,0.323563892,2.45,1.492,6,71,2255,5812,1.972026594,14.48006249,400.4567333,737.4997491,0.529374972,3.774514474,2.975257001,13.9,4600.615873,6523,4079,4588.997081,0.213427117,2444,0.098479769,24.737,2.763471723,68.36,16.417,0.1642,26.75100507,0.216512108,2.673661393,0.216512108,-0.578880065,-0.881548621,0.703029922,5.53626202,26.75100507,0.047587131,1.511394102,3.895442359,0.009705136,0.268402636,0.494302781
Hinterisferner,RGI2000-v7.0-G-11-03116,46.79867,10.76042,3.883671991,300,4.255,0.497777258,1.231,0.92,23,346,1791,3667,6.575945221,79.15113039,305.7873124,686.1367428,0.395106418,1.398630858,16.10912266,18.1,3026.504762,3694,2413,3024.118577,0.478926434,1281,0.14875265,8.548,0.940102948,8.036,4.228,0.703,19.65108953,0.065914992,0.589598102,0.065914992,-0.038863354,3.650380754,0.799547358,4.301217174,19.65108953,0.376086957,1.94673913,3.985869565,0.086033837,0.332377513,0.745800807
Kalapathar,RGI2000-v7.0-G-15-06739,27.96,86.81,1.963648753,25,-0.56,-0.323699422,0.796,0.577,80,481,2344,8366,27.0692271,113.0598157,351.1586431,1282.556399,1.44930196,4.585811176,10.05557068,23.56,5103.400631,7981,4879,5095.734896,0.072340629,3102,1.062057045,1.73,0.479768786,0.83,15.195,0.436,15.88784819,1.035838739,0.459064865,1.035838739,-0.47551717,0.203002782,0.879217072,0.124403018,15.88784819,0.833622184,4.062391681,14.49913345,0.195944221,0.608593836,2.222801385
Lirung,RGI2000-v7.0-G-15-05739,28.24,85.56,0.959412022,303,1.792,0.209101517,0.922,0.361273,48,572,3807,7567,14.43465881,135.8730585,759.5799753,1564.966084,1.040775233,7.651948034,12.93774602,32.48,4275.60443,7216,3988,4271.562606,0.089096787,3228,0.36022765,8.57,0.558459743,4.786,5.934,0.281,14.76221421,0.275408227,0.608764597,0.275408227,-0.167658778,2.891624137,0.837769605,8.090422218,14.76221421,1.583290199,10.53773739,20.94537926,0.376095248,2.102509668,4.331810249
Morimoto,RGI2000-v7.0-G-15-05844,28.25296,85.68152,1.992633634,132,1.807,0.388853023,0.706,0.209,51,358,2703,7491,12.92768347,90.90092999,495.5043496,1462.869521,1.040775233,2.061995722,9.66408485,22,4925,5914,4689,4919.709614,0.192653061,1225,0.257747363,4.647,0.296965784,1.38,2.84,0.2,16.47690275,0.71624641,0.565484117,0.71624641,-0.405025969,0.616511007,0.834955278,3.393518318,16.47690275,1.71291866,12.93301435,35.84210526,0.434932679,2.370834209,6.999375699
Mullwitzkeez,RGI2000-v7.0-G-11-03803,47.0839,12.3634,2.414707718,30,1.455,0.474559687,0.87,1.412,37,394,1968,3207,11.96332286,89.48093625,332.3447284,600.6888984,0.546792563,1.830786549,16.50711182,17.2,2976,3407,2644,2975.566272,0.435124509,763,0.243903973,3.066,0.98173516,3.01,2.166,1.238,19.38858914,0.095292606,-0.454598675,0.095292606,0.043319892,8.275978504,0.836426009,4.089488719,19.38858914,0.279036827,1.393767705,2.271246459,0.063371768,0.235371621,0.425417067
Place1,RGI2000-v7.0-G-02-07366,50.426073,-122.601628,2.966269777,160,0.913,0.238942685,1.25,0.922,6,178,2100,2824,2.325880956,37.77694243,489.790308,555.0690409,0.455155109,5.365607093,6.839641443,11.83,1970.368254,2560,1839,1951.20486,0.182202849,721,0.186501206,3.821,0.789060455,3.015,2.909,0.007,22.80287048,0.053731061,0.429346854,0.053731061,-0.023069262,11.22367064,0.767582614,4.724373731,22.80287048,0.193058568,2.277657267,3.062906725,0.040972823,0.531225931,0.602027159
Place2,RGI2000-v7.0-G-02-07366,50.421835,-122.598482,3.095600666,160,1.386,0.362732269,1.48,1.301,10,146,2091,2843,3.596873642,31.65912403,442.9990809,555.6863897,0.455155109,5.365607093,5.799643602,11.83,2024.669841,2560,1839,2011.009024,0.257517117,721,0.186501206,3.821,0.789060455,3.015,2.445,0.198,22.80287048,0.048874324,1.502945932,0.048874324,-0.073455466,11.07998458,0.74707373,4.4942866,22.80287048,0.112221368,1.607225211,2.185242121,0.024334454,0.340506596,0.427122513
