glacier_name,sensitivity,delay,mean_wind_obs,Slope_0.1,Slope_1,Slope_10,Slope_100,Slope_1000,,,,,,,,,,,,,
Arolla,0.096843976,3.590610294,3.382660743,,,,,,,,,,,,,,,,,,
Bellavista,0.233460283,0.173715605,3.578074536,,,,,,,,,,,,,,,,,,
Bishop,0.322373653,1.987775146,3.179746189,,,,,,,,,,,,,,,,,,
Camp2,0.064023458,0.572861545,1.095125037,,,,,,,,,,,,,,,,,,
Chottashigri,0.294218433,2.10983667,2.619026647,,,,,,,,,,,,,,,,,,
Djankuat,0.785670002,0.318737209,5.119577144,,,,,,,,,,,,,,,,,,
Drangdrung,0.216512108,2.673661393,4.203627113,,,,,,,,,,,,,,,,,,
Hinterisferner,0.065914992,0.589598102,3.883671991,,,,,,,,,,,,,,,,,,
Kalapathar,1.035838739,0.459064865,1.963648753,,,,,,,,,,,,,,,,,,
Lirung,0.275408227,0.608764597,0.959412022,,,,,,,,,,,,,,,,,,
Morimoto,0.71624641,0.565484117,1.992633634,,,,,,,,,,,,,,,,,,
Mullwitzkeez,0.095292606,-0.454598675,2.414707718,,,,,,,,,,,,,,,,,,
Place1,0.053731061,0.429346854,2.966269777,,,,,,,,,,,,,,,,,,
Place2,0.048874324,1.502945932,3.095600666,,,,,,,,,,,,,,,,,,
Place3,0.049350833,2.248676201,3.200515495,,,,,,,,,,,,,,,,,,
Place4,0.045018479,4.162930104,2.953414762,,,,,,,,,,,,,,,,,,
Pyramid,0.516872119,1.497276044,2.02148696,,,,,,,,,,,,,,,,,,
Satopanth,0.470810618,0.115647064,1.191695766,,,,,,,,,,,,,,,,,,
Schiaparelli,0.404703915,0.748637412,3.904934919,,,,,,,,,,,,,,,,,,
Southcol,0.079802943,-0.646924288,2.995516751,,,,,,,,,,,,,,,,,,
Trakarding,0.467588695,1.47500911,1.604359911,,,,,,,,,,,,,,,,,,
Weart1,0.057413349,4.788533654,3.451063662,,,,,,,,,,,,,,,,,,
Weart2,0.085393645,2.963515397,2.462002315,,,,,,,,,,,,,,,,,,
Yala,0.045668389,3.47234691,1.1066266,,,,,,,,,,,,,,,,,,
