glacier_name,Glacier_ID,Down_glacier_direction,Distance from terminus,channel_width_100m_from_lowest_point,channel_width_from_below,channel_width_Q,channel_width_100_above_station,channel_width_balaji,channel_width_at_station,lat,lon,relief_0.1,relief_1,relief_10,relief_20,relief_100,mean_wind_obs,stddev_0.1,stddev_1,stddev_10,stddev_20,stddev_100,Slope_120m,Slope_60m,Slope_1km,Slope_10km,Slope_1km_20p,aspect_eastness_0.1km,aspect_eastness_1km,aspect_northness_0.1km,aspect_northness_1km,rgi_aspect,rgi_slope,station_z,Z_max,Z_min,glacier_length,glacier_area,glacier_width,glacier_width_at_station,Unnamed: 40,Distance from head,Distance from centerline,continentality,sensitivity,delay,A,B,mean_temp_era5,mean_wind_era5,mean_temp_obs,T_range_continentality,rel_distance_from_terminus,localtime,Mean_elev,score,mean_along_valley%,data_length_days
Kennikot,RGI2000-v7.0-G-01-05740,344,5.496,,4.5,1.0,5.96,4.56,5.1,61.4841,-142.9283,4,50,1437,1773,4740,1.979871997,1.414213562,9.263435636,187.093511,384.1307008,784.2640494,0.012269396,0.012269396,0.012269396,0.012269396,0.012269396,-0.965925826,-0.965925826,0.258819045,0.258819045,154.0,13.4,657.0,4952,407.0,44.9,292.5,6.514476615,4.56,,39.1,0.226,25.346600153112888,0.214432603,0.724913982,0.214432603,-0.155445192,10.73390855,0.860905578,10.51313637,25.346600153112888,0.122405345,1,608.1140607,0.904240009,0.445243248,81
Drangdrung,RGI2000-v7.0-G-14-26914,224,8.004,2.45,1.0,1.0,2.59,1.492,1.492,33.787596,76.333945,6,71,2255,2526,5812,4.092971328,1.972026594,14.48006249,400.4567333,453.8533852,737.4997491,0.05589956,0.05589956,0.05589956,0.05589956,0.05589956,-0.809016994,-0.809016994,-0.587785252,-0.587785252,3.49,13.9,4600.615873,6523,4079.0,24.737,68.36,2.763471723,1.492,,16.417,0.1642,26.75100507018385,0.234262284,2.670430352,0.234262284,-0.625581114,-1.102686074,0.646858221,5.519183874,26.75100507018385,0.323563892,1,4588.997081,0.871413524,0.89286796,73
Otemma,RGI2000-v7.0-G-11-00859,55,1.407,0.853,,1.0,1.1,0.69,3.16,45.956,7.454,6,141,1853,2494,4402,3.701260965,1.876388375,22.46643272,328.3360498,442.4180886,776.2661185,0.008812765,0.008812765,0.008812765,0.008812765,0.008812765,-0.848048096,-0.848048096,-0.529919264,-0.529919264,286.0,15.0,2683.0,3759,2453.0,8.69,11.75,1.352128884,0.69,,6.1,0.028,21.747832882788828,-0.037994999,-2.473754506,-0.037994999,-0.093990301,7.372110866,0.831476184,5.625811404,21.747832882788828,0.161910242,1,2841.428934,0.294376819,0.606833563,20
Place1,RGI2000-v7.0-G-02-07366,160,0.913,1.25,1.65,1.0,1.3,0.922,0.922,50.426073,-122.601628,6,178,2100,2423,2824,2.911133039,2.325880956,37.77694243,489.790308,566.7144807,555.0690409,0.02160316,0.02160316,0.02160316,0.02160316,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,21.4,11.83,1970.368254,2560,1839.0,3.821,3.015,0.789060455,0.922,,2.909,0.007,22.802870484541074,0.049477401,0.292923833,0.049477401,-0.01449311,11.17071623,0.782819151,4.684449391,22.802870484541074,0.238942685,1,1951.20486,0.933128411,0.799753164,163
Place2,RGI2000-v7.0-G-02-07366,160,1.386,1.48,1.25,1.0,1.63,1.301,1.301,50.421835,-122.598482,10,146,2091,2498,2843,3.157743579,3.596873642,31.65912403,442.9990809,567.8371143,555.6863897,0.02160316,0.02160316,0.02160316,0.02160316,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,21.4,11.83,2024.669841,2560,1839.0,3.821,3.015,0.789060455,1.301,,2.445,0.198,22.802870484541074,0.049681702,1.155945657,0.049681702,-0.057429348,11.21482942,0.77730532,4.626022415,22.802870484541074,0.362732269,1,2011.009024,0.889829464,0.727558975,194
Schiaparelli,RGI2000-v7.0-G-17-15343,90,1.677,2.05,1.54,1.0,2.23,1.581,1.581,-54.4,-70.87,10,105,2178,2180,2293,3.935230194,2.869560071,18.40521817,403.5579852,383.2407779,266.6679765,0.012010698,0.012010698,0.012010698,0.012010698,0.012010698,0.48480962,0.48480962,-0.874619707,-0.874619707,343.0,13.85,196.5348101,1953,4.79,10.831,24.7903,2.288828363,1.581,,9.21,0.358567,6.911142260370241,0.429816919,0.728755046,0.429816919,-0.313231248,6.238995204,5.623810113,7.141714312,6.911142260370241,0.154833349,0,172.6333897,0.982085751,-0.144687189,446
Weart2,RGI2000-v7.0-G-02-07402,200,5.108,1.45,1.02,0.0,1.66,0.683,0.683,50.138823,-122.775232,11,225,1859,2518,2953,2.437741922,4.099457959,39.30963741,351.4318799,482.4784122,571.3954359,0.02160316,0.02160316,0.02160316,0.02160316,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,14.18,11.88,2298.203822,2759,1655.0,6.503,8.111,1.247270491,0.683,,1.479,0.072964,21.41901511310988,0.086409167,2.870331016,0.086409167,-0.248022913,9.153918228,0.621856123,4.799727636,21.41901511310988,0.785483623,1,2310.925466,0.731071885,0.503533285,50
Corbassiere,RGI2000-v7.0-G-11-00823,157,1.781,1.36,0.897,1.0,1.36,0.6,0.97,45.996315,7.291944,14,343,2933,3528,4501,3.27122807,4.196352583,58.05059551,577.0967863,618.5444656,761.7422994,0.008812765,0.008812765,0.008812765,0.008812765,0.008812765,-0.848048096,-0.867487719,-0.529919264,-0.529919264,353.0,17.8,2561.0,4267,2234.0,8.98,16.71,1.860801782,0.77,,7.349,0.018,21.747832882788828,-0.082603697,1.700561104,-0.082603697,0.140472634,8.966367557,0.866584073,7.074035088,21.747832882788828,0.198329621,1,2523.395769,0.792040314,0.496580457,20
Arolla,RGI2000-v7.0-G-11-01247,166,2.005,1.06,0.949,1.0,1.18,0.71559,0.71559,45.97,7.52,17,399,1862,3000,4387,3.445331439,4.660710485,59.51679731,373.4526332,475.9871962,772.0637542,0.008812765,0.008812765,0.008812765,0.008812765,0.008812765,-0.848048096,-0.848048096,-0.529919264,-0.529919264,9.0,16.44,2851.751592,3467,2546.0,4.356,3.7984,0.871992654,0.71559,,2.12,0.220798,21.73180820095928,0.095947857,3.250521616,0.095947857,-0.311880584,7.91964641,0.835159173,8.175686553,21.73180820095928,0.460284665,1,2839.551342,0.524290855,0.021437948,56
Place3,RGI2000-v7.0-G-02-07366,160,1.899,1.32,1.9,0.0,2.9,0.906,0.906,50.414718,-122.600217,17,401,2008,2534,2843,3.240983684,4.904646323,59.81428895,379.877652,580.9377072,556.3424806,0.02160316,0.02160316,0.02160316,0.02160316,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,21.4,11.83,2095.0,2560,1839.0,3.821,3.015,0.789060455,0.906,,2.027,0.421089,22.802870484541074,0.047025579,2.605090979,0.047025579,-0.122505911,11.45668143,0.783250518,5.095363471,22.802870484541074,0.496990317,1,2091.599605,0.912087469,0.627297985,207
