glacier_name,Glacier_ID,Down_glacier_direction,Distance from terminus,channel_width_100m_from_lowest_point,channel_width_from_below,channel_width_Q,channel_width_100_above_station,channel_width_balaji,lat,lon,relief,stddev,relief_0.1,relief_1,relief_10,relief_20,relief_100,mean_wind_obs,stddev_0.1,stddev_1,stddev_10,stddev_20,stddev_100,Slope_120m,aspect_eastness_0.1km,aspect_eastness_1km,aspect_northness_0.1km,aspect_northness_1km,aspect_1km_50p,rgi_aspect,rgi_slope,station_z,Z_max,Z_min,glacier_length,glacier_area,glacier_width,glacier_width_at_station,Unnamed: 40,Distance from head,Distance from centerline,continentality,sensitivity,delay,A,B,mean_temp_era5,mean_wind_era5,mean_temp_obs,T_range_continentality,rel_distance_from_terminus,localtime,Mean_elev,score,mean_along_valley%,data_length_days,mean_abs_along_valley%
Arolla,RGI2000-v7.0-G-11-01247,166,2.005,1.06,0.949,1.0,1.18,0.71559,45.97,7.52,2439.0,4.660710485,17,399,1862,3000,4387,3.3826607429347155,4.660710485,59.51679731,373.4526332,475.9871962,772.0637542,0.008812765,-0.848048096,-0.848048096,-0.529919264,-0.529919264,64.65217391,9.0,16.44,2851.751592,3467,2546.0,4.356,3.7984,0.871992654,0.71559,,2.12,0.220798,21.7318082,0.09684397554566837,3.5906102937655358,0.09684397554566837,-0.34772897548345466,6.968109063493581,0.8496575714813434,7.425177017771195,21.7318082,0.46028466483011937,1,2839.551342,0.6748707798166627,0.028854349948293695,74,0.43409175660525534
Balcony,RGI2000-v7.0-G-15-08331,257,0.5746,1.04,,,,1.1,27.9826,86.9292,,,66,885,3670,4501,8289,3.431175347222222,19.49715079,212.4977994,774.4512954,707.3358388,1253.944767,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,,303.0,23.5,8323.0,7981,4879.0,1.8546,26.35,14.20791545,1.1,,1.28,1.962,15.88784819,0.0977243376600641,-3.831280213974632,0.0977243376600641,0.37440932130077953,-1.7590301812644924,0.827996130055353,-16.584190277777775,15.88784819,0.30982422085624933,0,8358.942188,0.44836491851285665,0.21622819970854,120,0.21944068547897677
Bellavista,RGI2000-v7.0-G-11-03243,250,-0.983,0.783,0.58,0.0,1.11,1.47,46.78284,10.79138,,9.029249346,24,435,1852,2395,3675,3.5780745356591708,9.029249346,89.73548101,375.9041724,399.205892,699.4236633,0.008095141,-0.874619707,-0.874619707,-0.48480962,-0.48480962,,340.2,15.3,2799.0,2657,3405.0,3.183,3.09,0.970782281,1.47,,1.649,1.177,19.65108953,0.23346028257027335,0.17371560468817074,0.23346028257027335,-0.04055569415736624,4.322730445347921,0.8887913242502893,4.296645413084215,19.65108953,-0.3088281495444549,1,2818.282572,0.968732381127743,0.20709945657354176,64,0.20709945657354176
Bishop,RGI2000-v7.0-G-15-08331,90,18.3,1.04,1.05,0.0,1.35,0.95,27.9735,86.9308,2577.0,5.462585812,21,405,3750,4486,8317,3.179746188875901,5.462585812,92.07092416,845.3285524,715.2857717,1277.494468,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,204.2891156,303.0,23.56,7857.022222,7981,4879.0,18.546,26.35,1.420791545,,,0.087,0.476,15.88784819,0.322373653234706,1.987775145980594,0.322373653234706,-0.6408063356189151,-1.2754485081948141,0.746102713192004,-17.349132658776544,15.88784819,0.9867356842445811,0,7888.399211,0.6568177961829252,0.24993396767087958,59,0.2677230303541312
Camp2,RGI2000-v7.0-G-15-08331,150,14.103,1.0,0.628,1.0,1.21,0.66,27.981,86.9023,4507.0,10.65345455,40,576,3686,4607,8292,1.0951250372598382,10.65345455,102.3060144,848.1885654,763.6817028,1253.931466,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,222.462556,303.0,23.56,6484.964856,7981,4879.0,18.546,26.35,1.420791545,2.088,,3.043,0.39,15.88784819,0.06402345778284214,0.5728615452684955,0.06402345778284214,-0.03667657695891124,-1.700984745752943,0.7994701447863782,-3.9602089904317537,15.88784819,0.7604335166612747,0,6474.495041,0.2657638913746916,-0.008255863897164302,514,0.21452009167363997
Chottashigri,RGI2000-v7.0-G-14-30579,260,4.913,1.31,1.146,1.0,2.13,0.6,32.228297,77.506293,3010.0,15.89368979,49,296,2457,3015,5728,2.6190266472868218,15.89368979,71.3046837,388.5689815,526.7470299,1152.371914,0.055946875,-0.777145961,-0.777145961,-0.629320391,-0.629320391,98.26315789,338.5,16.9,4870.749206,5752,4273.0,9.516,16.764,1.761664565,0.608,,4.76,0.281,23.38128363,0.2942184329475558,2.1098366702003784,0.2942184329475558,-0.6207528388816445,2.759963923035833,0.779397646713786,2.4340100319197444,23.38128363,0.5162883564522909,1,4860.738623,0.688228633085473,0.3586315143499439,86,0.36366679526647855
Corbassiere,RGI2000-v7.0-G-11-00823,157,1.781,1.36,0.897,1.0,1.36,0.6,45.996315,7.291944,,4.196352583,14,343,2933,3528,4501,3.116063596491228,4.196352583,58.05059551,577.0967863,618.5444656,761.7422994,0.008812765,-0.848048096,-0.867487719,-0.529919264,-0.529919264,,353.0,17.8,2561.0,4267,2234.0,8.98,16.71,1.860801782,0.77,,7.349,0.018,21.74783288,-0.07761088090194534,0.2356673795406434,-0.07761088090194534,0.018290352926002427,7.717289169728908,0.8664141939077732,6.450986842105263,21.74783288,0.1983296213808463,1,2523.395769,0.7403609644488488,0.5562883587771811,38,0.5562883587771811
Djankuat,RGI2000-v7.0-G-12-00647,130,1.176,0.853,0.616,1.0,0.961,1.52,43.198,42.757,3119.0,7.779513695,25,393,2052,3149,5094,5.119577144106322,7.779513695,97.11901055,437.8489401,558.5766797,731.4355554,0.016885024,0.069756474,0.069756474,0.99756405,0.99756405,300.4006914,329.3,25.05,2975.605096,3706,2689.7,3.152,2.989,0.948286802,1.217,,1.677,0.114,26.39893157,0.7856700016213186,0.3187372088369406,0.7856700016213186,-0.2504222633836937,7.929449058824491,0.6805624966613251,6.961034438698095,26.39893157,0.37309644670050757,1,2983.446262,0.9152781846033397,0.8959798278739647,231,0.8959798278739647
Drangdrung,RGI2000-v7.0-G-14-26914,224,8.004,2.45,1.0,1.0,2.59,1.492,33.787596,76.333945,2577.0,1.972026594,6,71,2255,2526,5812,4.203627113029971,1.972026594,14.48006249,400.4567333,453.8533852,737.4997491,0.05589956,-0.809016994,-0.809016994,-0.587785252,-0.587785252,82.1715439,3.49,13.9,4600.615873,6523,4079.0,24.737,68.36,2.763471723,1.492,,16.417,0.1642,26.75100507,0.21651210812413796,2.673661392614334,0.21651210812413796,-0.5788800645250479,-0.8815486210632262,0.7030299216174262,5.536262020285087,26.75100507,0.3235638921453693,1,4588.997081,0.8879280849790111,0.9084218948628381,98,0.9084218948628381
Hinterisferner,RGI2000-v7.0-G-11-03116,300,4.255,1.231,0.639,1.0,1.76,0.92,46.79867,10.76042,2316.0,6.575945221,23,346,1791,2262,3667,3.8836719907407407,6.575945221,79.15113039,305.7873124,384.9585212,686.1367428,0.008095141,-0.874619707,-0.874619707,-0.48480962,-0.48480962,102.547605,77.0,18.1,3026.504762,3694,2413.0,8.548,8.036,0.940102948,0.92,,4.228,0.703,19.65108953,0.06591499155248201,0.5895981020998657,0.06591499155248201,-0.03886335391927208,3.650380754317354,0.799547358105208,4.301217174369747,19.65108953,0.4977772578380908,1,3024.118577,0.7204380705518356,-0.021943802772324925,121,0.06938036654700785
