glacier_name,Unnamed: 0.1,Unnamed: 0,CW2,Glacier_ID,Heightfromglacier,RGI6_ID,CW,lat,lon,mean_wind_obs,sensitivity,delay,Down_glacier_direction,channel_width_100m_from_lowest_point,relief_1km,relief_5km,relief_10km,stddev_1km,stddev_5km,stddev_10km,Slope_100m,Slope_1km,Slope_10km,rgi_slope,station_z,Z_max,Z_min,Z_mean_10km,rel_Z,Z_range,Slope_mean,glacier_length,glacier_width,glacier_area,rel_distancefromhead,Distance from head,rel_distancefromcenterline,Distance from centerline,continentality,A,B,mean_temp_era5,mean_wind_era5,mean_temp_obs,T_range_continentality,aspect_ratio_relief_1,aspect_ratio_relief_5,aspect_ratio_relief_10,aspect_ratio_stddev_1,aspect_ratio_stddev_5,aspect_ratio_stddev_10,Mean_elev,localtime,rel_heightfromglacier,score,mean_along_valley%,data_length_days,mean_abs_along_valley%
Arolla,0,0,0.811764933,RGI2000-v7.0-G-11-01247,0,RGI60-11.02810,0.6,45.97,7.52,3.3826607429347155,0.11941348839693007,2.292930984510822,166,1.06,792,1787,2549,143.604637,340.0649042,435.4417537,0.14307697,0.308851625,0.038536013,16.44,2851.751592,3467,2546.0,2867.154254,0.331977841,921.0,211.4325069,4.356,0.871992654,3.7984,0.486685032,2.12,0.2083,0.220798,21.7318082,0.11941348839693007,0.27380688751384447,7.356431653060753,0.8492455064111558,7.425177017771195,21.7318082,0.757575758,0.335758254,0.235386426,4.178138064,1.764369074,1.377911041,2925.216482,1,0.0,0.7191839613862193,0.028854349948293695,74,0.43409175660525534
Balcony,1,1,0.844485493,RGI2000-v7.0-G-15-08331,0,RGI60-15.09803,1.1,27.9826,86.9292,3.4194130848349373,0.07433952367275848,0.0,257,1.04,1274,3550,3985,315.3822113,750.5749662,738.8005589,0.64872719,0.498662496,0.08141589,303.0,8323.0,7981,4879.0,6060.837186,1.110251451,3102.0,1672.597865,1.8546,14.20791545,26.35,0.690175779,1.28,1.886538462,1.962,15.88784819,0.07433952367275848,0.0,-8.708959268201772,0.8281259848899136,-16.656336082509146,15.88784819,0.863422292,0.309859155,0.276035132,3.487831465,1.46554315,1.488899794,6738.802243,0,0.0,0.16899836239058796,0.21750077905114465,122,0.2205580707870268
Bellavista,2,2,0.72978728,RGI2000-v7.0-G-11-03243,0,RGI60-11.00957,1.47,46.78284,10.79138,3.5780745356591708,0.22496259535228816,0.0,250,0.783,689,1763,2306,138.4965892,333.5426433,391.7007571,0.384868647,0.187460033,0.024415563,15.3,2799.0,3405,2657.0,2762.041459,0.189839572,748.0,234.9984292,3.183,0.970782281,3.09,0.518064719,1.649,1.503192848,1.177,19.65108953,0.22496259535228816,0.0,4.058043695146572,0.8886245102828155,4.296645413084215,19.65108953,2.133526851,0.833806012,0.637467476,10.6139798,4.407232567,3.752864842,2741.489969,1,0.0,0.9171284596097788,0.20709945657354176,64,0.20709945657354176
Bishop,3,3,1.420791545,RGI2000-v7.0-G-15-08331,0,RGI60-15.09803,0.95,27.9735,86.9308,3.1797461888759013,0.27373745632552304,1.868399344783288,90,1.04,1275,3621,4070,249.4432273,828.9443605,754.3471499,0.248662725,0.295326484,0.08141589,23.56,7857.022222,7981,4879.0,6013.617281,0.960032954,3102.0,167.2597865,18.546,1.420791545,26.35,0.004691038,0.087,0.457692308,0.476,15.88784819,0.27373745632552304,0.5114508840412512,-6.500839037342657,0.746102713192004,-17.349132658776544,15.88784819,0.745098039,0.262358465,0.233415233,3.808481835,1.146035905,1.259367123,6618.731801,0,0.0,0.7035644570492382,0.24993396767087958,59,0.2677230303541312
Camp2,4,4,0.603018634,RGI2000-v7.0-G-15-08331,0,RGI60-15.03733,0.66,27.981,86.9023,1.1018327892423496,0.06331843035989047,0.7126311096059202,150,1.0,907,3623,4187,197.2866351,826.5748585,777.8484033,0.432096602,0.615599223,0.08141589,23.56,6484.964856,7981,4879.0,5978.858152,0.517719167,3102.0,167.2597865,18.546,1.420791545,26.35,0.164078507,3.043,0.39,0.39,15.88784819,0.06331843035989047,0.04512268328587394,-1.2626577601943267,0.8000096406630209,-3.9861125215053,15.88784819,0.727673649,0.182169473,0.157630762,3.345386268,0.798475774,0.848494382,6580.846193,0,0.0,0.2546839563562576,-0.007992019029514472,518,0.21261664065605132
Chottashigri,5,5,0.603018634,RGI2000-v7.0-G-14-30579,0,RGI60-14.15990,0.6,32.228297,77.506293,2.6190266472868218,0.29877239924532745,2.1717715350497127,260,1.31,527,2273,2911,115.418917,375.7736025,513.5438544,0.337601458,0.043193953,0.029424558,16.9,4870.749206,5752,4273.0,4812.054603,0.404157678,1479.0,155.4224464,9.516,1.761664565,16.764,0.500210172,4.76,0.214503817,0.281,23.38128363,0.29877239924532745,0.6488653921395104,3.828482635138034,0.779397646713786,2.4340100319197444,23.38128363,1.138519924,0.263968324,0.206114737,5.1984546,1.596706091,1.168352021,5091.910665,1,0.0,0.6855191090388408,0.3586315143499439,86,0.36366679526647855
Djankuat,6,6,0.976939108,RGI2000-v7.0-G-12-00647,0,RGI60-12.01132,1.52,43.198,42.757,5.119577144106322,0.7802766924443539,0.29206085044379343,130,0.853,767,1980,2750,160.9242971,415.7898429,516.0169962,0.293949651,0.170574518,0.027459354,25.05,2975.605096,3706,2689.7,3047.76972,0.281319587,1016.3,322.430203,3.152,0.948286802,2.989,0.532043147,1.677,0.133645955,0.114,26.39893157,0.7802766924443539,0.22788827437676826,8.708456716746152,0.6805624966613251,6.961034438698095,26.39893157,1.981747066,0.767676768,0.552727273,9.445435073,3.655692956,2.94563941,3168.417,1,0.0,0.9164745834230564,0.8959798278739647,231,0.8959798278739647
Drangdrung,7,7,1.554625734,RGI2000-v7.0-G-14-26914,0,RGI60-14.18948,1.0,33.787596,76.333945,4.203627113029971,0.2120193679529633,2.897877570741058,224,2.45,184,2184,2492,27.15183381,414.9222777,444.0073067,0.063974651,0.051974756,0.065973171,13.9,4600.615873,6523,4079.0,5030.794027,0.213427117,2444.0,98.79936937,24.737,2.763471723,68.36,0.663661721,16.417,0.067020408,0.1642,26.75100507,0.2120193679529633,0.6144061709535877,1.379461377170341,0.7030299216174262,5.536262020285087,26.75100507,5.434782609,0.457875458,0.401284109,36.8299249,2.410089922,2.252215189,5087.285722,1,0.0,0.8837497918339943,0.9084218948628381,98,0.9084218948628381
Hinterisferner,8,8,0.752835194,RGI2000-v7.0-G-11-03116,155,RGI60-11.00897,0.47,46.79867,10.76042,3.88572662037037,0.06413266643891932,0.0,300,1.231,611,1710,2075,144.1095082,284.7692366,360.130775,0.303383553,0.288807662,0.024415563,18.1,3026.504762,3694,2413.0,2770.20381,0.478926434,1281.0,149.8596163,8.548,0.940102948,8.036,0.494618624,4.228,0.571080422,0.703,19.65108953,0.06413266643891932,0.0,3.3834680082273336,0.7994281421710611,4.301975811157797,19.65108953,0.769230769,0.274853801,0.226506024,3.261408674,1.650459177,1.305081467,2953.495165,1,0.0746987951807229,0.7101561332406737,-0.021485927545570174,121,0.06983824177376262
Kalapathar,9,9,0.940018648459654,RGI2000-v7.0-G-15-08331,299,RGI60-15.03733,0.9,27.99,86.83,1.9635215935964903,1.0375588395217998,0.46416344850209945,25,1.36,568,2665,4480,110.3136415,441.5570944,679.7527753,0.511969373,0.145310308,0.08020885,23.56,5600.0,7981,4879.0,5734.527778,0.23243069,3102.0,167.2597865,18.546,1.420791545,26.35,0.647039793,12.0,0.547738693,1.302,15.88784819,1.0375588395217998,0.481596888976275,0.29167591255800496,0.8791463747200495,0.12165533493511345,15.88784819,1.584507042,0.337711069,0.200892857,8.158555803,2.038241513,1.324010777,5613.486507,1,0.0667410714285714,0.8729551984228205,-0.48396428442159944,457,0.48396428442159944
