glacier_name,CW2,Glacier_ID,Heightfromglacier,RGI6_ID,CW,lat,lon,mean_wind_obs,sensitivity,delay,Down_glacier_direction,channel_width_100m_from_lowest_point,relief_1km,relief_5km,relief_10km,stddev_1km,stddev_5km,stddev_10km,Slope_100m,Slope_1km,Slope_10km,rgi_slope,station_z,Z_max,Z_min,Z_mean_10km,rel_Z,Z_range,Slope_mean,glacier_length,glacier_width,glacier_area,rel_distancefromhead,Distance from head,rel_distancefromcenterline,Distance from centerline,continentality,A,B,mean_temp_era5,mean_wind_era5,mean_temp_obs,T_range_continentality,aspect_ratio_relief_1,aspect_ratio_relief_5,aspect_ratio_relief_10,aspect_ratio_stddev_1,aspect_ratio_stddev_5,aspect_ratio_stddev_10,Mean_elev,localtime,rel_heightfromglacier,score,mean_along_valley%,data_length_days,mean_abs_along_valley%
Arolla,0.811764933,RGI2000-v7.0-G-11-01247,0,RGI60-11.02810,0.6,45.97,7.52,3.382660743,0.119413488,2.292930985,166,1.06,792,1787,2549,143.604637,340.0649042,435.4417537,0.14307697,0.308851625,0.038536013,16.44,2851.751592,3467,2546,2867.154254,0.331977841,921,0.211432507,4.356,0.871992654,3.7984,0.486685032,2.12,0.2083,0.220798,21.7318082,0.119413488,0.273806888,7.356431653,0.849245506,7.425177018,21.7318082,0.757575758,0.335758254,0.235386426,4.178138064,1.764369074,1.377911041,2925.216482,1,0,0.719183961,0.02885435,74,0.434091757
Balcony,0.844485493,RGI2000-v7.0-G-15-08331,0,RGI60-15.09803,1.1,27.9826,86.9292,3.419413085,0.074339524,0,257,1.04,1274,3550,3985,315.3822113,750.5749662,738.8005589,0.64872719,0.498662496,0.08141589,303,8323,7981,4879,6060.837186,1.110251451,3102,1.672597865,1.8546,14.20791545,26.35,0.690175779,1.28,1.886538462,1.962,15.88784819,0.074339524,0,-8.708959268,0.828125985,-16.65633608,15.88784819,0.863422292,0.309859155,0.276035132,3.487831465,1.46554315,1.488899794,6738.802243,0,0,0.168998362,0.217500779,122,0.220558071
Bellavista,0.72978728,RGI2000-v7.0-G-11-03243,0,RGI60-11.00957,1.47,46.78284,10.79138,3.578074536,0.224962595,0,250,0.783,689,1763,2306,138.4965892,333.5426433,391.7007571,0.384868647,0.187460033,0.024415563,15.3,2799,3405,2657,2762.041459,0.189839572,748,0.234998429,3.183,0.970782281,3.09,0.518064719,1.649,1.503192848,1.177,19.65108953,0.224962595,0,4.058043695,0.88862451,4.296645413,19.65108953,2.133526851,0.833806012,0.637467476,10.6139798,4.407232567,3.752864842,2741.489969,1,0,0.91712846,0.207099457,64,0.207099457
Bishop,1.420791545,RGI2000-v7.0-G-15-08331,0,RGI60-15.09803,0.95,27.9735,86.9308,3.179746189,0.273737456,1.868399345,90,1.04,1275,3621,4070,249.4432273,828.9443605,754.3471499,0.248662725,0.295326484,0.08141589,23.56,7857.022222,7981,4879,6013.617281,0.960032954,3102,0.167259786,18.546,1.420791545,26.35,0.004691038,0.087,0.457692308,0.476,15.88784819,0.273737456,0.511450884,-6.500839037,0.746102713,-17.34913266,15.88784819,0.745098039,0.262358465,0.233415233,3.808481835,1.146035905,1.259367123,6618.731801,0,0,0.703564457,0.249933968,59,0.26772303
Camp2,0.603018634,RGI2000-v7.0-G-15-08331,0,RGI60-15.03733,0.66,27.981,86.9023,1.101832789,0.06331843,0.71263111,150,1,907,3623,4187,197.2866351,826.5748585,777.8484033,0.432096602,0.615599223,0.08141589,23.56,6484.964856,7981,4879,5978.858152,0.517719167,3102,0.167259786,18.546,1.420791545,26.35,0.164078507,3.043,0.39,0.39,15.88784819,0.06331843,0.045122683,-1.26265776,0.800009641,-3.986112522,15.88784819,0.727673649,0.182169473,0.157630762,3.345386268,0.798475774,0.848494382,6580.846193,0,0,0.254683956,-0.007992019,518,0.212616641
Chottashigri_BC,0.488,RGI2000-v7.0-G-14-30579,0,RGI60-14.15990,0.635,32.2858,77.5305,,,,327,1.31,674,2605,2972,118.528377,561.9584419,580.8637778,0.08091612,0.212815608,0.047721795,16.9,3844,5752,4273,4816.170163,-0.290060852,1479,0.155422446,9.516,1.761664565,16.764,1.304644809,12.415,0.023622047,0.015,23.38128363,,,,,,23.38128363,0.942136499,0.243761996,0.213660834,5.357366868,1.129976797,1.093199515,4697.274603,1,0,,,,
Chottashigri,0.603018634,RGI2000-v7.0-G-14-30579,0,RGI60-14.15990,0.6,32.228297,77.506293,2.619026647,0.298772399,2.171771535,260,1.31,527,2273,2911,115.418917,375.7736025,513.5438544,0.337601458,0.043193953,0.029424558,16.9,4870.749206,5752,4273,4812.054603,0.404157678,1479,0.155422446,9.516,1.761664565,16.764,0.500210172,4.76,0.214503817,0.281,23.38128363,0.298772399,0.648865392,3.828482635,0.779397647,2.434010032,23.38128363,1.138519924,0.263968324,0.206114737,5.1984546,1.596706091,1.168352021,5091.910665,1,0,0.685519109,0.358631514,86,0.363666795
Djankuat,0.976939108,RGI2000-v7.0-G-12-00647,0,RGI60-12.01132,1.52,43.198,42.757,5.119577144,0.780276692,0.29206085,130,0.853,767,1980,2750,160.9242971,415.7898429,516.0169962,0.293949651,0.170574518,0.027459354,25.05,2975.605096,3706,2689.7,3047.76972,0.281319587,1016.3,0.322430203,3.152,0.948286802,2.989,0.532043147,1.677,0.133645955,0.114,26.39893157,0.780276692,0.227888274,8.708456717,0.680562497,6.961034439,26.39893157,1.981747066,0.767676768,0.552727273,9.445435073,3.655692956,2.94563941,3168.417,1,0,0.916474583,0.895979828,231,0.895979828
Drangdrung,1.554625734,RGI2000-v7.0-G-14-26914,0,RGI60-14.18948,1,33.787596,76.333945,4.203627113,0.212019368,2.897877571,224,2.45,184,2184,2492,27.15183381,414.9222777,444.0073067,0.063974651,0.051974756,0.065973171,13.9,4600.615873,6523,4079,5030.794027,0.213427117,2444,0.098799369,24.737,2.763471723,68.36,0.663661721,16.417,0.067020408,0.1642,26.75100507,0.212019368,0.614406171,1.379461377,0.703029922,5.53626202,26.75100507,5.434782609,0.457875458,0.401284109,36.8299249,2.410089922,2.252215189,5087.285722,1,0,0.883749792,0.908421895,98,0.908421895
Hinterisferner,0.752835194,RGI2000-v7.0-G-11-03116,155,RGI60-11.00897,0.47,46.79867,10.76042,3.88572662,0.064132666,0,300,1.231,611,1710,2075,144.1095082,284.7692366,360.130775,0.303383553,0.288807662,0.024415563,18.1,3026.504762,3694,2413,2770.20381,0.478926434,1281,0.149859616,8.548,0.940102948,8.036,0.494618624,4.228,0.571080422,0.703,19.65108953,0.064132666,0,3.383468008,0.799428142,4.301975811,19.65108953,0.769230769,0.274853801,0.226506024,3.261408674,1.650459177,1.305081467,2953.495165,1,0.074698795,0.710156133,-0.021485928,121,0.069838242
