glacier_name,Glacier_ID,RGI6_ID,CW1,lat,lon,mean_wind_obs,sensitivity,delay,Down_glacier_direction,channel_width_100m_from_lowest_point,relief_1km,relief_5km,relief_10km,stddev_1km,stddev_5km,stddev_10km,Slope_100m,Slope_1km,Slope_10km,rgi_slope,station_z,Z_max,Z_min,Z_mean,rel_Z,Z_range,Slope_mean,glacier_length,glacier_width,glacier_area,rel_distancefromhead,Distance from head,rel_distancefromcenterline,Distance from centerline,continentality,A,B,mean_temp_era5,mean_wind_era5,mean_temp_obs,T_range_continentality,aspect_ratio_relief_1,aspect_ratio_relief_5,aspect_ratio_relief_10,aspect_ratio_stddev_1,aspect_ratio_stddev_5,aspect_ratio_stddev_10,data_length_days
Arolla,RGI2000-v7.0-G-11-01247,RGI60-11.02810,,45.97,7.52,3.382660743,0.096843976,3.590610294,166,1.06,792,1787,2549,143.604637,340.0649042,435.4417537,0.14307697,0.308851625,0.038536013,16.44,2851.751592,3467,2546.0,2867.154254,0.331977841,921.0,211.4325069,4.356,0.871992654,3.7984,0.486685032,2.12,0.2083,0.220798,21.7318082,0.096843976,-0.347728975,6.968109063,0.849657571,7.425177018,21.7318082,0.001338384,0.000593173,0.000415849,0.007381377,0.003117052,0.00243431,74
Balcony,RGI2000-v7.0-G-15-08331,RGI60-15.09803,,27.9826,86.9292,3.431175347,0.097724338,-3.831280214,257,1.04,1274,3550,3985,315.3822113,750.5749662,738.8005589,0.64872719,0.498662496,0.08141589,303.0,8323.0,7981,4879.0,6060.837186,1.110251451,3102.0,1672.597865,1.8546,14.20791545,26.35,0.690175779,1.28,1.886538462,1.962,15.88784819,0.097724338,0.374409321,-1.759030181,0.82799613,-16.58419028,15.88784819,0.000816327,0.000292958,0.000260979,0.003297586,0.001385604,0.001407687,120
Bellavista,RGI2000-v7.0-G-11-03243,RGI60-11.00957,,46.78284,10.79138,3.578074536,0.233460283,0.173715605,250,0.783,689,1763,2306,138.4965892,333.5426433,391.7007571,0.384868647,0.187460033,0.024415563,15.3,2799.0,3405,2657.0,2762.041459,0.189839572,748.0,234.9984292,3.183,0.970782281,3.09,0.518064719,1.649,1.503192848,1.177,19.65108953,0.233460283,-0.040555694,4.322730445,0.888791324,4.296645413,19.65108953,0.00113643,0.000444129,0.000339549,0.005653569,0.002347526,0.001998975,64
Bishop,RGI2000-v7.0-G-15-08331,RGI60-15.09803,,27.9735,86.9308,3.179746189,0.322373653,1.987775146,90,1.04,1275,3621,4070,249.4432273,828.9443605,754.3471499,0.248662725,0.295326484,0.08141589,23.56,7857.022222,7981,4879.0,6013.617281,0.960032954,3102.0,167.2597865,18.546,1.420791545,26.35,0.004691038,0.087,0.457692308,0.476,15.88784819,0.322373653,-0.640806336,-1.275448508,0.746102713,-17.34913266,15.88784819,0.000815686,0.000287213,0.000255528,0.004169285,0.001254608,0.001378676,59
Camp2,RGI2000-v7.0-G-15-08331,RGI60-15.03733,,27.981,86.9023,1.095125037,0.064023458,0.572861545,150,1.0,907,3623,4187,197.2866351,826.5748585,777.8484033,0.432096602,0.615599223,0.08141589,23.56,6484.964856,7981,4879.0,5978.858152,0.517719167,3102.0,167.2597865,18.546,1.420791545,26.35,0.164078507,3.043,0.39,0.39,15.88784819,0.064023458,-0.036676577,-1.700984746,0.799470145,-3.96020899,15.88784819,0.001102536,0.000276014,0.000238834,0.005068767,0.001209812,0.001285598,514
Chottashigri,RGI2000-v7.0-G-14-30579,RGI60-14.15990,,32.228297,77.506293,2.619026647,0.294218433,2.10983667,260,1.31,527,2273,2911,115.418917,375.7736025,513.5438544,0.337601458,0.043193953,0.029424558,16.9,4870.749206,5752,4273.0,4812.054603,0.404157678,1479.0,155.4224464,9.516,1.761664565,16.764,0.500210172,4.76,0.214503817,0.281,23.38128363,0.294218433,-0.620752839,2.759963923,0.779397647,2.434010032,23.38128363,0.002485769,0.000576331,0.000450017,0.011349959,0.003486142,0.002550902,86
Corbassiere,RGI2000-v7.0-G-11-00823,RGI60-11.02766,,45.996315,7.291944,3.116063596,-0.077610881,0.23566738,157,1.36,702,2380,3481,130.6560762,536.9318669,629.3243971,0.237118128,0.132794763,0.107456954,353.0,2561.0,4267,2234.0,2505.393393,0.16084604,2033.0,226.3919822,8.98,1.860801782,16.71,0.818374165,7.349,0.013235294,0.018,21.74783288,-0.077610881,0.018290353,7.71728917,0.866414194,6.450986842,21.74783288,0.001937322,0.000571429,0.000390692,0.010409007,0.00253291,0.002161048,38
Djankuat,RGI2000-v7.0-G-12-00647,RGI60-12.01132,,43.198,42.757,5.119577144,0.785670002,0.318737209,130,0.853,767,1980,2750,160.9242971,415.7898429,516.0169962,0.293949651,0.170574518,0.027459354,25.05,2975.605096,3706,2689.7,3047.76972,0.281319587,1016.3,322.430203,3.152,0.948286802,2.989,0.532043147,1.677,0.133645955,0.114,26.39893157,0.785670002,-0.250422263,7.929449059,0.680562497,6.961034439,26.39893157,0.001112125,0.000430808,0.000310182,0.005300629,0.002051517,0.001653046,231
Drangdrung,RGI2000-v7.0-G-14-26914,RGI60-14.18948,,33.787596,76.333945,4.203627113,0.216512108,2.673661393,224,2.45,184,2184,2492,27.15183381,414.9222777,444.0073067,0.063974651,0.051974756,0.065973171,13.9,4600.615873,6523,4079.0,5030.794027,0.213427117,2444.0,98.79936937,24.737,2.763471723,68.36,0.663661721,16.417,0.067020408,0.1642,26.75100507,0.216512108,-0.578880065,-0.881548621,0.703029922,5.53626202,26.75100507,0.013315217,0.001121795,0.000983146,0.090233316,0.00590472,0.005517927,98
Hinterisferner,RGI2000-v7.0-G-11-03116,RGI60-11.00897,,46.79867,10.76042,3.883671991,0.065914992,0.589598102,300,1.231,611,1710,2075,144.1095082,284.7692366,360.130775,0.303383553,0.288807662,0.024415563,18.1,3026.504762,3694,2413.0,2770.20381,0.478926434,1281.0,149.8596163,8.548,0.940102948,8.036,0.494618624,4.228,0.571080422,0.703,19.65108953,0.065914992,-0.038863354,3.650380754,0.799547358,4.301217174,19.65108953,0.00201473,0.000719883,0.000593253,0.008542115,0.004322798,0.003418203,121
Kalapathar,RGI2000-v7.0-G-15-06739,RGI60-15.03740,,27.96,86.81,1.963648753,1.035838739,0.459064865,25,0.796,615,2113,3790,132.6398477,319.0738635,598.3636061,0.862444527,0.177327198,0.08020885,23.56,5103.400631,7981,4879.0,5427.586169,0.072340629,3102.0,1793.063584,1.73,0.479768786,0.83,8.783236994,15.195,0.547738693,0.436,15.88784819,1.035838739,-0.47551717,0.203002782,0.879217072,0.124403018,15.88784819,0.001294309,0.000376716,0.000210026,0.006001213,0.00249472,0.001330295,456
Kennikot,RGI2000-v7.0-G-01-05740,RGI60-01.15645,,61.4841,-142.9283,1.97295637,0.210211176,0.735278249,344,5.37,115,1417,1757,21.74873433,238.704831,385.368382,0.011215411,0.03950388,0.035434792,154.0,657.0,4952,407.0,950.1544304,0.055005501,4545.0,101.2249443,44.9,6.514476615,292.5,0.870824053,39.1,0.042085661,0.226,25.34660015,0.210211176,-0.154563706,10.65136467,0.862315515,10.47169569,25.34660015,0.046695652,0.003789697,0.003056346,0.24691092,0.022496403,0.013934719,82
Langenferner,RGI2000-v7.0-G-11-02875,RGI60-11.01776,,46.47245,10.61391,3.366824183,-0.072875258,0.00664507,250,1.0,606,1948,2268,140.9387489,317.7343381,393.3644593,0.381738864,0.180550081,0.04542547,32.0,2954.449045,3399,2671.0,2764.43149,0.389353084,728.0,248.125426,2.934,0.737184731,2.1629,0.604976142,1.775,0.253101,0.253101,19.23615778,-0.072875258,0.000484261,6.865833088,0.761402664,4.02677604,19.23615778,0.001650165,0.000513347,0.000440917,0.007095281,0.003147283,0.002542172,332
Lirung,RGI2000-v7.0-G-15-05739,RGI60-15.04045,,28.24,85.56,0.959412022,0.275408227,0.608764597,303,0.922,1057,3719,4134,220.995139,796.7163421,694.6825339,0.300999996,0.229724028,0.134351405,32.48,4275.60443,7216,3988.0,4887.102571,0.089096787,3228.0,376.6627771,8.57,0.558459743,4.786,0.692415403,5.934,0.304772234,0.281,14.76221421,0.275408227,-0.167658778,2.891624137,0.837769605,8.090422218,14.76221421,0.00087228,0.000247916,0.000223029,0.004172037,0.00115725,0.001327225,186
Morimoto,RGI2000-v7.0-G-15-05844,RGI60-15.04036,,28.25296,85.68152,1.992633634,0.71624641,0.565484117,132,0.706,719,2400,2985,136.9221394,432.5900742,519.0526809,0.367858957,0.170288047,0.03600416,22.0,4925.0,5914,4689.0,5250.147881,0.192653061,1225.0,263.6109318,4.647,0.296965784,1.38,0.611146977,2.84,0.283286119,0.2,16.47690275,0.71624641,-0.405025969,0.616511007,0.834955278,3.393518318,16.47690275,0.000981919,0.000294167,0.000236516,0.005156215,0.00163203,0.00136017,365
Mullwitzkeez,RGI2000-v7.0-G-11-03803,RGI60-11.00190,,47.0839,12.3634,2.414707718,0.095292606,-0.454598675,30,0.87,653,1693,2478,146.8767885,303.7318384,447.8209586,0.419805153,0.296348516,0.031964132,17.2,2976.0,3407,2644.0,2498.051093,0.435124509,763.0,248.8584475,3.066,0.98173516,3.01,0.706457926,2.166,1.422988506,1.238,19.38858914,0.095292606,0.043319892,8.275978504,0.836426009,4.089488719,19.38858914,0.001332312,0.000513881,0.00035109,0.005923332,0.002864369,0.001942741,50
Otemma,RGI2000-v7.0-G-11-00859,RGI60-11.02801,,45.956,7.454,3.457112034,0.007839462,20.83733829,55,0.853,560,1614,2408,93.882929,295.0654805,429.2247339,0.0833564,0.078782412,0.038536013,286.0,2683.0,3759,2453.0,2791.816237,0.17611026,1306.0,150.287687,8.69,1.352128884,11.75,0.701956272,6.1,0.032825322,0.028,21.74783288,0.007839462,-0.16335353,6.128819035,0.872155798,5.022859,21.74783288,0.001523214,0.000528501,0.000354236,0.009085784,0.002890884,0.001987304,38
Place1,RGI2000-v7.0-G-02-07366,RGI60-02.01104,,50.426073,-122.601628,2.966269777,0.053731061,0.429346854,160,1.25,586,1937,2412,120.7878241,397.9409232,556.8838212,0.111811995,0.11994455,0.093922232,11.83,1970.368254,2560,1839.0,1471.968149,0.182202849,721.0,188.6940591,3.821,0.789060455,3.015,0.761319026,2.909,0.0056,0.007,22.80287048,0.053731061,-0.023069262,11.22367064,0.767582614,4.724373731,22.80287048,0.002133106,0.000645328,0.000518242,0.010348725,0.00314117,0.002244633,206
