,Estimator,RMSE,RMSE_era
0,1h,1.7349826275041533,2.894914632637717
1,6h,1.4867041387799194,2.7625060814784823
2,24h,1.099044228509327,2.615192942919971
3,48h,0.9162517890002706,2.5641067657386527
4,72h,0.8260899722686453,2.538900153887502
5,96h,0.7693610242823695,2.525268127332169
6,120h,0.7220097722599931,2.5128457223768996
7,144h,0.6891431073005625,2.5058677403706873
8,168h,0.6649352633782376,2.503002613657828
9,192h,0.6424798617232961,2.499852785081694
10,216h,0.6229367896890111,2.4991768241663523
11,240h,0.6065053035361899,2.501565870006976
12,1h,2.6992437872395127,3.6784552663326364
13,6h,2.3587768170009547,3.4353714970373073
14,24h,1.890157352925045,3.1430222903623313
15,48h,1.653032821710185,3.0059212811443388
16,72h,1.5094927081007026,2.932804960242751
17,96h,1.418575345381031,2.8924834031803974
18,120h,1.349710939489168,2.864257239269161
19,144h,1.2924530329627113,2.8409308620091633
20,168h,1.2425162343914775,2.818423996806599
21,192h,1.198610984511257,2.800781519989712
22,216h,1.1595621976258468,2.7866495469716104
23,240h,1.1206983592506023,2.7728740512656485
24,1h,2.2958182094500685,3.153831684312995
25,6h,2.1096649200673534,3.017428030100812
26,24h,1.8094688392866816,2.8212180936967157
27,48h,1.667215489305396,2.7333712677801514
28,72h,1.5972374829806242,2.6965083967277446
29,96h,1.5537188534489204,2.6754400953718993
30,120h,1.5146919233595222,2.667190449979651
31,144h,1.4686148079776582,2.656963111686674
32,168h,1.4283890229628236,2.647738358136545
33,192h,1.395016725830308,2.640899782364745
34,216h,1.3617592548140016,2.636454103095555
35,240h,1.3322688007971326,2.6358627938190824
36,1h,4.740331410581393,5.032333362892517
37,6h,4.584532688847569,4.888895436607284
38,24h,4.352225169898097,4.688329339373135
39,48h,4.238712421397925,4.586498070888836
40,72h,4.1343876004800295,4.494979442826841
41,96h,4.043136805376463,4.4176931144172675
42,120h,3.9755747797345533,4.368959542065727
43,144h,3.9152279132279153,4.333100028073761
44,168h,3.8597505028842622,4.303840082596224
45,192h,3.8055745451958174,4.2784952985319915
46,216h,3.754365487032372,4.257428781566394
47,240h,3.7081405063673394,4.233726142944924
48,1h,1.3394147809730255,1.098913972387431
49,6h,1.18866804131722,0.9529549583823617
50,24h,1.0121638166171973,0.7881083926971612
51,48h,0.9553669698272118,0.7108459542064064
52,72h,0.909615436294885,0.6494072216751368
53,96h,0.875718006167601,0.6038516820085744
54,120h,0.8507324866538942,0.5702448116649187
55,144h,0.8331137032509254,0.54418501050808
56,168h,0.8192610730738209,0.5215262707876359
57,192h,0.8071812522133797,0.5026236942882685
58,216h,0.7952623310267276,0.48623038388871515
59,240h,0.7827101404580894,0.46987086376644777
60,1h,2.997516598893426,3.3347786008968
61,6h,1.453369959376355,2.022100818820576
62,24h,0.4881774136229678,1.5859034174898698
63,48h,0.44563314188622416,1.5791826314135982
64,72h,0.4231200330109421,1.5766652843893225
65,96h,0.40626234851628834,1.5722112323902588
66,120h,0.39461927197699553,1.5693904897582702
67,144h,0.3860006096928733,1.568591797738909
68,168h,0.3791049899926762,1.5675604653087842
