datetime,temp,ws,wdir,katabaticity,ws_model,wdir_model,temp_model,dewpoint_temp,pressure,lapse_rate,u_x,u_y,D_x,D_y,along_valley_component_of_wind,along_valley%
0,4.921397637795276,1.1873818897637793,238.5295275590551,0.05452581703374649,0.5357463792720367,189.44589458310497,5.770664587303879,273.9549276847539,58092.1012933686,-0.004639938718247736,-0.17597109604421743,0.5295403918815786,0.0,-1.0,-0.6915334680612903,-0.23470664510760098
1,5.514084645669292,1.1914074803149606,237.50590551181102,0.04849585252895936,0.5276332407953349,183.79437166192585,6.377194769924516,274.16659685570426,58114.022007258856,-0.004592813569818942,-0.158099911893631,0.5194247666575237,0.0,-1.0,-0.6748536610281893,-0.23622533737925486
2,6.946263520157326,1.54015732546706,206.42969518190756,-0.29975102964476175,0.5805327115717571,183.80056832991247,7.589874043523988,274.3172704946092,58124.09265148722,-0.004533785687302256,-0.2708748338499861,1.1455478532557548,0.0,-1.0,-1.3468464355619685,-0.5281465862991014
3,7.882055063913471,2.4893608652900685,194.5486725663717,-0.5693255778455528,0.8636499188811192,188.13992280382294,8.398344125417067,274.64115676204716,58144.43481517331,-0.004420411497974843,-0.2986667772262876,2.1919793161957855,0.0,-1.0,-2.32212808809491,-0.6625042840301325
4,8.441189773844641,3.4423500491642085,191.19272369714847,-0.6124566852048484,1.0645239516539746,190.68474098290935,8.883972170542718,275.25197893140825,58159.093623248526,-0.004323875593350283,-0.3205418978567004,3.0903383983644694,0.0,-1.0,-3.187499139083839,-0.6631525850439463
5,8.654660766961653,4.159095378564405,188.26352015732547,-0.5882231559057969,1.1995150976637041,195.74355346653704,9.1358455877704,275.9717322755587,58157.05385017207,-0.00423020789532595,-0.3907053400962384,3.8073482653374273,0.0,-1.0,-3.8915308400484054,-0.6233396477951714
6,8.678584070796461,4.584336283185841,196.1622418879056,-0.5735551584024539,1.2819948743355336,199.01423931440166,9.310929033522594,276.6785361290916,58136.668756145526,-0.004116527391657937,-0.3394660723613698,4.182194202258362,0.0,-1.0,-4.266089773015802,-0.6051209589722122
7,8.668800393313667,4.715988200589971,191.83579154375616,-0.5957664756229967,1.3343511279263325,201.91865484524496,9.303511935546364,277.11054925159016,58117.162057522124,-0.004035969338910846,-0.2497655901679476,4.334746602517397,0.0,-1.0,-4.417271838437067,-0.6261467993072022
8,8.739164208456243,4.723510324483776,176.26155358898723,-0.7552488771088838,1.308868713100129,204.44918995374738,9.392805659643836,277.5800491077944,58080.662545323255,-0.0039706812851587935,-0.2855607620088392,4.538313932319777,0.0,-1.0,-4.638658561979109,-0.794058400019834
9,8.570137659783677,4.794867256637168,181.3913470993117,-0.8929641343700383,1.243510289635511,207.57245855113675,9.33138695540118,277.71188725084215,58043.180156096365,-0.003959744518454615,-0.319677127658266,4.72250812532493,0.0,-1.0,-4.836647294517073,-0.9387155333880453
10,8.246178781925344,4.786601178781925,180.2239685658153,-0.9057775135392933,1.1469072437242298,208.93043505246587,9.146406484728983,277.59475980807383,58018.73657754175,-0.004007476655424541,-0.43735483310472745,4.72841933345572,0.0,-1.0,-4.881877161722032,-0.9676283050537531
11,8.039538310412574,4.508339882121807,178.94106090373282,-0.8959407309364373,1.0251948561189592,210.46702496168135,8.821590913649887,277.30356461500605,58010.15954997544,-0.004079299245033351,-0.5677690215176178,4.4233423740438615,0.0,-1.0,-4.571535570331625,-0.9594595574551199
12,7.817161100196463,4.009400785854617,183.75343811394893,-0.8312984626894366,0.8775350844552545,212.79176161319896,8.301960552984122,276.8989332157877,58034.45230384332,-0.004154757738720991,-0.5770118461368963,3.905662910783677,0.0,-1.0,-4.1502764542565584,-0.9459935647367919
13,7.600117762512268,3.5016683022571145,186.648675171737,-0.7823105592932805,0.7305763820815898,211.6251009533029,7.745486498992805,276.5818662484331,58079.850232304954,-0.004229527182798099,-0.4982004793669815,3.392935853097468,0.0,-1.0,-3.6586260680490157,-0.9218777353649237
14,7.3612463199214915,3.152188420019627,193.73012757605497,-0.6944284646443292,0.6509902800976246,207.25776001445294,7.393857254266109,276.35652942301834,58138.72077404318,-0.004303433598511296,-0.43215009039438623,3.034301479091232,0.0,-1.0,-3.397750777136226,-0.8973874785412873
