datetime,Unnamed: 0.1,Unnamed: 0_x,temp,ws,wdir,katabaticity,Unnamed: 0_y,ws_model,wdir_model,temp_model,dewpoint_temp,pressure,lapse_rate,temp_era5_uncorrected,u_x,u_y,D_x,D_y,along_valley_component_of_wind,along_valley%
0,14499.866822429907,14499.866822429907,0.2560124610443925,1.125531619932243,146.23543396879674,0.423056967243294,5691.865882352941,0.6318542897849462,108.01226931415714,0.3697703392069545,274.4033813117532,55957.38586397059,-0.004626087655015729,1.8630880557789748,-0.3262264635116604,-0.43868102585642993,-0.5877852522924731,-0.8090169943749473,0.5466515091873702,0.4542660767400853
1,14529.275294117648,14529.275294117648,0.11707411764235293,1.0858524313717648,148.51487864701647,0.42082235527019224,5713.800947867298,0.6591437696942885,110.07304353081697,0.23096024780419283,274.16864259548095,55928.857569979264,-0.004642484121922226,1.7295708028061358,-0.3003564772093156,-0.4513121540112889,-0.5877852522924731,-0.8090169943749475,0.5429418202625761,0.4594379260839127
2,14407.911270983213,14407.911270983213,-0.015555555563549152,1.090006434853717,133.68755190740288,0.4654572697475999,5667.782608695652,0.6738915290854175,99.77227369202609,0.13867038534363949,273.9485162191345,55903.774371603264,-0.004662800460841154,1.6438391275452182,-0.3866413199279578,-0.4265219381400275,-0.5877852522924731,-0.8090169943749475,0.5723255622095718,0.48803736695892447
3,14292.560975609756,14292.560975609756,-0.0970296748,1.0839048780292682,129.96284000792926,0.5229558122894913,5621.842751842752,0.7124358462714889,87.42196792230817,0.006679803720499378,273.7126402983794,55876.480439957006,-0.0046862386370017705,1.5194144734000918,-0.44520098464436414,-0.48023761949933225,-0.5877852522924731,-0.8090169943749476,0.6502029685931744,0.547489999842312
4,14346.786069651742,14346.786069651742,-0.14109867330099501,1.1264267412860696,130.89805763039305,0.5205400134406915,5646.578947368421,0.7346803798216219,75.21836075526349,-0.10807612726686164,273.49094293350566,55871.10056390977,-0.0047101428508282955,1.4123749085237736,-0.45489172187422444,-0.4839614197660506,-0.5877852522924731,-0.8090169943749475,0.6589116587201611,0.5364656432808425
5,14282.74111675127,14282.74111675127,-0.1951882402994924,1.1248469966167514,123.05561909936802,0.5808801694707687,5623.408163265306,0.7708166247931956,62.76429277606455,-0.23340490911098413,273.23516853488223,55883.067303093114,-0.004742580880841096,1.2975172393176249,-0.4803227952126603,-0.5834695759266403,-0.5877852522924731,-0.8090169943749475,0.7543634579912951,0.60912212341071
6,14145.6547314578,14145.6547314578,-0.12496547313810742,1.1205355925063938,108.72092461200768,0.6581135705280077,5573.935732647815,0.6913593210662807,64.63201219864207,0.29704442410541876,273.55175483134843,55926.0608531491,-0.004733241101712344,1.8249516582734402,-0.5804592544930886,-0.579850952343489,-0.5877852522924731,-0.8090169943749475,0.8102946639981013,0.6616459033884589
7,14044.245614035088,14044.245614035088,0.4166553884661654,1.0720615705889724,102.62925845523309,0.6644464903767948,5529.556675062972,0.4849288325626432,134.69087024151335,1.5075611514563472,274.0274173534787,55965.12099535579,-0.004673098736300492,3.0160542139779034,-0.5763114655329121,-0.5527321875828337,-0.5877852522924731,-0.8090169943749475,0.7859171132598615,0.6681008460743636
8,14261.867881548975,14261.867881548975,1.326738420665148,0.9570561123895216,110.66057730555353,0.5946224636162902,5612.848970251716,0.7576331205741583,188.46822100366666,2.3212444757063717,274.521572785192,55998.1541583238,-0.004521796756086398,3.780896715386804,-0.48475339635723363,-0.41079054096232803,-0.5877852522924731,-0.8090169943749475,0.617267426144471,0.5819423765701689
9,14454.242222222223,14454.242222222223,2.116547407413333,0.8128312592511111,134.00723090877284,0.48868584683845717,5691.035714285715,0.9882310062963233,198.61067859487548,2.740738926651701,275.3270951339177,56026.088771275114,-0.004383140476063092,4.155632420948597,-0.3145512966823309,-0.2933676353428773,-0.5877852522924731,-0.8090169943749475,0.42317048912104144,0.49459271393677096
