,datetime,Unnamed: 0.1,Unnamed: 0,temp,ws,wdir,katabaticity,ws_model,wdir_model,temp_model
0,0,3246.571429,3246.571429,-16.6202381,5.953508772,184.4871622,0.023387555,0.785812281,202.3128221,-3.66712779
1,1,3247.571429,3247.571429,-16.0202381,6.234166667,184.2856164,0.085015249,0.771193095,199.9641483,-3.684221783
2,2,3248.571429,3248.571429,-15.69702381,6.37,184.5349315,0.088377244,0.766598896,202.1354982,-3.7564834
3,3,3249.571429,3249.571429,-16.36369048,5.931355932,189.7625,0.103107868,0.754399474,203.6082493,-3.917415949
4,4,3250.571429,3250.571429,-16.9797619,6.58362069,188.8443662,0.119080746,0.747359882,205.8448,-4.202041517
5,5,3251.571429,3251.571429,-17.76309524,5.804310345,189.5878571,0.082599729,0.753865777,204.400887,-4.5710664
6,6,3252.571429,3252.571429,-18.59285714,5.848245614,201.7908451,0.204320783,0.771726883,203.2280911,-4.990120001
7,7,3253.571429,3253.571429,-19.31369048,6.003636364,195.7246479,0.154725507,0.770134511,204.3181583,-4.987823237
8,8,3254.571429,3254.571429,-19.57142857,6.156481481,183.621831,0.097624408,0.77201377,202.9768566,-5.439726479
9,9,3255.571429,3255.571429,-19.75119048,5.669444444,182.1049296,0.072133168,0.776455845,202.9739967,-5.663527349
10,10,3256.571429,3256.571429,-19.96071429,5.69,183.955,0.067578843,0.774832736,203.231322,-5.741507355
11,11,3257.571429,3257.571429,-19.99464286,5.969811321,183.6371429,0.060810909,0.768403835,205.1452136,-5.7883569
12,12,3258.571429,3258.571429,-20.0577381,5.965384615,187.1683099,0.021172596,0.758732839,205.4564808,-5.785159375
13,13,3259.571429,3259.571429,-19.8327381,6.285294118,175.6866197,0.025920647,0.744976563,206.2624848,-5.759124928
14,14,3260.571429,3260.571429,-19.25833333,6.01,189.4414286,0.134519735,0.735597799,207.28087,-5.695303883
15,15,3261.571429,3261.571429,-18.45297619,6.183018868,181.625,0.062336371,0.731636977,208.8249953,-5.539872302
16,16,3262.571429,3262.571429,-17.95416667,5.556363636,186.4907143,0.076955267,0.72552393,208.3578388,-5.291660463
17,17,3263.571429,3263.571429,-17.10952381,5.084545455,189.5107143,0.136722072,0.737782596,201.4109025,-5.000342405
18,18,3264.571429,3264.571429,-16.07142857,4.912962963,179.5098592,0.099611389,0.761596522,196.6134369,-4.719174957
19,19,3198.566265,3198.566265,-15.83855422,5.66372549,191.1085714,0.052878799,0.78277213,194.1529683,-4.357441103
20,20,3199.566265,3199.566265,-15.00120482,5.898039216,188.2507042,0.109022321,0.771757142,193.4723745,-4.198603226
21,21,3200.566265,3200.566265,-14.66204819,5.975,182.1070423,0.055373608,0.780345808,194.7782833,-4.051445777
22,22,3201.566265,3201.566265,-15.32951807,5.550943396,177.8105634,0.072312192,0.785938557,195.2602255,-3.86633311
23,23,3202.566265,3202.566265,-16.69457831,5.526923077,166.6225352,-0.096347175,0.794948819,195.8008139,-3.740154597
24,24,3246.571429,3246.571429,-16.6202381,5.953508772,184.4871622,0.023387555,0.785812281,202.3128221,-3.66712779
25,25,3247.571429,3247.571429,-16.0202381,6.234166667,184.2856164,0.085015249,0.771193095,199.9641483,-3.684221783
