,datetime,Unnamed: 0.1,Unnamed: 0,temp,ws,wdir,katabaticity,ws_model,wdir_model,temp_model
0,0,666.1538462,666.1538462,6.671153846,3.284615385,141.5380787,0.723628403,0.563493649,194.4099926,4.393887408
1,1,667.1538462,667.1538462,6.486538462,3.3375,159.4741623,0.692611804,0.576486703,184.097588,3.872019444
2,2,668.1538462,668.1538462,6.502884615,3.245192308,130.000495,0.650065342,0.587968096,174.9905471,3.414482959
3,3,669.1538462,669.1538462,6.433653846,3.076923077,161.2442719,0.708565484,0.609616431,180.1339145,3.001683406
4,4,670.1538462,670.1538462,6.277884615,3.322115385,129.9816067,0.646794701,0.621311816,175.9324493,2.630698869
5,5,671.1538462,671.1538462,6.224038462,3.205769231,162.6349979,0.703884343,0.634497139,171.7595626,2.531426318
6,6,672.1538462,672.1538462,6.498076923,2.938461538,135.0833221,0.638581025,0.623736525,185.9814192,3.651904206
7,7,673.1538462,673.1538462,7.383653846,2.632692308,165.7426191,0.480715895,0.692334062,218.9460998,5.775336648
8,8,674.1538462,674.1538462,8.575,2.702884615,123.9815374,0.227005323,0.869313938,247.6291563,7.465493373
9,9,675.1538462,675.1538462,9.464423077,2.829807692,232.0398615,-0.083017772,1.051562269,262.6329712,8.838714876
10,10,676.1538462,676.1538462,10.15096154,3.170192308,116.4273108,-0.244624105,1.170002275,270.2220784,9.823311694
11,11,677.1538462,677.1538462,10.62788462,3.450961538,296.1914416,-0.528599221,1.23555178,274.4820528,10.60343749
12,12,678.1538462,678.1538462,11.075,3.647115385,169.9599152,-0.547030135,1.306462554,277.3883416,10.97544069
13,13,679.1538462,679.1538462,11.17596154,3.976923077,296.8953943,-0.560040674,1.342516903,276.8786325,11.07680765
14,14,680.1538462,680.1538462,11.17884615,4.228846154,265.2669005,-0.665554476,1.325621829,282.6602715,10.95784151
15,15,681.1538462,681.1538462,10.95096154,4.319230769,308.9092242,-0.662886281,1.295682128,283.864589,10.49437529
16,16,682.1538462,682.1538462,10.34230769,4.197115385,263.0986844,-0.751105685,1.196088542,282.9345842,9.919573743
17,17,683.1538462,683.1538462,9.695192308,3.904807692,284.9830252,-0.516582757,1.06180388,286.4537651,9.231637737
18,18,684.1538462,684.1538462,9.067307692,3.607692308,186.2642771,-0.540842004,0.883258132,284.7784571,8.448042546
19,19,685.1538462,685.1538462,8.335576923,2.798076923,255.4606013,-0.298454725,0.749162319,260.2396635,7.722002801
20,20,686.1538462,686.1538462,7.677884615,2.739423077,121.6088322,0.158774181,0.650305587,249.4778768,6.935212306
21,21,687.1538462,687.1538462,7.207692308,2.7125,168.5391725,0.367058401,0.595538981,234.3754831,6.239832554
22,22,674.8235294,674.8235294,7.060784314,3.12745098,152.404659,0.690928559,0.56266143,218.6163937,5.566925326
23,23,675.8235294,675.8235294,6.790196078,3.176470588,149.5619493,0.647359139,0.568001751,207.8429421,4.98920652
24,24,666.1538462,666.1538462,6.671153846,3.284615385,141.5380787,0.723628403,0.563493649,194.4099926,4.393887408
25,25,667.1538462,667.1538462,6.486538462,3.3375,159.4741623,0.692611804,0.576486703,184.097588,3.872019444
26,26,668.1538462,668.1538462,6.502884615,3.245192308,130.000495,0.650065342,0.587968096,174.9905471,3.414482959
27,27,669.1538462,669.1538462,6.433653846,3.076923077,161.2442719,0.708565484,0.609616431,180.1339145,3.001683406
28,28,670.1538462,670.1538462,6.277884615,3.322115385,129.9816067,0.646794701,0.621311816,175.9324493,2.630698869
