,datetime,Unnamed: 0.1,Unnamed: 0,temp,ws,wdir,katabaticity,ws_model,wdir_model,temp_model
0,0,1427,1427,-17.4,3.356146341,176.8165244,-0.172174011,0.45438549,267.3909913,-4.725873945
1,1,1428,1428,-16.61134146,3.133463415,167.925939,-0.166490545,0.490963591,257.4197063,-3.909724693
2,2,1429,1429,-15.61365854,3.351682927,153.8953171,-0.015022555,0.58329627,221.0580788,-2.76935443
3,3,1430,1430,-14.8947439,3.734463415,141.2860976,0.056075447,0.784908712,193.2366417,-1.857253815
4,4,1431,1431,-14.55135366,3.998865854,134.2826951,0.101344561,0.974134887,186.5520421,-1.195077612
5,5,1432,1432,-14.36210976,4.032841463,138.7829268,0.066447595,1.128238028,189.2953342,-0.858946127
6,6,1433,1433,-14.13964634,4.088341463,148.3454878,-0.044283118,1.275260571,191.2673506,-0.639375402
7,7,1434,1434,-14.05629268,4.138365854,144.8621829,-0.024014339,1.311670774,193.807257,-0.360949409
8,8,1435,1435,-13.93586585,4.10047561,151.505122,-0.076885068,1.348151692,198.0208274,-0.337483228
9,9,1436,1436,-14.00313415,3.768817073,153.0395854,-0.134293668,1.301773828,198.7858578,-0.351902642
10,10,1437,1437,-14.4052439,3.743170732,169.7288171,-0.23044211,1.272313637,199.9745181,-0.4924724
11,11,1438,1438,-14.87439024,3.546914634,187.726622,-0.289163989,1.157017144,202.5246858,-0.786511102
12,12,1439,1439,-15.62719512,3.618939024,185.4045488,-0.236735283,0.990771505,205.9933408,-1.153980465
13,13,1440,1440,-16.20536585,3.260646341,191.1632195,-0.2033783,0.843672035,204.7224881,-1.705648844
14,14,1441,1441,-16.62243902,3.36895122,181.3793537,-0.067885352,0.759532444,211.0928147,-2.177311154
15,15,1442,1442,-16.63390244,3.198634146,179.2062683,-0.135223629,0.692810582,219.94266,-2.50715079
16,16,1443,1443,-16.67012195,3.136987805,193.1112439,-0.109269178,0.66536665,222.7883656,-2.824151709
17,17,1444,1444,-16.75634146,3.355865854,177.2685488,-0.083080462,0.634975851,225.3854665,-3.117363893
18,18,1445,1445,-16.89560976,3.76704878,191.2484512,-0.171125304,0.606463701,228.269648,-3.349189262
19,19,1446,1446,-17.07402439,3.831963415,184.8383171,-0.227310051,0.595564091,240.7761002,-3.66428693
20,20,1447,1447,-17.16109756,3.656158537,184.9279146,-0.131387383,0.554215425,245.1757253,-3.89268769
21,21,1448,1448,-17.30036585,3.531658537,195.6135732,-0.171331405,0.509230053,254.2774504,-4.137126003
22,22,1449,1449,-17.40621951,3.545195122,179.5207073,-0.200866514,0.483407257,260.0615495,-4.366400328
