,datetime,Unnamed: 0.1,Unnamed: 0,temp,ws,wdir,katabaticity,ws_model,wdir_model,temp_model
0,0,1281.301887,1281.301887,-20.14698113,2.156981132,125.9698113,-0.155019965,0.448514817,74.75931237,-2.760546195
1,1,1282.301887,1282.301887,-20.02981132,1.965264151,118.0884906,-0.120399627,0.483127592,81.95870768,-2.710599374
2,2,1283.301887,1283.301887,-19.10056604,1.762773585,123.1973585,-0.242846151,0.529164358,94.37889194,-1.776676854
3,3,1284.301887,1284.301887,-17.72566038,1.883132075,120.4332075,-0.19787557,0.575094409,112.2898513,-0.249725735
4,4,1285.301887,1285.301887,-16.03943396,2.014,156.7079623,-0.295843538,0.657013012,146.6219755,1.365293039
5,5,1286.301887,1286.301887,-14.89645283,2.138320755,132.5281132,-0.293648011,0.818846463,192.4972763,2.687116018
6,6,1287.301887,1287.301887,-14.21656604,2.481698113,141.4460377,-0.433297777,1.082501623,215.1887564,3.582554459
7,7,1288.301887,1288.301887,-13.42822642,2.657132075,156.7949057,-0.577745137,1.33575593,238.1053665,4.19147989
8,8,1289.301887,1289.301887,-12.47769811,3.029132075,191.5037736,-0.750345904,1.446845282,239.5121359,4.246583898
9,9,1290.301887,1290.301887,-12.32235849,3.311113208,184.7754717,-0.77574394,1.448789558,241.4973275,4.1717442
10,10,1291.301887,1291.301887,-12.81392453,3.214283019,187.3962264,-0.794588151,1.375998615,243.0670474,4.011701685
11,11,1292.301887,1292.301887,-13.46620755,3.30509434,166.4992453,-0.695999733,1.216603248,243.5581526,3.715613643
12,12,1293.301887,1293.301887,-14.40111321,3.130075472,156.1356604,-0.573445738,0.983280621,240.6195183,3.389164567
13,13,1294.301887,1294.301887,-15.44896226,2.750226415,159.5241509,-0.598428872,0.680574901,242.1246747,2.873983343
14,14,1295.301887,1295.301887,-17.45786792,2.108283019,116.5711321,-0.098091211,0.400747284,218.3751662,2.11612323
15,15,1283.692308,1283.692308,-18.48869231,2.209711538,113.5615,-0.194346578,0.31286597,145.6407666,1.323258607
16,16,1284.692308,1284.692308,-18.64359615,1.992269231,118.5840385,-0.128348862,0.32156509,113.1849475,0.569588444
17,17,1285.692308,1285.692308,-18.79634615,1.929211538,131.4798077,-0.108891099,0.316592515,103.3553439,-0.159074682
18,18,1286.692308,1286.692308,-18.99076923,1.999961538,124.0511538,-0.104385172,0.309839551,104.6297553,-0.767142089
19,19,1287.692308,1287.692308,-19.12692308,1.930057692,119.4417308,-0.171549439,0.310484827,105.1343684,-0.663668567
20,20,1288.692308,1288.692308,-19.37461538,2.004923077,107.0923077,-0.09938005,0.32137376,96.32016939,-1.153618394
21,21,1289.692308,1289.692308,-19.57423077,1.975615385,135.0559615,-0.307089646,0.343832744,90.64462154,-1.624641388
22,22,1290.692308,1290.692308,-19.755,1.866576923,133.3521154,-0.237693896,0.37515199,81.37804925,-2.0248701
23,23,1291.692308,1291.692308,-19.91269231,1.751788462,130.9071154,-0.144184804,0.414821273,81.97476867,-2.396558378
24,24,1281.301887,1281.301887,-20.14698113,2.156981132,125.9698113,-0.155019965,0.448514817,74.75931237,-2.760546195
25,25,1282.301887,1282.301887,-20.02981132,1.965264151,118.0884906,-0.120399627,0.483127592,81.95870768,-2.710599374
26,26,1283.301887,1283.301887,-19.10056604,1.762773585,123.1973585,-0.242846151,0.529164358,94.37889194,-1.776676854
27,27,1284.301887,1284.301887,-17.72566038,1.883132075,120.4332075,-0.19787557,0.575094409,112.2898513,-0.249725735
28,28,1285.301887,1285.301887,-16.03943396,2.014,156.7079623,-0.295843538,0.657013012,146.6219755,1.365293039
29,29,1286.301887,1286.301887,-14.89645283,2.138320755,132.5281132,-0.293648011,0.818846463,192.4972763,2.687116018
30,30,1287.301887,1287.301887,-14.21656604,2.481698113,141.4460377,-0.433297777,1.082501623,215.1887564,3.582554459
31,31,1288.301887,1288.301887,-13.42822642,2.657132075,156.7949057,-0.577745137,1.33575593,238.1053665,4.19147989
32,32,1289.301887,1289.301887,-12.47769811,3.029132075,191.5037736,-0.750345904,1.446845282,239.5121359,4.246583898
33,33,1290.301887,1290.301887,-12.32235849,3.311113208,184.7754717,-0.77574394,1.448789558,241.4973275,4.1717442
34,34,1291.301887,1291.301887,-12.81392453,3.214283019,187.3962264,-0.794588151,1.375998615,243.0670474,4.011701685
35,35,1292.301887,1292.301887,-13.46620755,3.30509434,166.4992453,-0.695999733,1.216603248,243.5581526,3.715613643
36,36,1293.301887,1293.301887,-14.40111321,3.130075472,156.1356604,-0.573445738,0.983280621,240.6195183,3.389164567
37,37,1294.301887,1294.301887,-15.44896226,2.750226415,159.5241509,-0.598428872,0.680574901,242.1246747,2.873983343
38,38,1295.301887,1295.301887,-17.45786792,2.108283019,116.5711321,-0.098091211,0.400747284,218.3751662,2.11612323
39,39,1283.692308,1283.692308,-18.48869231,2.209711538,113.5615,-0.194346578,0.31286597,145.6407666,1.323258607
40,40,1284.692308,1284.692308,-18.64359615,1.992269231,118.5840385,-0.128348862,0.32156509,113.1849475,0.569588444
41,41,1285.692308,1285.692308,-18.79634615,1.929211538,131.4798077,-0.108891099,0.316592515,103.3553439,-0.159074682
42,42,1286.692308,1286.692308,-18.99076923,1.999961538,124.0511538,-0.104385172,0.309839551,104.6297553,-0.767142089
43,43,1287.692308,1287.692308,-19.12692308,1.930057692,119.4417308,-0.171549439,0.310484827,105.1343684,-0.663668567
44,44,1288.692308,1288.692308,-19.37461538,2.004923077,107.0923077,-0.09938005,0.32137376,96.32016939,-1.153618394
45,45,1289.692308,1289.692308,-19.57423077,1.975615385,135.0559615,-0.307089646,0.343832744,90.64462154,-1.624641388
46,46,1290.692308,1290.692308,-19.755,1.866576923,133.3521154,-0.237693896,0.37515199,81.37804925,-2.0248701
47,47,1291.692308,1291.692308,-19.91269231,1.751788462,130.9071154,-0.144184804,0.414821273,81.97476867,-2.396558378
48,48,1281.301887,1281.301887,-20.14698113,2.156981132,125.9698113,-0.155019965,0.448514817,74.75931237,-2.760546195
49,49,1282.301887,1282.301887,-20.02981132,1.965264151,118.0884906,-0.120399627,0.483127592,81.95870768,-2.710599374
50,50,1283.301887,1283.301887,-19.10056604,1.762773585,123.1973585,-0.242846151,0.529164358,94.37889194,-1.776676854
