,datetime,Unnamed: 0.1,Unnamed: 0,temp,ws,wdir,katabaticity,ws_model,wdir_model,temp_model
0,0,16283.72145,16283.72145,-5.362941011,1.004331461,95.61923596,0.504294164,0.448953308,267.8073807,-3.415594074
1,1,16284.72145,16284.72145,-5.24861236,0.979058989,92.72733708,0.49224933,0.480914108,252.4465428,-2.757719995
2,2,16285.72145,16285.72145,-4.943921348,0.911792135,99.81074719,0.447438286,0.570674165,211.7241578,-1.678990085
3,3,16286.72145,16286.72145,-3.566337989,0.82723743,129.4611592,0.208719088,0.753634475,187.3490934,-0.836313641
4,4,16287.72145,16287.72145,-2.137812849,0.724103352,239.6522346,-0.598656477,0.943351612,185.7036873,-0.254183546
5,5,16288.72145,16288.72145,-1.456988827,0.921796089,257.3164804,-0.820793775,1.09248737,189.4281186,0.083592021
6,6,16289.72145,16289.72145,-1.012896936,1.106640669,254.7099443,-0.819762943,1.198668902,191.7675141,0.334213424
7,7,16290.72145,16290.72145,-0.569264624,1.277362117,255.5303621,-0.82992475,1.259068471,192.270152,0.526310779
8,8,16291.72145,16291.72145,-0.655671309,1.390284123,257.8233983,-0.85118066,1.281680594,196.0172473,0.589933058
9,9,16292.72145,16292.72145,-0.861281337,1.443651811,257.3135933,-0.831710953,1.260385296,196.6084239,0.548387751
10,10,16293.72145,16293.72145,-1.228593315,1.356710306,257.5153203,-0.835354292,1.204114514,197.1336089,0.368691415
11,11,16294.72145,16294.72145,-1.669077994,1.238139276,259.0548747,-0.860909802,1.092348544,199.6581768,0.077099855
12,12,16295.72145,16295.72145,-2.365220056,1.094155989,251.1027855,-0.808413013,0.923213222,203.4477453,-0.335829988
13,13,16296.72145,16296.72145,-3.114325905,0.911860724,235.456546,-0.621690501,0.77892209,206.6271622,-0.880731415
14,14,16297.72145,16297.72145,-3.471792717,0.85145098,207.7736134,-0.319591219,0.713342745,210.3804494,-1.324131069
15,15,16298.72145,16298.72145,-3.809176471,0.837414566,185.833409,-0.122212041,0.655974741,217.2411403,-1.638226314
16,16,16299.72145,16299.72145,-4.048392157,0.868456583,164.2811737,0.071616121,0.622554469,220.5871351,-1.891936163
17,17,16300.72145,16300.72145,-4.326176471,0.87222409,156.638395,0.129921988,0.606191432,227.1501719,-2.114681441
18,18,16301.72145,16301.72145,-4.558064426,0.872862745,141.5111176,0.234224966,0.578369993,230.3945061,-2.312625157
19,19,16302.72145,16302.72145,-4.705647059,0.904537815,132.9971709,0.298764375,0.545932632,240.0017777,-2.537771478
