,datetime,Unnamed: 0.1,Unnamed: 0,temp,ws,wdir,katabaticity,ws_model,wdir_model,temp_model
0,0,28816.2561,28816.2561,4.251829268,3.713644309,196.7259289,-0.315180364,0.560799079,254.1364569,1.103324675
1,1,28822.2561,28822.2561,4.228861789,3.946036585,194.6036138,-0.264594483,0.571672452,254.232772,0.624490311
2,2,28828.2561,28828.2561,4.185162602,3.787067073,207.3528638,-0.281727347,0.582722895,256.3373182,0.294279943
3,3,28834.2561,28834.2561,4.058333333,3.885752033,194.6147134,-0.240999204,0.582139244,255.192584,-0.06312738
4,4,28840.2561,28840.2561,3.999390244,3.795432927,186.3921341,-0.244388031,0.588586461,261.6970251,-0.368656656
5,5,28846.2561,28846.2561,4.327845528,3.81375,181.0524797,-0.233380896,0.619930136,256.9253976,-0.197990774
6,6,28852.2561,28852.2561,4.85304878,3.849621951,174.3977846,-0.341266127,0.651171602,251.6442446,1.122722975
7,7,28858.2561,28858.2561,5.370528455,3.860780488,178.0142134,-0.436879355,0.735642343,236.6096064,2.746217865
8,8,28864.2561,28864.2561,5.791260163,4.153530488,184.1935549,-0.53314653,0.83728402,232.9208959,4.41086133
9,9,28870.2561,28870.2561,6.295731707,4.451408537,188.5024207,-0.533585604,0.951056997,221.2561272,5.862885154
10,10,28876.2561,28876.2561,6.819715447,4.403335366,192.8132398,-0.618625293,1.061997044,218.836509,6.839554041
11,11,28882.2561,28882.2561,7.233739837,4.505154472,199.2222358,-0.571857854,1.170910715,216.4171919,7.530212611
12,12,28888.2561,28888.2561,7.491463415,4.337650407,200.3829492,-0.594244258,1.218819477,215.6374282,8.010405855
13,13,28894.2561,28894.2561,7.588617886,4.21504878,199.9177947,-0.588407666,1.202749207,220.1505193,8.371873993
14,14,28900.2561,28900.2561,7.453658537,4.238404472,201.5236179,-0.561554754,1.14396121,230.7907184,8.387569918
15,15,28906.2561,28906.2561,7.197560976,4.298430894,199.8088089,-0.521933429,1.050592422,227.6115596,8.100424092
16,16,28912.2561,28912.2561,6.834756098,4.299835366,202.6317907,-0.469324505,0.917057232,214.0533662,7.613061901
17,17,28918.2561,28918.2561,6.410569106,3.991489837,195.2397724,-0.408683391,0.803940384,197.7818895,6.921950231
18,18,28924.2561,28924.2561,5.865853659,3.978705285,193.9227846,-0.281823796,0.681429136,198.8878856,6.071213966
19,19,28930.2561,28930.2561,5.423577236,3.739920732,197.1317622,-0.285304982,0.646894837,204.5658642,5.236812659
20,20,28936.2561,28936.2561,5.072560976,3.980676829,203.0380711,-0.343591309,0.616963822,215.3505344,4.218949138
21,21,28942.2561,28942.2561,4.797560976,3.969010163,199.295689,-0.359272395,0.579372933,229.6187113,3.295959681
22,22,28863.22289,28863.22289,4.520281124,3.70896988,205.6243695,-0.316105861,0.550280492,243.984572,2.536865443
23,23,28869.22289,28869.22289,4.290361446,3.647813253,201.0590904,-0.301897238,0.558949031,250.3843309,1.870675613
24,24,28816.2561,28816.2561,4.251829268,3.713644309,196.7259289,-0.315180364,0.560799079,254.1364569,1.103324675
25,25,28822.2561,28822.2561,4.228861789,3.946036585,194.6036138,-0.264594483,0.571672452,254.232772,0.624490311
26,26,28828.2561,28828.2561,4.185162602,3.787067073,207.3528638,-0.281727347,0.582722895,256.3373182,0.294279943
27,27,28834.2561,28834.2561,4.058333333,3.885752033,194.6147134,-0.240999204,0.582139244,255.192584,-0.06312738
28,28,28840.2561,28840.2561,3.999390244,3.795432927,186.3921341,-0.244388031,0.588586461,261.6970251,-0.368656656
29,29,28846.2561,28846.2561,4.327845528,3.81375,181.0524797,-0.233380896,0.619930136,256.9253976,-0.197990774
30,30,28852.2561,28852.2561,4.85304878,3.849621951,174.3977846,-0.341266127,0.651171602,251.6442446,1.122722975
31,31,28858.2561,28858.2561,5.370528455,3.860780488,178.0142134,-0.436879355,0.735642343,236.6096064,2.746217865
32,32,28864.2561,28864.2561,5.791260163,4.153530488,184.1935549,-0.53314653,0.83728402,232.9208959,4.41086133
33,33,28870.2561,28870.2561,6.295731707,4.451408537,188.5024207,-0.533585604,0.951056997,221.2561272,5.862885154
34,34,28876.2561,28876.2561,6.819715447,4.403335366,192.8132398,-0.618625293,1.061997044,218.836509,6.839554041
35,35,28882.2561,28882.2561,7.233739837,4.505154472,199.2222358,-0.571857854,1.170910715,216.4171919,7.530212611
36,36,28888.2561,28888.2561,7.491463415,4.337650407,200.3829492,-0.594244258,1.218819477,215.6374282,8.010405855
37,37,28894.2561,28894.2561,7.588617886,4.21504878,199.9177947,-0.588407666,1.202749207,220.1505193,8.371873993
38,38,28900.2561,28900.2561,7.453658537,4.238404472,201.5236179,-0.561554754,1.14396121,230.7907184,8.387569918
39,39,28906.2561,28906.2561,7.197560976,4.298430894,199.8088089,-0.521933429,1.050592422,227.6115596,8.100424092
40,40,28912.2561,28912.2561,6.834756098,4.299835366,202.6317907,-0.469324505,0.917057232,214.0533662,7.613061901
41,41,28918.2561,28918.2561,6.410569106,3.991489837,195.2397724,-0.408683391,0.803940384,197.7818895,6.921950231
42,42,28924.2561,28924.2561,5.865853659,3.978705285,193.9227846,-0.281823796,0.681429136,198.8878856,6.071213966
43,43,28930.2561,28930.2561,5.423577236,3.739920732,197.1317622,-0.285304982,0.646894837,204.5658642,5.236812659
44,44,28936.2561,28936.2561,5.072560976,3.980676829,203.0380711,-0.343591309,0.616963822,215.3505344,4.218949138
45,45,28942.2561,28942.2561,4.797560976,3.969010163,199.295689,-0.359272395,0.579372933,229.6187113,3.295959681
46,46,28863.22289,28863.22289,4.520281124,3.70896988,205.6243695,-0.316105861,0.550280492,243.984572,2.536865443
47,47,28869.22289,28869.22289,4.290361446,3.647813253,201.0590904,-0.301897238,0.558949031,250.3843309,1.870675613
48,48,28816.2561,28816.2561,4.251829268,3.713644309,196.7259289,-0.315180364,0.560799079,254.1364569,1.103324675
49,49,28822.2561,28822.2561,4.228861789,3.946036585,194.6036138,-0.264594483,0.571672452,254.232772,0.624490311
50,50,28828.2561,28828.2561,4.185162602,3.787067073,207.3528638,-0.281727347,0.582722895,256.3373182,0.294279943
51,51,28834.2561,28834.2561,4.058333333,3.885752033,194.6147134,-0.240999204,0.582139244,255.192584,-0.06312738
52,52,28840.2561,28840.2561,3.999390244,3.795432927,186.3921341,-0.244388031,0.588586461,261.6970251,-0.368656656
53,53,28846.2561,28846.2561,4.327845528,3.81375,181.0524797,-0.233380896,0.619930136,256.9253976,-0.197990774
54,54,28852.2561,28852.2561,4.85304878,3.849621951,174.3977846,-0.341266127,0.651171602,251.6442446,1.122722975
55,55,28858.2561,28858.2561,5.370528455,3.860780488,178.0142134,-0.436879355,0.735642343,236.6096064,2.746217865
56,56,28864.2561,28864.2561,5.791260163,4.153530488,184.1935549,-0.53314653,0.83728402,232.9208959,4.41086133
57,57,28870.2561,28870.2561,6.295731707,4.451408537,188.5024207,-0.533585604,0.951056997,221.2561272,5.862885154
58,58,28876.2561,28876.2561,6.819715447,4.403335366,192.8132398,-0.618625293,1.061997044,218.836509,6.839554041
59,59,28882.2561,28882.2561,7.233739837,4.505154472,199.2222358,-0.571857854,1.170910715,216.4171919,7.530212611
60,60,28888.2561,28888.2561,7.491463415,4.337650407,200.3829492,-0.594244258,1.218819477,215.6374282,8.010405855
61,61,28894.2561,28894.2561,7.588617886,4.21504878,199.9177947,-0.588407666,1.202749207,220.1505193,8.371873993
62,62,28900.2561,28900.2561,7.453658537,4.238404472,201.5236179,-0.561554754,1.14396121,230.7907184,8.387569918
63,63,28906.2561,28906.2561,7.197560976,4.298430894,199.8088089,-0.521933429,1.050592422,227.6115596,8.100424092
64,64,28912.2561,28912.2561,6.834756098,4.299835366,202.6317907,-0.469324505,0.917057232,214.0533662,7.613061901
65,65,28918.2561,28918.2561,6.410569106,3.991489837,195.2397724,-0.408683391,0.803940384,197.7818895,6.921950231
66,66,28924.2561,28924.2561,5.865853659,3.978705285,193.9227846,-0.281823796,0.681429136,198.8878856,6.071213966
67,67,28930.2561,28930.2561,5.423577236,3.739920732,197.1317622,-0.285304982,0.646894837,204.5658642,5.236812659
68,68,28936.2561,28936.2561,5.072560976,3.980676829,203.0380711,-0.343591309,0.616963822,215.3505344,4.218949138
69,69,28942.2561,28942.2561,4.797560976,3.969010163,199.295689,-0.359272395,0.579372933,229.6187113,3.295959681
70,70,28863.22289,28863.22289,4.520281124,3.70896988,205.6243695,-0.316105861,0.550280492,243.984572,2.536865443
71,71,28869.22289,28869.22289,4.290361446,3.647813253,201.0590904,-0.301897238,0.558949031,250.3843309,1.870675613
72,72,28816.2561,28816.2561,4.251829268,3.713644309,196.7259289,-0.315180364,0.560799079,254.1364569,1.103324675
73,73,28822.2561,28822.2561,4.228861789,3.946036585,194.6036138,-0.264594483,0.571672452,254.232772,0.624490311
74,74,28828.2561,28828.2561,4.185162602,3.787067073,207.3528638,-0.281727347,0.582722895,256.3373182,0.294279943
75,75,28834.2561,28834.2561,4.058333333,3.885752033,194.6147134,-0.240999204,0.582139244,255.192584,-0.06312738
76,76,28840.2561,28840.2561,3.999390244,3.795432927,186.3921341,-0.244388031,0.588586461,261.6970251,-0.368656656
77,77,28846.2561,28846.2561,4.327845528,3.81375,181.0524797,-0.233380896,0.619930136,256.9253976,-0.197990774
78,78,28852.2561,28852.2561,4.85304878,3.849621951,174.3977846,-0.341266127,0.651171602,251.6442446,1.122722975
79,79,28858.2561,28858.2561,5.370528455,3.860780488,178.0142134,-0.436879355,0.735642343,236.6096064,2.746217865
80,80,28864.2561,28864.2561,5.791260163,4.153530488,184.1935549,-0.53314653,0.83728402,232.9208959,4.41086133
81,81,28870.2561,28870.2561,6.295731707,4.451408537,188.5024207,-0.533585604,0.951056997,221.2561272,5.862885154
82,82,28876.2561,28876.2561,6.819715447,4.403335366,192.8132398,-0.618625293,1.061997044,218.836509,6.839554041
83,83,28882.2561,28882.2561,7.233739837,4.505154472,199.2222358,-0.571857854,1.170910715,216.4171919,7.530212611
84,84,28888.2561,28888.2561,7.491463415,4.337650407,200.3829492,-0.594244258,1.218819477,215.6374282,8.010405855
85,85,28894.2561,28894.2561,7.588617886,4.21504878,199.9177947,-0.588407666,1.202749207,220.1505193,8.371873993
86,86,28900.2561,28900.2561,7.453658537,4.238404472,201.5236179,-0.561554754,1.14396121,230.7907184,8.387569918
87,87,28906.2561,28906.2561,7.197560976,4.298430894,199.8088089,-0.521933429,1.050592422,227.6115596,8.100424092
88,88,28912.2561,28912.2561,6.834756098,4.299835366,202.6317907,-0.469324505,0.917057232,214.0533662,7.613061901
89,89,28918.2561,28918.2561,6.410569106,3.991489837,195.2397724,-0.408683391,0.803940384,197.7818895,6.921950231
90,90,28924.2561,28924.2561,5.865853659,3.978705285,193.9227846,-0.281823796,0.681429136,198.8878856,6.071213966
91,91,28930.2561,28930.2561,5.423577236,3.739920732,197.1317622,-0.285304982,0.646894837,204.5658642,5.236812659
92,92,28936.2561,28936.2561,5.072560976,3.980676829,203.0380711,-0.343591309,0.616963822,215.3505344,4.218949138
93,93,28942.2561,28942.2561,4.797560976,3.969010163,199.295689,-0.359272395,0.579372933,229.6187113,3.295959681
94,94,28863.22289,28863.22289,4.520281124,3.70896988,205.6243695,-0.316105861,0.550280492,243.984572,2.536865443
95,95,28869.22289,28869.22289,4.290361446,3.647813253,201.0590904,-0.301897238,0.558949031,250.3843309,1.870675613
96,96,28816.2561,28816.2561,4.251829268,3.713644309,196.7259289,-0.315180364,0.560799079,254.1364569,1.103324675
97,97,28822.2561,28822.2561,4.228861789,3.946036585,194.6036138,-0.264594483,0.571672452,254.232772,0.624490311
98,98,28828.2561,28828.2561,4.185162602,3.787067073,207.3528638,-0.281727347,0.582722895,256.3373182,0.294279943
99,99,28834.2561,28834.2561,4.058333333,3.885752033,194.6147134,-0.240999204,0.582139244,255.192584,-0.06312738
100,100,28840.2561,28840.2561,3.999390244,3.795432927,186.3921341,-0.244388031,0.588586461,261.6970251,-0.368656656
101,101,28846.2561,28846.2561,4.327845528,3.81375,181.0524797,-0.233380896,0.619930136,256.9253976,-0.197990774
102,102,28852.2561,28852.2561,4.85304878,3.849621951,174.3977846,-0.341266127,0.651171602,251.6442446,1.122722975
103,103,28858.2561,28858.2561,5.370528455,3.860780488,178.0142134,-0.436879355,0.735642343,236.6096064,2.746217865
104,104,28864.2561,28864.2561,5.791260163,4.153530488,184.1935549,-0.53314653,0.83728402,232.9208959,4.41086133
105,105,28870.2561,28870.2561,6.295731707,4.451408537,188.5024207,-0.533585604,0.951056997,221.2561272,5.862885154
106,106,28876.2561,28876.2561,6.819715447,4.403335366,192.8132398,-0.618625293,1.061997044,218.836509,6.839554041
107,107,28882.2561,28882.2561,7.233739837,4.505154472,199.2222358,-0.571857854,1.170910715,216.4171919,7.530212611
108,108,28888.2561,28888.2561,7.491463415,4.337650407,200.3829492,-0.594244258,1.218819477,215.6374282,8.010405855
109,109,28894.2561,28894.2561,7.588617886,4.21504878,199.9177947,-0.588407666,1.202749207,220.1505193,8.371873993
110,110,28900.2561,28900.2561,7.453658537,4.238404472,201.5236179,-0.561554754,1.14396121,230.7907184,8.387569918
111,111,28906.2561,28906.2561,7.197560976,4.298430894,199.8088089,-0.521933429,1.050592422,227.6115596,8.100424092
112,112,28912.2561,28912.2561,6.834756098,4.299835366,202.6317907,-0.469324505,0.917057232,214.0533662,7.613061901
113,113,28918.2561,28918.2561,6.410569106,3.991489837,195.2397724,-0.408683391,0.803940384,197.7818895,6.921950231
114,114,28924.2561,28924.2561,5.865853659,3.978705285,193.9227846,-0.281823796,0.681429136,198.8878856,6.071213966
115,115,28930.2561,28930.2561,5.423577236,3.739920732,197.1317622,-0.285304982,0.646894837,204.5658642,5.236812659
116,116,28936.2561,28936.2561,5.072560976,3.980676829,203.0380711,-0.343591309,0.616963822,215.3505344,4.218949138
117,117,28942.2561,28942.2561,4.797560976,3.969010163,199.295689,-0.359272395,0.579372933,229.6187113,3.295959681
118,118,28863.22289,28863.22289,4.520281124,3.70896988,205.6243695,-0.316105861,0.550280492,243.984572,2.536865443
119,119,28869.22289,28869.22289,4.290361446,3.647813253,201.0590904,-0.301897238,0.558949031,250.3843309,1.870675613
120,120,28816.2561,28816.2561,4.251829268,3.713644309,196.7259289,-0.315180364,0.560799079,254.1364569,1.103324675
121,121,28822.2561,28822.2561,4.228861789,3.946036585,194.6036138,-0.264594483,0.571672452,254.232772,0.624490311
122,122,28828.2561,28828.2561,4.185162602,3.787067073,207.3528638,-0.281727347,0.582722895,256.3373182,0.294279943
123,123,28834.2561,28834.2561,4.058333333,3.885752033,194.6147134,-0.240999204,0.582139244,255.192584,-0.06312738
124,124,28840.2561,28840.2561,3.999390244,3.795432927,186.3921341,-0.244388031,0.588586461,261.6970251,-0.368656656
125,125,28846.2561,28846.2561,4.327845528,3.81375,181.0524797,-0.233380896,0.619930136,256.9253976,-0.197990774
126,126,28852.2561,28852.2561,4.85304878,3.849621951,174.3977846,-0.341266127,0.651171602,251.6442446,1.122722975
127,127,28858.2561,28858.2561,5.370528455,3.860780488,178.0142134,-0.436879355,0.735642343,236.6096064,2.746217865
128,128,28864.2561,28864.2561,5.791260163,4.153530488,184.1935549,-0.53314653,0.83728402,232.9208959,4.41086133
129,129,28870.2561,28870.2561,6.295731707,4.451408537,188.5024207,-0.533585604,0.951056997,221.2561272,5.862885154
130,130,28876.2561,28876.2561,6.819715447,4.403335366,192.8132398,-0.618625293,1.061997044,218.836509,6.839554041
131,131,28882.2561,28882.2561,7.233739837,4.505154472,199.2222358,-0.571857854,1.170910715,216.4171919,7.530212611
132,132,28888.2561,28888.2561,7.491463415,4.337650407,200.3829492,-0.594244258,1.218819477,215.6374282,8.010405855
133,133,28894.2561,28894.2561,7.588617886,4.21504878,199.9177947,-0.588407666,1.202749207,220.1505193,8.371873993
134,134,28900.2561,28900.2561,7.453658537,4.238404472,201.5236179,-0.561554754,1.14396121,230.7907184,8.387569918
135,135,28906.2561,28906.2561,7.197560976,4.298430894,199.8088089,-0.521933429,1.050592422,227.6115596,8.100424092
136,136,28912.2561,28912.2561,6.834756098,4.299835366,202.6317907,-0.469324505,0.917057232,214.0533662,7.613061901
137,137,28918.2561,28918.2561,6.410569106,3.991489837,195.2397724,-0.408683391,0.803940384,197.7818895,6.921950231
138,138,28924.2561,28924.2561,5.865853659,3.978705285,193.9227846,-0.281823796,0.681429136,198.8878856,6.071213966
139,139,28930.2561,28930.2561,5.423577236,3.739920732,197.1317622,-0.285304982,0.646894837,204.5658642,5.236812659
140,140,28936.2561,28936.2561,5.072560976,3.980676829,203.0380711,-0.343591309,0.616963822,215.3505344,4.218949138
141,141,28942.2561,28942.2561,4.797560976,3.969010163,199.295689,-0.359272395,0.579372933,229.6187113,3.295959681
142,142,28863.22289,28863.22289,4.520281124,3.70896988,205.6243695,-0.316105861,0.550280492,243.984572,2.536865443
143,143,28869.22289,28869.22289,4.290361446,3.647813253,201.0590904,-0.301897238,0.558949031,250.3843309,1.870675613
144,144,28816.2561,28816.2561,4.251829268,3.713644309,196.7259289,-0.315180364,0.560799079,254.1364569,1.103324675
145,145,28822.2561,28822.2561,4.228861789,3.946036585,194.6036138,-0.264594483,0.571672452,254.232772,0.624490311
146,146,28828.2561,28828.2561,4.185162602,3.787067073,207.3528638,-0.281727347,0.582722895,256.3373182,0.294279943
147,147,28834.2561,28834.2561,4.058333333,3.885752033,194.6147134,-0.240999204,0.582139244,255.192584,-0.06312738
148,148,28840.2561,28840.2561,3.999390244,3.795432927,186.3921341,-0.244388031,0.588586461,261.6970251,-0.368656656
149,149,28846.2561,28846.2561,4.327845528,3.81375,181.0524797,-0.233380896,0.619930136,256.9253976,-0.197990774
150,150,28852.2561,28852.2561,4.85304878,3.849621951,174.3977846,-0.341266127,0.651171602,251.6442446,1.122722975
151,151,28858.2561,28858.2561,5.370528455,3.860780488,178.0142134,-0.436879355,0.735642343,236.6096064,2.746217865
152,152,28864.2561,28864.2561,5.791260163,4.153530488,184.1935549,-0.53314653,0.83728402,232.9208959,4.41086133
153,153,28870.2561,28870.2561,6.295731707,4.451408537,188.5024207,-0.533585604,0.951056997,221.2561272,5.862885154
154,154,28876.2561,28876.2561,6.819715447,4.403335366,192.8132398,-0.618625293,1.061997044,218.836509,6.839554041
155,155,28882.2561,28882.2561,7.233739837,4.505154472,199.2222358,-0.571857854,1.170910715,216.4171919,7.530212611
156,156,28888.2561,28888.2561,7.491463415,4.337650407,200.3829492,-0.594244258,1.218819477,215.6374282,8.010405855
157,157,28894.2561,28894.2561,7.588617886,4.21504878,199.9177947,-0.588407666,1.202749207,220.1505193,8.371873993
158,158,28900.2561,28900.2561,7.453658537,4.238404472,201.5236179,-0.561554754,1.14396121,230.7907184,8.387569918
159,159,28906.2561,28906.2561,7.197560976,4.298430894,199.8088089,-0.521933429,1.050592422,227.6115596,8.100424092
160,160,28912.2561,28912.2561,6.834756098,4.299835366,202.6317907,-0.469324505,0.917057232,214.0533662,7.613061901
161,161,28918.2561,28918.2561,6.410569106,3.991489837,195.2397724,-0.408683391,0.803940384,197.7818895,6.921950231
162,162,28924.2561,28924.2561,5.865853659,3.978705285,193.9227846,-0.281823796,0.681429136,198.8878856,6.071213966
163,163,28930.2561,28930.2561,5.423577236,3.739920732,197.1317622,-0.285304982,0.646894837,204.5658642,5.236812659
164,164,28936.2561,28936.2561,5.072560976,3.980676829,203.0380711,-0.343591309,0.616963822,215.3505344,4.218949138
165,165,28942.2561,28942.2561,4.797560976,3.969010163,199.295689,-0.359272395,0.579372933,229.6187113,3.295959681
166,166,28863.22289,28863.22289,4.520281124,3.70896988,205.6243695,-0.316105861,0.550280492,243.984572,2.536865443
167,167,28869.22289,28869.22289,4.290361446,3.647813253,201.0590904,-0.301897238,0.558949031,250.3843309,1.870675613
168,168,28816.2561,28816.2561,4.251829268,3.713644309,196.7259289,-0.315180364,0.560799079,254.1364569,1.103324675
169,169,28822.2561,28822.2561,4.228861789,3.946036585,194.6036138,-0.264594483,0.571672452,254.232772,0.624490311
170,170,28828.2561,28828.2561,4.185162602,3.787067073,207.3528638,-0.281727347,0.582722895,256.3373182,0.294279943
