glacier_name,A_stats,B_sk,B_stats,se_A,se_B,S_fit,D_fit,se_S_fit,se_D_fit,se_A_fit,se_B_fit,se_U_fit,U_pred,S_pred,D_pred,se_U_pred,se_S_pred,se_D_pred,A_pred,B_pred,se_A_pred,se_B_pred
Arolla,0.11938233019192056,0.273806888,-0.27379252752592764,0.018551435416912593,0.06397037471806204,0.119413488,2.292930985,0.018551435416912593,0.8920432221040294,0.018551435416912593,0.06397037471806204,0.03691968813392019,3.7514177162389877,0.27359942926081554,1.0104213386776024,0.23394209284888073,0.0477949279040372,0.3435688625825109,0.27359942926081554,-0.27645070157514123,0.15418594126081553,0.5502575895751413
Balcony,0.05666958435000951,0.0,0.3269186860161277,0.026482286595882233,0.09109353708360293,0.074339524,0.0,0.026482286595882233,0.0,0.026482286595882233,0.09109353708360293,0.04923435879001439,3.0896218081984426,0.043360724168547,1.9855776035759796,0.29957389210594415,0.12481659319992311,0.6047526514037357,0.043360724168547,-0.08609608278390261,0.030978799831453005,0.08609608278390261
Bellavista,0.2184081013786394,0.0,0.17551715234598825,0.010250695552585646,0.03597525175832184,0.224962595,0.0,0.010250695552585646,0.0,0.010250695552585646,0.03597525175832184,0.046678304040303265,4.046655219370368,0.25971317104556313,1.4767212814064612,0.2097819735098217,0.04805798541580158,0.31898639955949537,0.25971317104556313,-0.3835239667445394,0.03475057604556314,0.3835239667445394
Bishop,0.2745733023481793,0.511450884,-0.5118211068276516,0.0428476680823438,0.1429756226151412,0.273737456,1.868399345,0.0428476680823438,0.8134986522611213,0.0428476680823438,0.1429756226151412,0.12088485632316627,3.018933281010575,0.11168246757417341,1.2140455168145667,0.30070957780734364,0.1061358598673066,0.28382673154329896,0.11168246757417341,-0.13558759906521345,0.16205498842582658,0.6470384830652135
Camp2,0.06248152611135796,0.045122683,-0.044758544982920534,0.024129680173191705,0.07849224873788929,0.06331843,0.71263111,0.024129680173191705,1.5249385751240598,0.024129680173191705,0.07849224873788929,0.02031926982575726,1.3011812906001978,0.33545210143569426,1.5678013094080088,0.24928611204978082,0.06740896192568938,0.3569253511286169,0.33545210143569426,-0.5259222438745497,0.2721336714356943,0.5710449268745497
Chottashigri_BC,0.4560534424567564,0.0,0.06609270788742014,0.044581951682519105,0.14168322061534583,0.465161058,0.0,0.044581951682519105,0.0,0.044581951682519105,0.14168322061534583,0.09093007897292422,2.0693083838754514,0.5286997904398769,0.890542932792783,0.14326860682386622,0.08369213826492347,0.40264829495785265,0.5286997904398769,-0.4708298619452577,0.0635387324398769,0.4708298619452577
Chottashigri,0.30082385490059405,0.648865392,-0.649904770448316,0.05035530295234105,0.15952182049103483,0.298772399,2.171771535,0.05035530295234105,0.8966060374029619,0.05035530295234105,0.15952182049103483,0.034384398808267234,1.907427763485007,0.3547178406229854,1.3855655898743076,0.1825770290352005,0.05050878527137176,0.29243754094107116,0.3547178406229854,-0.4914848340817274,0.05594544162298537,1.1403502260817273
Djankuat,0.7752497730673144,0.227888274,-0.22557744833341647,0.05141152454174983,0.16637325108911175,0.780276692,0.29206085,0.05141152454174983,0.23477600272765375,0.05141152454174983,0.16637325108911175,0.09589452265995586,3.927833244860648,0.2918615808035697,1.3013822327105653,0.2028363689666083,0.04740100595331052,0.2809086934437641,0.2918615808035697,-0.37982347566858465,0.48841511119643033,0.6077117496685847
Drangdrung,0.21637205019451858,0.614406171,-0.6165619960381918,0.019880388817988297,0.06659820954774075,0.212019368,2.897877571,0.019880388817988297,0.5792741572032042,0.019880388817988297,0.06659820954774075,0.030015708515967698,4.050602531295634,0.4476604557520839,0.8578709809602857,0.5017603979688856,0.06475302356331758,0.4206791248822565,0.4476604557520839,-0.3840349143131688,0.2356410877520839,0.9984410853131687
Hinterisferner,0.0621622408296587,0.0,0.03316050377525451,0.008685058912969555,0.03164230411741459,0.064132666,0.0,0.008685058912969555,0.0,0.008685058912969555,0.03164230411741459,0.044626864870266,2.951317546698072,0.22312914347029394,1.3195756958474691,0.19143683426539457,0.046908339679647915,0.2822349181040735,0.22312914347029394,-0.2944357947586629,0.15899647747029394,0.2944357947586629
Kalapathar,1.0406182841514422,0.481596889,-0.4829287538569193,0.08785464715741377,0.2798378606704584,1.03755884,0.464163449,0.08785464715741377,0.3081513177209848,0.08785464715741377,0.2798378606704584,0.0383457550298451,1.8110916676839162,0.4316908488317204,1.7218374987632579,0.19105630037599328,0.06693142267663772,0.4384088175700937,0.4316908488317204,-0.7433014913913971,0.6058679911682796,1.224898380391397
Kennikot,0.20840197800552457,0.0,0.018872289348343865,0.01569093944183537,0.057762674091827136,0.209316084,0.0,0.01569093944183537,0.0,0.01569093944183537,0.057762674091827136,0.017032805241207333,0.8030584899967681,0.22815610583079876,0.7561237624635212,0.4455638938871532,0.07913847509994903,0.48059106189520745,0.22815610583079876,-0.1725142531698089,0.018840021830798748,0.1725142531698089
Langenferner,-0.06769791464180547,0.103757693,-0.07327613820517295,0.006390625584658821,0.022288345278859815,0.0,0.0,0.006390625584658821,0.0,0.006390625584658821,0.022288345278859815,0.03114358125086513,2.4525343304464475,0.23402541551241868,1.4706854341359459,0.1780926421741966,0.04697971815685668,0.31683713559297694,0.23402541551241868,-0.3441777698117266,0.23402541551241868,0.4479354628117266
Lirung,0.30371731774461513,0.230058582,-0.23059479042743736,0.01960297222651949,0.06187818858263973,0.302542103,0.760418401,0.01960297222651949,0.25313198399772796,0.01960297222651949,0.06187818858263973,0.009923548288448783,1.6363099585465726,0.47131150200792676,1.314978959903614,0.24217599674014018,0.06957561060393325,0.28183747487148986,0.47131150200792676,-0.6197647087009935,0.16876939900792676,0.8498232907009935
Morimoto,0.7510363332454534,0.463162936,-0.46656604601763396,0.07123199496765574,0.22635303040901592,0.743286846,0.623128122,0.07123199496765574,0.3614091711683389,0.07123199496765574,0.22635303040901592,0.025254384592345365,2.163405583577101,0.4405120782210532,1.4439177640511651,0.1566231714093528,0.0642913358520537,0.30793501103158594,0.4405120782210532,-0.6360632150224751,0.30277476777894674,1.0992261510224752
Place1,0.0507824961906288,0.0,0.024292927898688737,0.0026356950068336118,0.009321118573300593,0.051889158,0.0,0.0026356950068336118,0.0,0.0026356950068336118,0.009321118573300593,0.0235999989610047,2.9738726649079537,0.11983067525891569,0.9501262274777278,0.1350271630192115,0.06764874098927783,0.37171716552743783,0.11983067525891569,-0.11385426741986227,0.0679415172589157,0.11385426741986227
Place2,0.05048861730607319,0.03229797,-0.032214150525714316,0.0032267567644845064,0.011453956001136582,0.050669071,0.637429684,0.0032267567644845064,0.26738087425779594,0.0032267567644845064,0.011453956001136582,0.0249951235744638,3.5505615589390227,0.10916590273906804,0.8694894753680407,0.16406411557500636,0.06865811150655754,0.41418944926073614,0.10916590273906804,-0.09491860350067083,0.058496831739068035,0.12721657350067084
Place3,0.05432076193750925,0.065062193,-0.0651746534368122,0.0025187732840946274,0.008936012070119619,0.054077859,1.203120735,0.0025187732840946274,0.22074524781526683,0.0025187732840946274,0.008936012070119619,0.033185173045940625,3.2177331746953914,0.09158395300331526,1.0832480692989725,0.16236068585067367,0.07080151848459353,0.31500079721715063,0.09158395300331526,-0.0992081402696091,0.03750609400331526,0.1642703332696091
Place4,0.05546194635117489,0.153314512,-0.15313025499293076,0.008311011088345659,0.02934009538583245,0.05585709,2.744763694,0.008311011088345659,0.9372075329892042,0.008311011088345659,0.02934009538583245,0.030694401661128787,2.418599663190895,0.04339340504508947,1.0096000555438145,0.1568559127396193,0.07795742550638675,0.34392743002029436,0.04339340504508947,-0.04380998414375757,0.012463684954910528,0.19712449614375754
Pyramid,0.2713042759041643,1.67634154,-1.678667186057047,0.09024741392245071,0.2843417622354094,0.265952027,6.303172641,0.09024741392245071,3.1643705994197466,0.09024741392245071,0.2843417622354094,0.02913177011149496,2.649226038227167,0.4593486681039689,2.397735636638731,0.12965603204897547,0.06849292770108294,0.8916683232788502,0.4593486681039689,-1.101396671155423,0.19339664110396892,2.777738211155423
Satopanth,0.5618364797545087,0.182828211,-0.18561909350552247,0.062292700949399496,0.18111120500732106,0.556972328,0.32825367,0.062292700949399496,0.35667639071306434,0.062292700949399496,0.18111120500732106,0.02328360855904874,1.209133691679204,0.49509276951337605,1.1569655483233472,0.24537918186323396,0.07559175060920245,0.2937943497352952,0.49509276951337605,-0.5728052775509677,0.06187955848662391,0.7556334885509677
Schiaparelli,0.40039086446349703,0.291266541,-0.2911933959631469,0.010947152558609728,0.03977389687088611,0.40056107,0.727146401,0.010947152558609728,0.11920143429500266,0.010947152558609728,0.03977389687088611,0.04028936267295246,3.8132945873099997,0.17081042800134066,0.8508522888422512,0.23108812275191334,0.0884578241706076,0.42463891625959915,0.17081042800134066,-0.14533444362306525,0.22975064199865936,0.43660098462306524
Southcol,0.06830286237765465,0.0,0.04810431808210208,0.007158367028159287,0.0239987641776321,0.072185499,0.0,0.007158367028159287,0.0,0.007158367028159287,0.0239987641776321,0.06298018525772897,2.945434771361071,0.10130936558031521,1.757015397647361,0.29432471940979077,0.10849182208623703,0.45910975236638224,0.10130936558031521,-0.1780021152504994,0.02912386658031521,0.1780021152504994
